Feature,Class,Locality_ID,Geosite_Name,Region,Value,Bounds
Dist_to_Highway_m,Easy,loc_00110,Targant water gap,Souss-Massa,5808.366321724568,"[-3007.5,4153.0]"
Dist_to_Highway_m,Easy,loc_00115,Draa double winged eye,Souss-Massa,11284.951948348566,"[-3007.5,4153.0]"
Dist_to_Highway_m,Easy,loc_00122,Tlit gorge,Souss-Massa,6832.443578684352,"[-3007.5,4153.0]"
Dist_to_Highway_m,Easy,loc_00127,Targant gorge,Souss-Massa,10479.61000605736,"[-3007.5,4153.0]"
Dist_to_Highway_m,Easy,loc_00128,Tamzrart gorge,Souss-Massa,5223.26419041525,"[-3007.5,4153.0]"
Dist_to_Highway_m,Easy,loc_00430,Akhfénir Cliff,Laayoune-Dakhla,5728.080603499461,"[-3007.5,4153.0]"
Dist_to_Highway_m,Easy,loc_00431,Sand dunes,Laayoune-Dakhla,7233.550265190323,"[-3007.5,4153.0]"
Dist_to_Highway_m,Easy,loc_00432,Akhfennir Sinkhole,Laayoune-Dakhla,6591.580221496209,"[-3007.5,4153.0]"
Dist_to_Highway_m,Easy,loc_00435,Petrified wood intruded by iron deposits,Tanger-Tétouan-Al Hoceima,8150.119612599887,"[-3007.5,4153.0]"
Dist_to_Highway_m,Easy,loc_00437,Caristified cave stalactite,Tanger-Tétouan-Al Hoceima,4251.404558790859,"[-3007.5,4153.0]"
Dist_to_Highway_m,Easy,loc_00515,Sebkha Tah,Laayoune-Sakia El Hamra,20059.152328825243,"[-3007.5,4153.0]"
Dist_to_Highway_m,Easy,loc_00589,Karst complex of Mountain Lakraa,Tanger-Tétouan-Al Hoceima,7105.2239138778,"[-3007.5,4153.0]"
Dist_to_Highway_m,Easy,loc_00923,Aghbalou Tagma,Fés-Meknés,4587.817796751212,"[-3007.5,4153.0]"
Dist_to_Highway_m,Easy,loc_01015,Tabhirte,Fés-Meknés,4979.751078635928,"[-3007.5,4153.0]"
Dist_to_Highway_m,Easy,loc_00132,Foum Zguid mesa,Souss-Massa,16007.485861134071,"[-3007.5,4153.0]"
Dist_to_Highway_m,Moderate,loc_00087,Addan onion peels,Souss-Massa,12192.442045267428,"[-7183.0,10237.5]"
Dist_to_Highway_m,Moderate,loc_00094,Ait Ouabelli chasms,Souss-Massa,12192.442045267428,"[-7183.0,10237.5]"
Dist_to_Highway_m,Moderate,loc_00114,Akka Phillyrea,Souss-Massa,11575.304811367509,"[-7183.0,10237.5]"
Dist_to_Highway_m,Difficult,loc_00426,Deflation phenomenon in the Drâa plain,Souss-Massa,28225.740034313567,"[-10207.4,14672.3]"
Dist_to_Highway_m,Difficult,loc_00506,Sebkha Talaklekt,Eddakhla-Oued Eddahab,15781.662422952868,"[-10207.4,14672.3]"
Dist_to_Highway_m,Difficult,loc_00155,Khaoui Naàm Wadi,Laayoune-Sakia El Hamra,23001.253588876403,"[-10207.4,14672.3]"
Dist_to_Highway_m,Difficult,loc_01188,Continental sedimentation & unconformity,Eddakhla-Oued Eddahab,23950.265300178657,"[-10207.4,14672.3]"
Dist_to_Highway_m,Difficult,loc_01189,Metagabbros,Eddakhla-Oued Eddahab,22429.79571121443,"[-10207.4,14672.3]"
Ruggedness,Easy,loc_00037,Taghia N’Ait Hammou Gorges,Drâa-Tafilalet,78.03858228951447,"[-40.0,57.3]"
Ruggedness,Easy,loc_00020,Todgha Gorges,Drâa-Tafilalet,64.64197382651085,"[-40.0,57.3]"
Ruggedness,Moderate,loc_00283,"Sources d’Ouchrah, Tagzirte",Béni Mellal-Khénifra,54.79465604419551,"[-35.1,54.2]"
Ruggedness,Moderate,loc_00039,Ait Attou Oumoussa Jurassic strata,Drâa-Tafilalet,61.97328980501033,"[-35.1,54.2]"
Ruggedness,Moderate,loc_00358,Jbel Aghanja’s fold,Fés-Meknés,57.55572963746126,"[-35.1,54.2]"
Ruggedness,Moderate,loc_00159,Amtoudi waterfall and Bougaa source,Guelmim-Oued Noun,58.14011048876549,"[-35.1,54.2]"
Ruggedness,Moderate,loc_00158,Amtoudi travertines,Guelmim-Oued Noun,58.14011048876549,"[-35.1,54.2]"
Ruggedness,Difficult,loc_00572,Oued Adelmane cave,Tanger-Tétouan-Al Hoceima,54.66337768554688,"[-29.5,51.3]"
Ruggedness,Difficult,loc_00578,Souyah spring,Tanger-Tétouan-Al Hoceima,58.4457080078125,"[-29.5,51.3]"
Dist_to_Settlement_m,Easy,loc_00430,Akhfénir Cliff,Laayoune-Dakhla,156881.41879184853,"[-78803.7,139908.6]"
Dist_to_Settlement_m,Easy,loc_00431,Sand dunes,Laayoune-Dakhla,154572.33630207283,"[-78803.7,139908.6]"
Dist_to_Settlement_m,Easy,loc_00432,Akhfennir Sinkhole,Laayoune-Dakhla,159346.1897945999,"[-78803.7,139908.6]"
Dist_to_Settlement_m,Easy,loc_01190,Orthogenesis & dyke and pluton intrusions,Eddakhla-Oued Eddahab,213424.9472385202,"[-78803.7,139908.6]"
Dist_to_Settlement_m,Easy,loc_01191,Migmatites & deep petrogenesis,Eddakhla-Oued Eddahab,202728.49531355288,"[-78803.7,139908.6]"
Dist_to_Settlement_m,Moderate,loc_00507,Sebkhet Dkhayla,Eddakhla-Oued Eddahab,236049.4928136344,"[-55280.8,116566.3]"
Dist_to_Settlement_m,Moderate,loc_00512,Sebkhat Aridal,Laayoune-Sakia El Hamra,139869.62479006368,"[-55280.8,116566.3]"
