Locality_ID,Expert_Class
loc_00147,Moderate
loc_00142,Moderate
loc_00141,Moderate
loc_00140,Difficult
loc_00145,Moderate
loc_00146,Easy
loc_00179,Moderate
loc_00173,Easy
loc_00176,Moderate
loc_00166,Moderate
loc_00148,Difficult
loc_00193,Easy
loc_00340,Easy
loc_00180,Easy
loc_00182,Easy
loc_00278,Easy
loc_00277,Easy
loc_00202,Easy
loc_00181,Easy
loc_00203,Moderate
loc_00279,Easy
loc_00183,Easy
loc_00178,Moderate
loc_00328,Moderate
loc_00318,Moderate
loc_00192,Moderate
loc_00171,Difficult
loc_00276,Moderate
loc_00198,Moderate
loc_00375,Easy
loc_00200,Difficult
loc_00168,Moderate
loc_00191,Moderate
loc_00164,Moderate
loc_00165,Moderate
loc_00196,Difficult
loc_00185,Difficult
loc_00184,Moderate
loc_00201,Difficult
loc_00194,Difficult
loc_00189,Difficult
loc_00188,Difficult
loc_00197,Difficult
loc_00195,Difficult
loc_00187,Difficult
loc_00169,Difficult
loc_00170,Difficult
loc_00186,Difficult
loc_00199,Very Difficult
loc_00263,Moderate
loc_00264,Moderate
loc_00265,Moderate
loc_00267,Moderate
loc_00266,Very Difficult
loc_00261,Moderate
loc_00262,Moderate
loc_00260,Moderate
loc_00256,Moderate
loc_00257,Moderate
loc_00258,Moderate
loc_00259,Moderate
loc_00251,Moderate
loc_00252,Moderate
loc_00253,Moderate
loc_00254,Moderate
loc_00255,Moderate
loc_00155,Difficult
loc_00154,Easy
loc_00150,Moderate
loc_00153,Moderate
loc_00152,Difficult
loc_00163,Easy
loc_00160,Easy
loc_00159,Moderate
loc_00158,Moderate
loc_00161,Easy
loc_00005,Moderate
loc_00077,Difficult
loc_00065,Moderate
loc_00275,Difficult
loc_00066,Difficult
loc_00067,Moderate
loc_00058,Easy
loc_00069,Easy
loc_00059,Moderate
loc_00061,Easy
loc_00060,Moderate
loc_00062,Moderate
loc_00270,Moderate
loc_00064,Difficult
loc_00273,Moderate
loc_00269,Difficult
loc_00272,Moderate
loc_00271,Difficult
loc_00268,Moderate
loc_00215,Difficult
loc_00216,Difficult
loc_00213,Moderate
loc_00214,Moderate
loc_00224,Moderate
loc_00211,Moderate
loc_00210,Easy
loc_00205,Moderate
loc_00208,Moderate
loc_00207,Moderate
loc_00206,Moderate
loc_00223,Easy
loc_00106,Moderate
loc_00105,Moderate
loc_00131,Difficult
loc_00133,Moderate
loc_00129,Moderate
loc_00092,Moderate
loc_00095,Moderate
loc_00139,Moderate
loc_00096,Easy
loc_00097,Easy
loc_00135,Moderate
loc_00103,Easy
loc_00088,Moderate
loc_00089,Moderate
loc_00090,Moderate
loc_00137,Moderate
loc_00102,Easy
loc_00125,Moderate
loc_00126,Moderate
loc_00117,Moderate
loc_00138,Moderate
loc_00093,Moderate
loc_00091,Moderate
loc_00132,Easy
loc_00100,Easy
loc_00111,Moderate
loc_00134,Easy
loc_00099,Easy
loc_00123,Difficult
loc_00121,Moderate
loc_00353,Difficult
loc_00354,Difficult
loc_00366,Easy
loc_00355,Difficult
loc_00357,Difficult
loc_00367,Moderate
loc_00374,Moderate
loc_00369,Moderate
loc_00361,Difficult
loc_00371,Moderate
loc_00370,Moderate
loc_00372,Moderate
loc_00072,Easy
loc_00362,Very Difficult
loc_00071,Easy
loc_00086,Moderate
loc_00083,Difficult
loc_00081,Moderate
loc_00082,Difficult
loc_00078,Moderate
loc_00079,Moderate
loc_00004,Difficult
loc_00003,Moderate
loc_00002,Moderate
loc_00032,Moderate
loc_00034,Moderate
loc_00030,Moderate
loc_00021,Easy
loc_00029,Moderate
loc_00022,Moderate
loc_00020,Easy
loc_00026,Moderate
loc_00023,Moderate
loc_00027,Difficult
loc_00055,Moderate
loc_00050,Moderate
loc_00019,Difficult
loc_00048,Difficult
loc_00049,Difficult
loc_00044,Difficult
loc_00051,Moderate
loc_00046,Moderate
loc_00054,Difficult
loc_00053,Moderate
loc_00017,Moderate
loc_00043,Moderate
loc_00042,Difficult
loc_00016,Difficult
loc_00015,Difficult
loc_00013,Difficult
loc_00012,Difficult
loc_00011,Difficult
loc_00010,Difficult
loc_00009,Difficult
loc_00008,Difficult
loc_00007,Difficult
loc_00006,Difficult
loc_00014,Difficult
loc_00073,Moderate
loc_00304,Moderate
loc_00307,Moderate
loc_00306,Moderate
loc_00244,Moderate
loc_00305,Moderate
loc_00313,Moderate
loc_00312,Moderate
loc_00311,Moderate
loc_00310,Moderate
loc_00246,Easy
loc_00303,Easy
loc_00056,Difficult
loc_00294,Moderate
loc_00293,Easy
loc_00295,Easy
loc_00292,Easy
loc_00241,Easy
loc_00290,Easy
loc_00289,Easy
loc_00288,Easy
loc_00243,Easy
loc_00309,Easy
loc_00308,Easy
loc_00286,Easy
loc_00287,Easy
loc_00240,Easy
loc_00242,Moderate
loc_00297,Moderate
loc_00299,Moderate
loc_00298,Moderate
loc_00245,Moderate
loc_00300,Moderate
loc_00301,Moderate
loc_00302,Moderate
loc_00237,Moderate
loc_00225,Easy
loc_00232,Moderate
loc_00239,Moderate
loc_00235,Moderate
loc_00234,Moderate
loc_00238,Moderate
loc_00226,Easy
loc_00285,Moderate
loc_00248,Moderate
loc_00284,Difficult
loc_00280,Easy
loc_00247,Easy
loc_00314,Moderate
loc_00283,Moderate
loc_00249,Easy
loc_00281,Easy
loc_00282,Easy
loc_00076,Moderate
loc_00075,Moderate
loc_00074,Moderate
loc_00233,Moderate
loc_00229,Moderate
loc_00231,Moderate
loc_00236,Moderate
loc_00227,Moderate
loc_00228,Moderate
loc_00291,Easy
loc_00230,Moderate
loc_00296,Moderate
