Locality_ID,Geosite_Name,Latitude_WGS84,Longitude_WGS84,Region,Dist_to_Highway_m,Slope_deg,Ruggedness,Elevation_m,LULC_Friction,Dist_to_Settlement_m,Soil_Class,Geology_Class,LULC_Class_Name_WorldCover,Coordinate_Precision,N_Raster_Cells_Imputed,MCDM_Score,MCDM_Class,National_Model_Class
loc_00001,Eburnian-Proterozoic Unconformity,30.54701809792364,-7.122467385495109,Drâa-Tafilalet,8.887857148129743,15.05994905081238,22.08196567503873,1432.3692626953125,0.1,46158.98076680939,9.0,49.0,Bare/sparse vegetation,point,1,0.3516256455989533,Moderate,Moderate
loc_00002,Bou Offroh ophiolit,30.54671313620237,-6.971048117972587,Drâa-Tafilalet,663.7423620215451,6.045073740244921,5.857542936466942,1344.0048828125,0.1,41924.77756008448,3.0,71.0,Bare/sparse vegetation,point,1,0.1863445978250086,Easy,Easy
loc_00003,Oceanic Moho rocks,30.490992892858085,-6.612429949729095,Drâa-Tafilalet,904.6898608432144,15.382932231441956,15.675953762590392,1304.738037109375,0.1,55606.218231521576,3.0,71.0,Bare/sparse vegetation,point,1,0.3244532538739446,Moderate,Moderate
loc_00004,Bleida granodiorite,30.368905368656545,-6.46223994636819,Drâa-Tafilalet,267.24669668577354,4.772303965515728,4.57489467652376,1316.26953125,0.1,60169.93140346243,3.0,71.0,Bare/sparse vegetation,point,1,0.1609555815314909,Easy,Easy
loc_00005,Sauropod tracksite,31.1145,-8.982833333333334,Marrakech-Safi,6.790714537726675,11.24240767449567,12.079244818569215,1100.656982421875,0.1,72290.66520219891,3.0,71.0,Bare/sparse vegetation,point,1,0.2159472558853027,Easy,Easy
loc_00006,Tension joints & veins,32.59281111111111,-4.504277777777777,Drâa-Tafilalet,31.41678223591156,5.132140907205022,7.20684360472624,1842.2276611328125,0.15,24114.62975707097,9.0,71.0,Grassland,point,0,0.2218198273382083,Easy,Easy
loc_00007,Fault mirror,32.59246944444445,-4.504686111111111,Drâa-Tafilalet,79.76708146434034,6.555289278319837,5.549568617639463,1837.501220703125,0.15,24095.07279419748,9.0,71.0,Grassland,point,0,0.2160101464069363,Easy,Easy
loc_00008,Turbidite/tempesitie,32.59108611111111,-4.504991666666666,Drâa-Tafilalet,233.689766992073,9.556786017890891,10.361137453189563,1818.8858642578125,0.1,24131.93454485021,9.0,71.0,Bare/sparse vegetation,point,0,0.2597135525714601,Moderate,Moderate
loc_00009,Synsedimentary Fd,32.590869444444444,-4.504938888888889,Drâa-Tafilalet,252.9361112438129,9.487167551309083,9.60714948669938,1818.43994140625,0.1,24146.38074465029,9.0,71.0,Bare/sparse vegetation,point,0,0.2539336832511479,Moderate,Moderate
loc_00010,Bioclastic limestone,32.59060277777778,-4.505005555555556,Drâa-Tafilalet,281.66655170596204,9.798683615690704,10.357080885201446,1816.2840576171875,0.1,24152.958681780576,9.0,71.0,Bare/sparse vegetation,point,0,0.2616975653858643,Moderate,Moderate
