Locality_ID,Geosite_Name,Expert_Class
loc_00591,Taghobayt cave,Moderate
loc_00592,Ketama spring,Moderate
loc_00593,Ruiniform Chaos of Bou Slimane,Difficult
loc_00594,Al Khattabi undersea cavities,Moderate
loc_00595,Oulassen spring,Difficult
loc_00596,Lamouassif spring,Moderate
loc_00597,Charika spring,Moderate
loc_00598,Complex of cavities of Badis,Easy
loc_00599,Ksar Seghir beach,Easy
loc_00600,Dalia beach,Easy
loc_00601,Oued Lmarsa beach,Easy
loc_00602,Laila small island,Moderate
loc_00603,Sebta peninsula,Easy
loc_00604,Rifiyin beach,Easy
loc_00605,Tres Pierdas beach,Easy
loc_00606,Smir lagoon,Moderate
loc_00607,Mdiq beach,Easy
loc_00608,Negro Cape beach,Easy
loc_00609,Swamp of Oued Al Mallah,Easy
loc_00610,Martil beach,Easy
loc_00611,Coastal erosion of Sidi Abdeslam,Easy
loc_00612,Azla beach,Easy
loc_00613,Amsa beach,Easy
loc_00614,Tamrabet beach,Easy
loc_00615,Tamernout beach,Easy
loc_00616,Ouachtam beach,Easy
loc_00617,Cape of Mekkad,Easy
loc_00618,Oued Laou beach,Easy
loc_00619,Targha beach,Easy
loc_00620,Stihat beach,Easy
loc_00621,Sidi Yahya Aarab beach,Easy
loc_00622,Jnane Enich beach,Easy
loc_00623,Amtar beach,Easy
loc_00624,Monica beach,Easy
loc_00625,Lhwad beach,Easy
loc_00626,Cala Iris beach,Easy
loc_00627,Badis small island,Moderate
loc_00628,Taoussert beach,Easy
loc_00629,Bousikour beach,Easy
loc_00630,Boumehdi beach,Easy
loc_00631,Tala Youssef beach,Easy
loc_00632,Rmod beach,Easy
loc_00633,Isri beach,Easy
loc_00634,Cliff of Al Hoceima,Easy
loc_00635,Quemado beach,Easy
loc_00636,Cara Bonita beach,Easy
loc_00637,Maktoa beach,Easy
loc_00638,Small islands of Al Hoceima,Easy
loc_00639,Sfiha beach,Easy
loc_00640,Al Hoceima Bay,Easy
loc_00641,Strait of Gibraltar,Easy
loc_00642,Hill of Taifour,Easy
loc_00643,Fault of Samsa,Moderate
loc_00644,Cluse of Tetouan,Easy
loc_00645,Anticline of Nator cliff,Moderate
loc_00646,Synclinal of Tazarine,Moderate
loc_00647,Chefchaouen furrow,Moderate
loc_00648,Fault escarpment of Mizlafene,Moderate
loc_00649,Cliff of Imezar,Difficult
loc_00650,Folds of Sidi Abdelhamid,Difficult
loc_00651,Klippes of Soukna,Difficult
loc_00653,Cirque of Jebha,Easy
loc_00654,Fauld of Mtioua,Easy
loc_00655,Bar of Tizirene,Difficult
loc_00656,Oued Rmel dam,Difficult
loc_00657,Al Raouz dam,Easy
loc_00658,Smir dam,Easy
loc_00659,Ajras dam,Easy
