Locality_ID,Geosite_Name,Latitude,Longitude,Region,Dist_to_Highway_m,Slope_deg,Elevation_m,Draft_Accessibility_Class,Expert_Label_Raw,Expert_Reasoning
loc_00233,Basaltic flow B1,32.20722222222223,-6.256666666666667,Béni Mellal-Khénifra,1852.0,23.0,1414.0,Difficult,,
loc_00229,Chaos alteration of gabbros,32.26972222222222,-6.258611111111111,Béni Mellal-Khénifra,20.0,24.1,1735.0,Difficult,,
loc_00231,Dinosaur bone deposi tat Agard-n-Sgat,32.23861111111111,-6.2283333333333335,Béni Mellal-Khénifra,766.0,21.7,1249.0,Moderate,,
loc_00236,Dyke of Taguelft,32.20916666666667,-6.118888888888889,Béni Mellal-Khénifra,2457.0,22.5,1265.0,Very Difficult,,
loc_00227,Folded marly limstones of the Bine El OuidaneII  Fm,32.26083333333333,-6.262777777777778,Béni Mellal-Khénifra,54.0,23.4,1688.0,Moderate,,
loc_00228,Fossil wood of the Azilal Fm,32.27,-6.263888888888889,Béni Mellal-Khénifra,18.0,19.8,1758.0,Moderate,,
loc_00291,Massive oncolitic limestones of Fm BIII ( beginning of Middle-Upper regression),32.106411111111115,-6.451858333333334,Béni Mellal-Khénifra,18.0,28.4,821.0,Moderate,,
loc_00230,Red facies of the Guettioua Fm,32.21472222222223,-6.222777777777778,Béni Mellal-Khénifra,492.0,23.9,1393.0,Difficult,,
loc_00296,The first basalt flow (the major effusive event of Middle Jurassic),32.11295555555556,-6.4165833333333335,Béni Mellal-Khénifra,13.0,8.0,822.0,Easy,,
loc_00024,Ait Aritane Panoramic view,31.542222222222225,-5.566944444444444,Drâa-Tafilalet,44.0,23.4,1450.0,Difficult,,
loc_00039,Ait Attou Oumoussa Jurassic strata,31.861666666666668,-5.708055555555556,Drâa-Tafilalet,997.0,33.2,2308.0,Difficult,,
loc_00035,Ait Ibriren Quaternary deposits,31.441944444444445,-6.010833333333333,Drâa-Tafilalet,53.0,21.3,1684.0,Difficult,,
loc_00036,Ait Ouglef Allochthonous limestones,31.454722222222223,-5.959722222222222,Drâa-Tafilalet,931.0,33.2,1763.0,Difficult,,
loc_00025,Ait Snan Fault,31.39527777777778,-5.5975,Drâa-Tafilalet,3865.0,1.4,1361.0,Difficult,,
loc_00033,Anou N’Izm Tertiary strata,31.33944444444444,-5.838611111111111,Drâa-Tafilalet,688.0,13.2,1535.0,Moderate,,
loc_00001,Eburnian-Proterozoic Unconformity,30.54701809792364,-7.122467385495109,Drâa-Tafilalet,9.0,15.1,1432.0,Moderate,,
loc_00045,Fairy chimneys,32.176,-5.599,Drâa-Tafilalet,974.0,18.0,2238.0,Moderate,,
loc_00028,Ighrem N’Ougdal Middle Jurassic strata,32.009166666666665,-5.490833333333334,Drâa-Tafilalet,73.0,5.0,2343.0,Easy,,
loc_00018,Imelouan Folds,32.155833333333334,-5.598333333333333,Drâa-Tafilalet,6.0,20.9,2178.0,Moderate,,
loc_00041,Intraformational unc,32.193,-5.639,Drâa-Tafilalet,35.0,9.7,2250.0,Moderate,,
loc_00250,Jurassic tabular structures,32.36833333333334,-4.987777777777778,Drâa-Tafilalet,6616.0,28.2,2280.0,Very Difficult,,
loc_00040,Redbeds,32.166,-5.523,Drâa-Tafilalet,147.0,12.0,2292.0,Moderate,,
loc_00047,Sedimentary patterns,32.167,-5.545,Drâa-Tafilalet,624.0,11.3,2318.0,Moderate,,
loc_00037,Taghia N’Ait Hammou Gorges,31.53666666666667,-5.919444444444445,Drâa-Tafilalet,25.0,49.7,1872.0,Difficult,,
loc_00038,Tilmi Folds,31.80138888888889,-5.926111111111111,Drâa-Tafilalet,13179.0,21.2,3235.0,Very Difficult,,
loc_00031,Timaderouine Cretaceous-Tertiary strata,31.411666666666665,-5.722222222222222,Drâa-Tafilalet,841.0,12.1,1401.0,Moderate,,
loc_00052,Traces of Selenichnites- Tilmi syncline,32.163,-5.546,Drâa-Tafilalet,171.0,22.4,2302.0,Difficult,,
loc_00363,Ain Jdid,33.48630555555555,-3.8171388888888886,Fés-Meknés,1202.0,16.5,1332.0,Moderate,,
loc_00360,Calcite quarry,33.47083333333334,-3.963638888888889,Fés-Meknés,709.0,26.3,1747.0,Difficult,,
loc_00080,Dolines of Ademame,34.04361111111111,-4.095,Fés-Meknés,1756.0,12.5,1423.0,Moderate,,
loc_00084,GueltaTameda Lake,33.81777777777778,-4.081666666666666,Fés-Meknés,1490.0,1.6,1458.0,Moderate,,
loc_00358,Jbel Aghanja’s fold,33.378861111111114,-4.010527777777778,Fés-Meknés,894.0,43.7,1980.0,Difficult,,
loc_00359,Kardoud and Abdel Ali springs,33.32016666666667,-3.916833333333333,Fés-Meknés,1781.0,6.8,1050.0,Moderate,,
loc_00070,Lake Afourgagh- charophytes tufas & gyrogonites,33.61666666666667,-4.883333333333333,Fés-Meknés,1355.0,4.5,1437.0,Moderate,,
loc_00356,Salt mine of Tittaouine,33.373,-4.017944444444445,Fés-Meknés,422.0,29.6,1658.0,Difficult,,
loc_00373,Tadaout,33.51916666666666,-4.055555555555555,Fés-Meknés,4972.0,11.9,2434.0,Very Difficult,,
loc_00085,Taffert canyons,33.72138888888889,-4.2275,Fés-Meknés,2058.0,40.1,1182.0,Very Difficult,,
loc_00162,Assaka Basin,29.116666666666667,-10.416666666666666,Guelmim-Oued Noun,413.0,6.1,103.0,Easy,,
loc_00156,Echguiguen Site,27.98,-12.266666666666667,Laayoune-Sakia El Hamra,168.0,1.3,27.0,Easy,,
loc_00057,Archaeoctic limestone,31.875,-8.866666666666667,Marrakech-Safi,1150.0,14.0,347.0,Moderate,,
loc_00274,Zima Lake,32.080000000000005,-8.66,Marrakech-Safi,1072.0,0.5,357.0,Easy,,
loc_00218,Autunian Trachy andesite of Tiddas,33.57888888888889,-6.270833333333333,Rabat-Salé-Kénitra,73.0,6.2,460.0,Easy,,
loc_00217,Autunian fluviatile channels volcano-detritic Red serie of Souk Sebt,33.644644444444445,-6.143858333333334,Rabat-Salé-Kénitra,1.0,19.0,457.0,Moderate,,
loc_00212,Granite of Zaer,33.39418611111111,-6.580788888888889,Rabat-Salé-Kénitra,73.0,4.5,664.0,Easy,,
loc_00209,Middle Devonian reefal limestone olistoliths within the Tournisian turbid ites West of Tiliouine,33.55333333333333,-6.070277777777777,Rabat-Salé-Kénitra,246.0,16.4,827.0,Easy,,
loc_00219,Permian Rhyolite of Souk Sebt,33.64218611111111,-6.135827777777778,Rabat-Salé-Kénitra,5.0,10.6,507.0,Easy,,
loc_00220,Triassic Basalts of Jbel Merzaga-Maaziz,33.686030555555554,-6.443472222222223,Rabat-Salé-Kénitra,1.0,10.6,429.0,Easy,,
loc_00204,Upper Ordovician Quartzite slump balls,33.599044444444445,-6.110261111111111,Rabat-Salé-Kénitra,2.0,16.9,767.0,Moderate,,
