model,n_est,max_depth,min_leaf,mean_acc,std_acc,lr
XGB,100,5.0,,0.8334307692307692,0.056365189223606955,0.03
XGB,100,4.0,,0.8334153846153847,0.053227692218758754,0.03
XGB,100,3.0,,0.8314615384615384,0.05173229909090421,0.03
XGB,150,4.0,,0.8306153846153848,0.06020300961632986,0.03
XGB,100,6.0,,0.8302615384615386,0.05695510741237374,0.03
XGB,150,5.0,,0.8290000000000001,0.060529566348742854,0.03
XGB,150,3.0,,0.8246923076923076,0.05561038385858714,0.03
XGB,150,6.0,,0.8238307692307693,0.06326669202294859,0.03
XGB,250,4.0,,0.8226615384615386,0.06277294672258653,0.03
XGB,250,3.0,,0.8219076923076923,0.061161584416069725,0.03
XGB,100,3.0,,0.8195076923076923,0.059330736817950834,0.08
XGB,250,5.0,,0.8194,0.06492158036918953,0.03
XGB,100,4.0,,0.8190923076923078,0.06426870183458631,0.08
GBM,100,3.0,,0.8190307692307692,0.06534520260094523,0.05
XGB,100,5.0,,0.8166615384615384,0.06524094804472991,0.08
GBM,100,4.0,,0.8162923076923078,0.06654236360279182,0.05
XGB,100,6.0,,0.8146769230769232,0.0683888706818302,0.08
XGB,250,6.0,,0.8146769230769232,0.06555811189702582,0.03
GBM,100,2.0,,0.814323076923077,0.05984346246667216,0.05
XGB,100,6.0,,0.8126923076923078,0.06607486340481149,0.15
XGB,150,6.0,,0.8122923076923079,0.06625305441211682,0.15
XGB,150,6.0,,0.8119384615384615,0.06841541056199885,0.08
XGB,150,3.0,,0.8115384615384617,0.06740656474271776,0.08
XGB,250,6.0,,0.811523076923077,0.0699533217148043,0.08
RF,400,4.0,1.0,0.8106769230769231,0.07015378542507493,
XGB,150,4.0,,0.8095076923076924,0.06554870992461304,0.08
XGB,100,5.0,,0.809476923076923,0.06969849522540922,0.15
RF,200,5.0,1.0,0.809153846153846,0.07302147694120242,
XGB,250,6.0,,0.8091076923076923,0.06695142812375737,0.15
XGB,150,5.0,,0.8091076923076923,0.06299269423216647,0.08
RF,400,5.0,1.0,0.8087846153846153,0.0733303443895092,
GBM,100,3.0,,0.8086769230769231,0.07062812688789295,0.1
GBM,100,2.0,,0.8082923076923074,0.06188207720568161,0.1
GBM,100,4.0,,0.8079538461538462,0.07003973681937854,0.1
RF,400,5.0,2.0,0.807953846153846,0.07250906656224317,
GBM,200,4.0,,0.8079384615384616,0.07592669152022298,0.05
GBM,200,2.0,,0.8078923076923077,0.062063397630518,0.05
RF,100,4.0,1.0,0.8075076923076923,0.07442124784077134,
RF,200,4.0,2.0,0.8074615384615385,0.0748158686455182,
RF,200,4.0,1.0,0.8074615384615385,0.07222069234206263,
XGB,100,3.0,,0.8067384615384615,0.06590428059833012,0.15
XGB,250,5.0,,0.8066923076923078,0.06818019112277746,0.08
RF,200,4.0,3.0,0.8066461538461539,0.07233285323284802,
RF,100,5.0,1.0,0.8063846153846153,0.07609535438237923,
XGB,100,4.0,,0.8063384615384614,0.06628869261971282,0.15
RF,400,4.0,2.0,0.8062923076923078,0.07253159931649297,
RF,400,3.0,2.0,0.8062769230769231,0.0706556546814304,
RF,400,5.0,5.0,0.8062769230769231,0.07829263267613976,
RF,400,4.0,5.0,0.8062461538461538,0.07288600810522411,
GBM,200,3.0,,0.8058923076923078,0.07423297884315969,0.05
RF,200,4.0,5.0,0.8058307692307691,0.07674203156213694,
RF,400,4.0,3.0,0.8054615384615385,0.07268034089533924,
RF,400,5.0,3.0,0.8051384615384615,0.07414497872292151,
XGB,250,4.0,,0.8047384615384615,0.06745050519371648,0.08
RF,100,5.0,3.0,0.8046923076923076,0.07498777020603675,
RF,400,3.0,3.0,0.8046307692307693,0.07225742770115862,
RF,200,5.0,3.0,0.8043846153846153,0.07513786146046526,
XGB,150,5.0,,0.803923076923077,0.06869446116014624,0.15
XGB,250,5.0,,0.8039230769230769,0.0680276223048381,0.15
RF,400,3.0,1.0,0.8038923076923077,0.07011248949675052,
RF,200,5.0,2.0,0.8035692307692307,0.07241068932826204,
XGB,150,4.0,,0.8035384615384616,0.06661716110617559,0.15
