model,n_est,max_depth,min_leaf,mean_acc,std_acc,lr
XGB,100,4.0,,0.8400000000000002,0.05485861332207826,0.03
XGB,100,3.0,,0.8353846153846156,0.06251153739664629,0.03
XGB,100,5.0,,0.8353846153846155,0.06155768930382326,0.03
XGB,150,5.0,,0.8334615384615387,0.05834375787383116,0.03
XGB,150,4.0,,0.8334615384615384,0.06009238449717413,0.03
XGB,150,3.0,,0.8326923076923077,0.06234448106710509,0.03
XGB,100,6.0,,0.8303846153846155,0.059855595458505856,0.03
XGB,250,3.0,,0.8257692307692307,0.06537443359637878,0.03
XGB,250,4.0,,0.8246153846153845,0.06420197419958563,0.03
XGB,150,6.0,,0.823846153846154,0.06277130464145644,0.03
XGB,100,4.0,,0.8230769230769233,0.06481653671674122,0.08
GBM,100,4.0,,0.8211538461538461,0.05867748577843214,0.05
XGB,100,3.0,,0.8207692307692308,0.06440901109362861,0.08
GBM,100,3.0,,0.8173076923076923,0.06328647181501666,0.05
GBM,100,3.0,,0.816923076923077,0.06392488195174378,0.1
XGB,100,5.0,,0.816923076923077,0.063693050906106,0.08
GBM,200,3.0,,0.816923076923077,0.0639248819517438,0.05
XGB,150,3.0,,0.8165384615384614,0.06339857015915147,0.08
XGB,250,5.0,,0.8165384615384614,0.06245827009258725,0.03
XGB,100,3.0,,0.813076923076923,0.06550215679180876,0.15
XGB,100,6.0,,0.813076923076923,0.06320343785121992,0.08
XGB,150,4.0,,0.8126923076923077,0.06048497294917739,0.08
XGB,250,6.0,,0.8126923076923077,0.061695712547514686,0.03
GBM,100,2.0,,0.8123076923076923,0.06039318900427852,0.05
XGB,150,5.0,,0.8123076923076923,0.06349765871842751,0.08
GBM,100,4.0,,0.8119230769230771,0.06479256842475782,0.1
GBM,200,2.0,,0.8107692307692308,0.06654624231963745,0.05
GBM,200,4.0,,0.8107692307692307,0.0633577239445354,0.05
GBM,200,2.0,,0.8103846153846154,0.06971094164200757,0.1
GBM,100,2.0,,0.8092307692307692,0.06615384615384615,0.1
XGB,100,4.0,,0.8084615384615386,0.06458332538016111,0.15
XGB,100,5.0,,0.8084615384615386,0.06080816668914361,0.15
XGB,250,5.0,,0.8080769230769232,0.06308044080247316,0.08
