model,n_est,max_depth,min_leaf,mean_acc,std_acc,lr
XGB,100,4.0,,0.7870461538461538,0.09444499966576946,0.03
XGB,100,6.0,,0.7811512820512821,0.09547266576332356,0.03
XGB,150,4.0,,0.7811179487179487,0.09355724774799729,0.03
XGB,100,3.0,,0.779676923076923,0.09452267447274545,0.03
XGB,150,3.0,,0.7772743589743589,0.09576204898757383,0.03
XGB,100,5.0,,0.7770820512820512,0.09462883150918759,0.03
XGB,150,5.0,,0.770946153846154,0.09700246677357123,0.03
XGB,250,4.0,,0.7694461538461539,0.09858166563552287,0.03
XGB,100,4.0,,0.7694384615384615,0.09945397572400502,0.15
XGB,150,6.0,,0.7683128205128206,0.10182182475957771,0.03
XGB,250,3.0,,0.7682051282051282,0.09495129032570734,0.03
XGB,100,6.0,,0.7653102564102564,0.10232567186657232,0.08
XGB,100,3.0,,0.7652051282051282,0.0982591837572266,0.08
GBM,100,2.0,,0.7641641025641026,0.0899729897375555,0.05
RF,200,7.0,1.0,0.7637410256410255,0.10956608785038191,
XGB,100,5.0,,0.7628,0.1020426724882635,0.15
XGB,250,6.0,,0.7624358974358973,0.1084373707692864,0.03
XGB,100,5.0,,0.7622358974358976,0.10534619101112422,0.08
XGB,150,6.0,,0.762197435897436,0.1051461085755743,0.08
XGB,150,4.0,,0.7620743589743592,0.09637434782045079,0.15
XGB,100,6.0,,0.7610358974358975,0.10093476923097768,0.15
XGB,250,5.0,,0.7606641025641027,0.10289472253254446,0.03
XGB,150,4.0,,0.7601307692307694,0.10797357801932776,0.08
XGB,150,3.0,,0.7599692307692308,0.10185670653104656,0.08
RF,100,7.0,1.0,0.759476923076923,0.10783854186287531,
XGB,150,5.0,,0.7594666666666667,0.10162969987870622,0.15
XGB,100,4.0,,0.7594589743589745,0.1086403033387389,0.08
XGB,250,5.0,,0.7583384615384615,0.1060920449359191,0.15
RF,200,6.0,1.0,0.7580999999999999,0.10702352377717295,
XGB,150,5.0,,0.7580666666666667,0.10585568134420945,0.08
XGB,150,6.0,,0.7571025641025642,0.10221204963247886,0.15
XGB,250,4.0,,0.7556,0.10225130326984262,0.08
RF,200,,2.0,0.7555615384615385,0.10485356211011378,
RF,400,7.0,1.0,0.7555410256410257,0.10947986311349876,
RF,100,,2.0,0.7550538461538462,0.1078578949495983,
RF,400,,1.0,0.7550025641025639,0.10473546555443704,
RF,200,,1.0,0.7549717948717949,0.1137404287611918,
XGB,250,5.0,,0.7547333333333336,0.10488628462372773,0.08
RF,200,6.0,2.0,0.7543666666666669,0.1106474116765351,
RF,400,8.0,1.0,0.754174358974359,0.10203540708892556,
RF,100,8.0,2.0,0.7534128205128205,0.10710001006758126,
RF,200,5.0,2.0,0.7533923076923078,0.10935866837964829,
RF,100,5.0,3.0,0.7529615384615385,0.10877557510601803,
RF,100,8.0,1.0,0.7526461538461539,0.10441598568735128,
GBM,100,3.0,,0.7523384615384616,0.09139457757434752,0.05
XGB,250,6.0,,0.7522256410256412,0.10191335467257476,0.08
XGB,250,6.0,,0.7520615384615386,0.10128829205050738,0.15
RF,200,5.0,3.0,0.7520282051282052,0.11458429478527955,
RF,200,7.0,2.0,0.7520282051282051,0.11207967923330893,
XGB,250,4.0,,0.7518307692307693,0.09920575461559397,0.15
XGB,150,3.0,,0.7516974358974359,0.10576851766659379,0.15
RF,400,8.0,2.0,0.7513948717948719,0.11135863086434564,
XGB,100,3.0,,0.7510897435897437,0.10865988486358125,0.15
RF,400,,2.0,0.7510230769230769,0.10817159065265751,
GBM,100,4.0,,0.7510102564102564,0.0946236173195419,0.05
RF,200,8.0,1.0,0.7507076923076922,0.10156347218520184,
RF,100,6.0,1.0,0.7505974358974359,0.11068174848515791,
RF,100,,1.0,0.7505692307692309,0.11471436717126132,
XGB,250,3.0,,0.7502615384615384,0.10726303013217599,0.08
RF,200,4.0,1.0,0.7502179487179488,0.11606276853201564,
RF,200,5.0,1.0,0.7501897435897437,0.1100777838666195,
RF,100,5.0,1.0,0.7500923076923078,0.11267354366696761,
RF,200,8.0,2.0,0.749797435897436,0.11559069940791991,
RF,400,,3.0,0.7496641025641025,0.11022363224758752,
RF,200,8.0,3.0,0.7495615384615384,0.10918896542664085,
RF,400,6.0,2.0,0.7494692307692309,0.11197086244562861,
RF,400,7.0,2.0,0.7494307692307691,0.10962909244023786,
RF,100,7.0,2.0,0.7493948717948717,0.1098286575402523,
RF,100,,3.0,0.7491128205128205,0.11389207851725656,
RF,200,,3.0,0.7487923076923078,0.10950072302590182,
RF,200,7.0,3.0,0.7485538461538461,0.11766959459063442,
RF,100,5.0,2.0,0.7482897435897436,0.11755051402049493,
GBM,200,2.0,,0.7481179487179488,0.09239111059812108,0.05
RF,200,4.0,2.0,0.7476948717948718,0.1148212356970408,
RF,400,5.0,1.0,0.7476564102564105,0.10877153686550613,
GBM,200,4.0,,0.7468128205128205,0.09381231003166897,0.05
RF,400,6.0,1.0,0.7467717948717949,0.11066594095078226,
RF,200,8.0,5.0,0.746553846153846,0.11629523188804777,
RF,100,6.0,2.0,0.7462641025641027,0.11420096019589632,
GBM,200,3.0,,0.7460384615384617,0.09205757870757651,0.05
GBM,100,3.0,,0.745974358974359,0.08992482798262923,0.1
GBM,100,2.0,,0.7455076923076922,0.09001174574533928,0.1
RF,100,5.0,5.0,0.7454871794871795,0.11236862297511174,
RF,400,7.0,3.0,0.7450487179487179,0.11172440113073347,
RF,100,3.0,1.0,0.7449846153846156,0.10475613846934481,
RF,200,,5.0,0.7448871794871795,0.11623388491584477,
RF,400,8.0,3.0,0.7445615384615384,0.10989166887844087,
RF,200,6.0,3.0,0.7445153846153846,0.1168723610487968,
RF,100,6.0,3.0,0.744451282051282,0.10987597167658526,
RF,200,7.0,5.0,0.7440871794871795,0.11534174314631956,
RF,100,8.0,3.0,0.7440102564102563,0.11496715375762558,
RF,400,6.0,3.0,0.7438230769230769,0.10922816805016462,
RF,100,,5.0,0.7437615384615384,0.11532754317875502,
RF,100,8.0,5.0,0.7435948717948717,0.11402851230002521,
RF,400,5.0,2.0,0.7434641025641027,0.11083574537275416,
RF,400,5.0,3.0,0.7430538461538463,0.11396327334972362,
