model,n_est,max_depth,min_leaf,mean_acc,std_acc,lr
XGB,250,4.0,,0.8592769230769232,0.0602980584926925,0.03
XGB,100,6.0,,0.8589384615384615,0.05851725887119813,0.08
XGB,100,4.0,,0.8589230769230771,0.05886600972200949,0.08
XGB,150,4.0,,0.8584923076923079,0.06000314784641961,0.08
XGB,250,3.0,,0.857276923076923,0.058056432452506294,0.08
XGB,100,4.0,,0.8572615384615385,0.06080313757086503,0.15
XGB,100,5.0,,0.8569076923076924,0.05830403682472743,0.08
XGB,250,4.0,,0.8565076923076924,0.0588484584767414,0.08
XGB,250,5.0,,0.8561230769230771,0.05978718866943054,0.03
XGB,100,3.0,,0.8556615384615384,0.05960595657458739,0.15
XGB,150,4.0,,0.8548615384615385,0.05979025271335309,0.15
XGB,250,6.0,,0.8545076923076924,0.058926593588571385,0.03
XGB,100,5.0,,0.854492307692308,0.058290917010432756,0.15
XGB,150,5.0,,0.8544615384615386,0.05925733669903434,0.08
XGB,250,3.0,,0.8536923076923076,0.0626894289098363,0.15
XGB,150,3.0,,0.8536923076923076,0.056903738918972456,0.08
GBM,200,2.0,,0.8533076923076923,0.054023608689701484,0.1
XGB,150,3.0,,0.8532769230769232,0.05766734023845313,0.15
XGB,250,4.0,,0.8524923076923078,0.06110202158210576,0.15
XGB,150,6.0,,0.852153846153846,0.05994455031465357,0.08
XGB,150,6.0,,0.8513384615384616,0.054845519469845117,0.03
GBM,100,2.0,,0.8512769230769232,0.056705636675459616,0.1
XGB,150,5.0,,0.8509538461538462,0.05193271933259519,0.03
XGB,150,5.0,,0.8505076923076923,0.05987563244715454,0.15
GBM,200,4.0,,0.8504923076923079,0.05568736909679857,0.1
GBM,200,2.0,,0.8501384615384615,0.0558014633644089,0.05
XGB,250,5.0,,0.8500923076923077,0.05783155298545993,0.08
XGB,100,6.0,,0.8493230769230771,0.058470371802291664,0.15
XGB,250,6.0,,0.8489230769230771,0.05862810279950923,0.08
XGB,150,6.0,,0.847723076923077,0.059515193227041366,0.15
XGB,250,5.0,,0.8473538461538461,0.05762378700157052,0.15
GBM,100,3.0,,0.8473384615384616,0.05801646573049748,0.1
GBM,200,3.0,,0.8457076923076925,0.0604571519254332,0.05
XGB,100,3.0,,0.8454,0.0581829373715648,0.08
XGB,250,3.0,,0.8453999999999999,0.05567466571401093,0.03
XGB,100,5.0,,0.8453538461538461,0.05389118117358371,0.03
GBM,100,4.0,,0.8453076923076924,0.05788475594156204,0.1
GBM,200,3.0,,0.8448923076923077,0.058596758599287695,0.1
GBM,200,4.0,,0.844553846153846,0.0591833656463602,0.05
GBM,100,3.0,,0.8437846153846154,0.052357180209849224,0.05
XGB,100,6.0,,0.8437538461538463,0.05783155298545993,0.03
GBM,100,4.0,,0.8437538461538461,0.054182387583608334,0.05
XGB,250,6.0,,0.8437076923076923,0.062008625091988755,0.15
XGB,150,4.0,,0.8433846153846154,0.056879817241860545,0.03
XGB,100,3.0,,0.8390769230769232,0.05036623270058724,0.03
GBM,100,2.0,,0.838723076923077,0.05216634976052358,0.05
XGB,150,3.0,,0.8383230769230771,0.05521688061929471,0.03
XGB,100,4.0,,0.8366307692307692,0.055727865826584455,0.03
RF,400,,1.0,0.8322615384615386,0.06265126735968833,
RF,100,,1.0,0.8310307692307692,0.06223606709406755,
RF,200,,1.0,0.8282769230769231,0.06325894188026425,
RF,100,7.0,1.0,0.8275384615384616,0.06943815093112524,
RF,100,8.0,1.0,0.8263230769230769,0.06755051408140963,
RF,100,,2.0,0.8255076923076925,0.0692793607251482,
RF,400,,2.0,0.8251230769230772,0.06944890591322787,
RF,200,,2.0,0.8247230769230771,0.06993632099333535,
RF,400,8.0,1.0,0.8243538461538462,0.06619249497135264,
RF,200,7.0,1.0,0.8239538461538461,0.07389653890094218,
RF,200,8.0,1.0,0.8227384615384616,0.06560977701712363,
RF,100,8.0,2.0,0.8227384615384615,0.06594944450690415,
RF,200,8.0,2.0,0.8219538461538463,0.0695162847551122,
RF,100,6.0,1.0,0.8216153846153847,0.07189748619186945,
RF,400,7.0,1.0,0.8216,0.0719348554732173,
RF,200,6.0,1.0,0.8204153846153847,0.07405702424643247,
RF,100,7.0,2.0,0.82,0.07430976267222475,
RF,200,7.0,2.0,0.8199846153846154,0.07637264450313586,
RF,400,8.0,2.0,0.8180461538461538,0.07280446536796209,
RF,400,,3.0,0.8180307692307695,0.07622671882431968,
RF,400,6.0,1.0,0.8168307692307692,0.0724407352139885,
RF,400,7.0,2.0,0.8160461538461539,0.0790638286075424,
RF,200,,3.0,0.8156,0.07624253421593905,
RF,200,6.0,2.0,0.8140615384615384,0.07846848234733159,
RF,100,,3.0,0.8131692307692308,0.07409966740855974,
RF,100,6.0,2.0,0.8128615384615384,0.07674919424051335,
RF,100,8.0,3.0,0.8127846153846154,0.07246519507350697,
RF,400,8.0,3.0,0.8120307692307693,0.07750407662498228,
RF,200,5.0,1.0,0.8116307692307694,0.08222593207331517,
RF,400,7.0,3.0,0.811276923076923,0.07954814849507236,
RF,400,6.0,2.0,0.8108769230769233,0.07937783363995758,
RF,200,8.0,3.0,0.8108153846153847,0.07987607413321533,
RF,200,7.0,3.0,0.8104307692307694,0.0789455898315172,
RF,400,5.0,1.0,0.8092615384615385,0.08109983036484786,
RF,100,6.0,3.0,0.8088461538461539,0.07444162956987005,
RF,100,5.0,1.0,0.8080615384615386,0.07835048551146097,
RF,100,7.0,3.0,0.8076307692307693,0.07847478621191596,
RF,200,6.0,3.0,0.8068461538461539,0.0804091239781588,
RF,400,6.0,3.0,0.8045076923076924,0.07941092438224481,
RF,200,5.0,2.0,0.8017076923076923,0.08213306997447468,
RF,100,5.0,2.0,0.8017076923076923,0.07846753974032453,
RF,400,5.0,2.0,0.8001692307692307,0.08203589775647036,
RF,100,5.0,3.0,0.7973384615384616,0.08063442376465517,
RF,400,5.0,3.0,0.7950153846153847,0.08526939419157858,
RF,200,5.0,3.0,0.7945692307692306,0.08399308368257995,
RF,100,8.0,5.0,0.791723076923077,0.07780715958599334,
RF,100,7.0,5.0,0.7909076923076923,0.07957701639582586,
RF,100,,5.0,0.7901230769230768,0.0755468207814036,
RF,100,4.0,1.0,0.7897384615384617,0.07846306333359863,
RF,200,8.0,5.0,0.7893384615384617,0.08046381964702737,
RF,200,,5.0,0.789323076923077,0.07866634506670464,
RF,400,,5.0,0.7893076923076923,0.07973458189704048,
RF,400,8.0,5.0,0.7877076923076922,0.0809150317732367,
RF,200,7.0,5.0,0.7873076923076924,0.0821000616220426,
RF,100,6.0,5.0,0.7870000000000001,0.07975595171721998,
RF,200,4.0,1.0,0.7861384615384618,0.0873156539914388,
RF,400,7.0,5.0,0.7857538461538464,0.08126212098937799,
RF,200,6.0,5.0,0.7834153846153847,0.08248035950541201,
RF,400,6.0,5.0,0.7822,0.08098104241592122,
RF,100,4.0,2.0,0.7798307692307693,0.08561421521075717,
RF,200,4.0,2.0,0.7794000000000001,0.08898584290035348,
RF,400,4.0,1.0,0.7790923076923078,0.0897175304289646,
RF,200,5.0,5.0,0.7790153846153847,0.0841102460531668,
RF,100,5.0,5.0,0.7782307692307691,0.08422016090556096,
RF,100,4.0,3.0,0.7738307692307693,0.08819867164800939,
RF,400,4.0,2.0,0.7727076923076922,0.09063317573812968,
RF,400,5.0,5.0,0.7714769230769231,0.08418981652848871,
RF,200,4.0,3.0,0.7683230769230768,0.08971410079612237,
RF,400,4.0,3.0,0.7647692307692309,0.09059239619593198,
RF,100,4.0,5.0,0.763123076923077,0.0841870149792963,
RF,200,4.0,5.0,0.7591076923076925,0.08758459781918239,
