model,n_est,max_depth,min_leaf,mean_acc,std_acc,lr
GBM,200,4.0,,0.7833622782446312,0.07631837243422374,0.05
GBM,100,4.0,,0.782202614379085,0.07978156676692509,0.05
GBM,100,4.0,,0.7821690009337068,0.07576899839683393,0.1
GBM,200,4.0,,0.7816479925303454,0.0710962373383246,0.1
GBM,200,3.0,,0.7806526610644258,0.08671809033202217,0.05
GBM,200,3.0,,0.7795088702147527,0.08093884906345547,0.1
GBM,100,3.0,,0.7759785247432305,0.08318018406054047,0.1
GBM,100,3.0,,0.7665695611577965,0.08617009469630597,0.05
XGB,150,4.0,,0.7665658263305324,0.0700251069176772,0.03
XGB,100,5.0,,0.7647712418300653,0.07054586983715813,0.08
GBM,200,2.0,,0.7641960784313726,0.08892527778338674,0.1
XGB,150,4.0,,0.7624341736694678,0.06424212083112502,0.08
XGB,100,5.0,,0.7618954248366012,0.08126606838025155,0.03
XGB,150,5.0,,0.7618646125116715,0.0721359963162157,0.03
XGB,100,4.0,,0.7607357609710551,0.06515584923789129,0.03
XGB,250,4.0,,0.7606218487394958,0.06215295586507926,0.08
XGB,250,4.0,,0.7599663865546219,0.07566813626215059,0.03
XGB,100,3.0,,0.7595760971055089,0.08322257893368633,0.08
XGB,100,4.0,,0.7594939309056957,0.07184313992457723,0.08
XGB,100,4.0,,0.7583669467787114,0.07116452681697341,0.15
XGB,250,5.0,,0.7576143790849673,0.07562953178871054,0.15
GBM,200,2.0,,0.7571587301587303,0.08741857109655626,0.05
XGB,150,5.0,,0.7570915032679738,0.07461125923059767,0.08
XGB,250,3.0,,0.7565863678804857,0.0683190596519442,0.15
XGB,250,3.0,,0.756078431372549,0.0852071107711247,0.03
XGB,100,5.0,,0.7547731092436976,0.06604539939583078,0.15
XGB,150,6.0,,0.7547721755368813,0.06371642561127991,0.15
XGB,250,6.0,,0.7542007469654528,0.06501277089969447,0.15
XGB,100,6.0,,0.7541521942110176,0.061556749233038006,0.15
XGB,250,5.0,,0.7537600373482725,0.07540007463231362,0.03
GBM,100,2.0,,0.7536610644257703,0.0922878216864363,0.1
XGB,250,6.0,,0.7535788982259569,0.06684878602788517,0.08
XGB,150,4.0,,0.7531391223155929,0.06998237016242438,0.15
XGB,150,3.0,,0.7525340802987861,0.08314126901031717,0.03
XGB,150,3.0,,0.752516339869281,0.08680271000208563,0.08
XGB,250,5.0,,0.7524192343604108,0.07460264446266063,0.08
XGB,250,6.0,,0.7513090569561157,0.0694955649612281,0.03
XGB,100,6.0,,0.7507348272642392,0.07165749905128027,0.08
XGB,150,3.0,,0.7500980392156862,0.07451927333591361,0.15
XGB,150,5.0,,0.7500504201680674,0.0698765606848582,0.15
XGB,250,4.0,,0.74955929038282,0.0687130243617703,0.15
XGB,100,6.0,,0.7490728291316526,0.07956564376360363,0.03
XGB,150,6.0,,0.7478123249299721,0.08300218606758351,0.03
XGB,100,3.0,,0.7471914098972923,0.08394126025915542,0.15
XGB,100,3.0,,0.7467843137254901,0.06976983447073191,0.03
XGB,150,6.0,,0.7466022408963585,0.07288210281827875,0.08
XGB,250,3.0,,0.7442810457516339,0.08784138318755497,0.08
GBM,100,2.0,,0.7437609710550886,0.08729891933589634,0.05
RF,100,,1.0,0.7401820728291315,0.09434985880424923,
RF,400,,1.0,0.736033613445378,0.08299569539733252,
RF,200,,1.0,0.7332380952380951,0.09314606454033522,
RF,200,,2.0,0.7238132586367881,0.09787749047660313,
RF,100,8.0,1.0,0.7238113912231561,0.0949998089865835,
RF,400,,3.0,0.7225695611577965,0.10386100565508623,
RF,100,,2.0,0.7221129785247433,0.09983997078581437,
RF,200,8.0,1.0,0.7180924369747899,0.10196869281584002,
RF,400,,2.0,0.716265172735761,0.09808664452330926,
RF,400,8.0,1.0,0.715577964519141,0.09839364214517812,
RF,100,,3.0,0.7144995331465919,0.10427913411184295,
RF,200,7.0,1.0,0.7142847805788982,0.09811002799918346,
