model,n_est,max_depth,min_leaf,mean_acc,std_acc,lr
XGB,150,4.0,,0.8127045584045582,0.0882565032370613,0.03
XGB,100,5.0,,0.8079045584045582,0.08662640546806252,0.03
XGB,150,5.0,,0.8055045584045584,0.0905997571997798,0.03
XGB,100,4.0,,0.8055019943019941,0.08445696930272499,0.03
XGB,150,3.0,,0.8046427350427351,0.08031809738911928,0.03
GBM,200,2.0,,0.8021245014245014,0.10058208628581175,0.1
GBM,200,3.0,,0.8005834757834758,0.0900998741914972,0.1
GBM,100,2.0,,0.8004960113960116,0.0964208803025071,0.1
XGB,100,6.0,,0.7999045584045583,0.08952433780146105,0.03
XGB,150,6.0,,0.7983045584045583,0.0791325714728576,0.03
GBM,200,4.0,,0.7982190883190883,0.07178107046890363,0.05
GBM,200,2.0,,0.7966760683760684,0.0964622334014114,0.05
XGB,100,3.0,,0.7959660968660967,0.09065312329869687,0.08
XGB,100,5.0,,0.7959019943019942,0.08087884523127639,0.15
XGB,250,4.0,,0.7943353276353275,0.0869316256407642,0.03
XGB,250,3.0,,0.7942760683760681,0.08749900572783878,0.03
GBM,100,4.0,,0.7934783475783476,0.07041393507669458,0.05
XGB,100,4.0,,0.7918760683760682,0.07944080268706687,0.08
XGB,150,5.0,,0.7911353276353276,0.08881059093787677,0.15
GBM,100,3.0,,0.7911350427350426,0.09012559971594132,0.1
XGB,100,4.0,,0.7911327635327633,0.07622873241940407,0.15
XGB,100,5.0,,0.791071225071225,0.08329301579059832,0.08
GBM,200,4.0,,0.791014245014245,0.07736273175549824,0.1
XGB,250,6.0,,0.7903353276353274,0.08363021212367461,0.03
XGB,150,5.0,,0.7902686609686609,0.07940785982075894,0.08
GBM,100,4.0,,0.7901834757834757,0.08067407775045336,0.1
XGB,150,4.0,,0.7895327635327634,0.07693756833004549,0.08
XGB,250,5.0,,0.7887019943019942,0.07375896182923276,0.03
XGB,250,4.0,,0.7880227920227921,0.07923040478089703,0.15
XGB,250,5.0,,0.7879353276353274,0.0835096518523481,0.08
GBM,200,3.0,,0.7872581196581195,0.07650063268418869,0.05
XGB,100,3.0,,0.7871353276353276,0.08371198393596158,0.15
XGB,150,4.0,,0.7871327635327634,0.07835739757375314,0.15
XGB,250,3.0,,0.7871327635327634,0.07936435153748272,0.08
XGB,100,6.0,,0.787071225071225,0.08819464995147189,0.08
XGB,150,3.0,,0.7863353276353275,0.07986534153630855,0.08
XGB,150,6.0,,0.7847353276353276,0.08558476058640788,0.08
XGB,100,6.0,,0.7847019943019943,0.08866792207186412,0.15
XGB,250,5.0,,0.7831968660968661,0.08827637245160692,0.15
XGB,150,6.0,,0.7831327635327635,0.08793905387327439,0.15
XGB,150,3.0,,0.7808227920227919,0.08522403056028303,0.15
XGB,250,6.0,,0.7807019943019943,0.0915748849533779,0.15
XGB,250,4.0,,0.7799635327635329,0.07712152181378405,0.08
XGB,250,6.0,,0.7783353276353275,0.08935548913393596,0.08
XGB,100,3.0,,0.7767350427350428,0.06972458943884725,0.03
GBM,100,3.0,,0.775291168091168,0.06430485991340058,0.05
XGB,250,3.0,,0.7735586894586893,0.08574746224439085,0.15
