target,config,type,n_features,features,cv_accuracy,cv_macro_f1
3class,baseline_6feat,baseline,6,Dist_to_Highway_m;Slope_deg;Ruggedness;Elevation_m;LULC_Friction;Dist_to_Settlement_m,0.5776892430278885,0.5050651467131825
3class,LOCO_drop_Dist_to_Highway_m,LOCO,5,Slope_deg;Ruggedness;Elevation_m;LULC_Friction;Dist_to_Settlement_m,0.5737051792828686,0.4916382871654437
3class,LOCO_drop_Slope_deg,LOCO,5,Dist_to_Highway_m;Ruggedness;Elevation_m;LULC_Friction;Dist_to_Settlement_m,0.545816733067729,0.46702147234921937
3class,LOCO_drop_Ruggedness,LOCO,5,Dist_to_Highway_m;Slope_deg;Elevation_m;LULC_Friction;Dist_to_Settlement_m,0.5896414342629482,0.5209287683902399
3class,LOCO_drop_Elevation_m,LOCO,5,Dist_to_Highway_m;Slope_deg;Ruggedness;LULC_Friction;Dist_to_Settlement_m,0.5816733067729084,0.4974312162810566
3class,LOCO_drop_LULC_Friction,LOCO,5,Dist_to_Highway_m;Slope_deg;Ruggedness;Elevation_m;Dist_to_Settlement_m,0.5697211155378487,0.49631394901276726
3class,LOCO_drop_Dist_to_Settlement_m,LOCO,5,Dist_to_Highway_m;Slope_deg;Ruggedness;Elevation_m;LULC_Friction,0.5896414342629482,0.5124491711843996
3class,LOCOin_add_Dist_to_Dam_m,LOCO-in,7,Dist_to_Highway_m;Slope_deg;Ruggedness;Elevation_m;LULC_Friction;Dist_to_Settlement_m;Dist_to_Dam_m,0.5776892430278885,0.5128774316744241
3class,LOCOin_add_Dist_to_River_m,LOCO-in,7,Dist_to_Highway_m;Slope_deg;Ruggedness;Elevation_m;LULC_Friction;Dist_to_Settlement_m;Dist_to_River_m,0.5896414342629482,0.5163315511669353
3class,LOCOin_add_Soil_Class,LOCO-in,7,Dist_to_Highway_m;Slope_deg;Ruggedness;Elevation_m;LULC_Friction;Dist_to_Settlement_m;Soil_Class,0.5976095617529881,0.5280565125100045
3class,LOCOin_add_Geology_Class,LOCO-in,7,Dist_to_Highway_m;Slope_deg;Ruggedness;Elevation_m;LULC_Friction;Dist_to_Settlement_m;Geology_Class,0.5936254980079682,0.5230723911126408
3class,LOCOin_add_Coordinate_Precision,LOCO-in,7,Dist_to_Highway_m;Slope_deg;Ruggedness;Elevation_m;LULC_Friction;Dist_to_Settlement_m;Coordinate_Precision,0.5936254980079682,0.5190800108949802
3class,LOCOin_add_N_Raster_Cells_Imputed,LOCO-in,7,Dist_to_Highway_m;Slope_deg;Ruggedness;Elevation_m;LULC_Friction;Dist_to_Settlement_m;N_Raster_Cells_Imputed,0.5856573705179283,0.5227318664123869
3class,solo_Dist_to_Dam_m,marginal-1feat,1,Dist_to_Dam_m,0.50199203187251,0.4135502362452717
3class,solo_Dist_to_Dam_m_plus_highway,marginal-2feat,2,Dist_to_Dam_m;Dist_to_Highway_m,0.5338645418326693,0.4460985257101762
3class,solo_Dist_to_River_m,marginal-1feat,1,Dist_to_River_m,0.4342629482071713,0.2513370266446027
3class,solo_Dist_to_River_m_plus_highway,marginal-2feat,2,Dist_to_River_m;Dist_to_Highway_m,0.4063745019920319,0.31940175138135435
3class,solo_Soil_Class,marginal-1feat,1,Soil_Class,0.50199203187251,0.22281167108753316
3class,solo_Soil_Class_plus_highway,marginal-2feat,2,Soil_Class;Dist_to_Highway_m,0.4541832669322709,0.3735477090020736
3class,solo_Geology_Class,marginal-1feat,1,Geology_Class,0.5099601593625498,0.33823806828900205
3class,solo_Geology_Class_plus_highway,marginal-2feat,2,Geology_Class;Dist_to_Highway_m,0.47410358565737054,0.37755527743012096
3class,solo_Coordinate_Precision,marginal-1feat,1,Coordinate_Precision,0.5378486055776892,0.23316062176165805
3class,solo_Coordinate_Precision_plus_highway,marginal-2feat,2,Coordinate_Precision;Dist_to_Highway_m,0.398406374501992,0.3192391007016065
3class,solo_N_Raster_Cells_Imputed,marginal-1feat,1,N_Raster_Cells_Imputed,0.49800796812749004,0.2573099415204678
3class,solo_N_Raster_Cells_Imputed_plus_highway,marginal-2feat,2,N_Raster_Cells_Imputed;Dist_to_Highway_m,0.46215139442231074,0.3870017745017745
difficult,baseline_6feat,baseline,6,Dist_to_Highway_m;Slope_deg;Ruggedness;Elevation_m;LULC_Friction;Dist_to_Settlement_m,0.7928286852589641,0.6539766702014846
difficult,LOCO_drop_Dist_to_Highway_m,LOCO,5,Slope_deg;Ruggedness;Elevation_m;LULC_Friction;Dist_to_Settlement_m,0.7649402390438247,0.6040480201064142
difficult,LOCO_drop_Slope_deg,LOCO,5,Dist_to_Highway_m;Ruggedness;Elevation_m;LULC_Friction;Dist_to_Settlement_m,0.7768924302788844,0.6449787835926449
difficult,LOCO_drop_Ruggedness,LOCO,5,Dist_to_Highway_m;Slope_deg;Elevation_m;LULC_Friction;Dist_to_Settlement_m,0.7848605577689243,0.6465894868585732
difficult,LOCO_drop_Elevation_m,LOCO,5,Dist_to_Highway_m;Slope_deg;Ruggedness;LULC_Friction;Dist_to_Settlement_m,0.7808764940239044,0.6176429857360477
difficult,LOCO_drop_LULC_Friction,LOCO,5,Dist_to_Highway_m;Slope_deg;Ruggedness;Elevation_m;Dist_to_Settlement_m,0.7410358565737052,0.5910720104268492
difficult,LOCO_drop_Dist_to_Settlement_m,LOCO,5,Dist_to_Highway_m;Slope_deg;Ruggedness;Elevation_m;LULC_Friction,0.7808764940239044,0.6429587482219061
difficult,LOCOin_add_Dist_to_Dam_m,LOCO-in,7,Dist_to_Highway_m;Slope_deg;Ruggedness;Elevation_m;LULC_Friction;Dist_to_Settlement_m;Dist_to_Dam_m,0.7729083665338645,0.6174701211197562
difficult,LOCOin_add_Dist_to_River_m,LOCO-in,7,Dist_to_Highway_m;Slope_deg;Ruggedness;Elevation_m;LULC_Friction;Dist_to_Settlement_m;Dist_to_River_m,0.7848605577689243,0.6522475369458128
difficult,LOCOin_add_Soil_Class,LOCO-in,7,Dist_to_Highway_m;Slope_deg;Ruggedness;Elevation_m;LULC_Friction;Dist_to_Settlement_m;Soil_Class,0.796812749003984,0.6689253847148584
difficult,LOCOin_add_Geology_Class,LOCO-in,7,Dist_to_Highway_m;Slope_deg;Ruggedness;Elevation_m;LULC_Friction;Dist_to_Settlement_m;Geology_Class,0.7848605577689243,0.6406680805938494
difficult,LOCOin_add_Coordinate_Precision,LOCO-in,7,Dist_to_Highway_m;Slope_deg;Ruggedness;Elevation_m;LULC_Friction;Dist_to_Settlement_m;Coordinate_Precision,0.7928286852589641,0.6539766702014846
difficult,LOCOin_add_N_Raster_Cells_Imputed,LOCO-in,7,Dist_to_Highway_m;Slope_deg;Ruggedness;Elevation_m;LULC_Friction;Dist_to_Settlement_m;N_Raster_Cells_Imputed,0.7928286852589641,0.6480043149946062
difficult,solo_Dist_to_Dam_m,marginal-1feat,1,Dist_to_Dam_m,0.7410358565737052,0.5481235285971473
difficult,solo_Dist_to_Dam_m_plus_highway,marginal-2feat,2,Dist_to_Dam_m;Dist_to_Highway_m,0.749003984063745,0.5620274200249273
difficult,solo_Dist_to_River_m,marginal-1feat,1,Dist_to_River_m,0.7450199203187251,0.5038299975290339
difficult,solo_Dist_to_River_m_plus_highway,marginal-2feat,2,Dist_to_River_m;Dist_to_Highway_m,0.7410358565737052,0.5637817170663886
