Locality_ID,Geosite_Name,Latitude_WGS84,Longitude_WGS84,Geology_Class,Soil_Class,Elevation_m,Slope_deg,Ruggedness,LULC_Friction,Dist_to_Settlement_m,presence,Geology_Class_Missing,Soil_Class_Missing
loc_00001,Eburnian-Proterozoic Unconformity,30.54701809792364,-7.122467385495109,49.0,9.0,1432.3692626953125,15.05994905081238,22.08196567503873,0.1,46158.98076680939,1,0,0
loc_00002,Bou Offroh ophiolit,30.54671313620237,-6.971048117972587,71.0,3.0,1344.0048828125,6.045073740244921,5.857542936466942,0.1,41924.77756008448,1,0,0
loc_00003,Oceanic Moho rocks,30.490992892858085,-6.612429949729095,71.0,3.0,1304.738037109375,15.382932231441956,15.675953762590392,0.1,55606.218231521576,1,0,0
loc_00004,Bleida granodiorite,30.368905368656545,-6.46223994636819,71.0,3.0,1316.26953125,4.772303965515728,4.57489467652376,0.1,60169.93140346243,1,0,0
loc_00005,Sauropod tracksite,31.1145,-8.982833333333334,71.0,3.0,1100.656982421875,11.24240767449567,12.079244818569215,0.1,72290.66520219891,1,0,0
loc_00006,Tension joints & veins,32.59281111111111,-4.504277777777777,71.0,9.0,1842.2276611328125,5.132140907205022,7.20684360472624,0.15,24114.62975707097,1,0,0
loc_00007,Fault mirror,32.59246944444445,-4.504686111111111,71.0,9.0,1837.501220703125,6.555289278319837,5.549568617639463,0.15,24095.07279419748,1,0,0
loc_00008,Turbidite/tempesitie,32.59108611111111,-4.504991666666666,71.0,9.0,1818.8858642578125,9.556786017890891,10.361137453189563,0.1,24131.93454485021,1,0,0
loc_00009,Synsedimentary Fd,32.590869444444444,-4.504938888888889,71.0,9.0,1818.43994140625,9.487167551309083,9.60714948669938,0.1,24146.38074465029,1,0,0
loc_00010,Bioclastic limestone,32.59060277777778,-4.505005555555556,71.0,9.0,1816.2840576171875,9.798683615690704,10.357080885201446,0.1,24152.958681780576,1,0,0
loc_00011,Current ripples,32.590297222222226,-4.5050638888888885,71.0,9.0,1815.4425048828125,9.629708343916157,10.830442318246384,0.1,24162.07906776508,1,0,0
loc_00012,Th. Burrows,32.59028055555556,-4.504902777777778,71.0,9.0,1815.4425048828125,9.62970707284274,10.830442318246384,0.1,24176.57929179973,1,0,0
loc_00013,Limestone-marls  seq.,32.590050000000005,-4.504761111111111,71.0,9.0,1812.68408203125,9.488703333880071,11.80099714294938,0.1,24199.305289688506,1,0,0
loc_00014,Horst-graben structures,32.590025000000004,-4.504727777777778,71.0,9.0,1812.68408203125,9.488701857189737,11.80099714294938,0.1,24203.301486776007,1,0,0
loc_00015,Rhizocorallium burrows,32.58986388888889,-4.504866666666667,71.0,9.0,1816.0859375,10.07140583678105,10.721105654377585,0.1,24198.930151986187,1,0,0
loc_00016,Tridactyl footpreints,32.58935,-4.504527777777778,71.0,9.0,1809.46533203125,11.908621582411673,13.092888445893594,0.15,24251.637207187672,1,0,0
loc_00017,Lac Tislit,32.19583333333333,-5.636666666666666,71.0,9.0,2250.5,0.0,0.0,0.9,69118.63223171416,1,0,0
