model,n_est,max_depth,min_leaf,mean_acc,std_acc,lr,C,gamma
XGB,150.0,4.0,,0.6907384615384615,0.08543518391674225,0.03,,
XGB,100.0,4.0,,0.6903230769230769,0.08542335780787125,0.08,,
XGB,150.0,4.0,,0.6895538461538463,0.0788323950471869,0.15,,
XGB,100.0,4.0,,0.689523076923077,0.08213445319941481,0.15,,
XGB,250.0,4.0,,0.6892000000000001,0.07914752310844088,0.15,,
XGB,250.0,5.0,,0.6890923076923076,0.08303790964294454,0.15,,
XGB,150.0,5.0,,0.6887230769230769,0.08450119707845745,0.15,,
XGB,250.0,4.0,,0.6883692307692308,0.08796861193852346,0.03,,
XGB,250.0,6.0,,0.6879384615384615,0.08219380186540076,0.08,,
XGB,100.0,5.0,,0.6879230769230769,0.08406798460474092,0.15,,
XGB,150.0,6.0,,0.6875846153846153,0.08220691314024227,0.03,,
XGB,150.0,6.0,,0.6875692307692307,0.0794393609680108,0.08,,
XGB,250.0,5.0,,0.6871846153846153,0.09328611076434938,0.03,,
XGB,100.0,6.0,,0.6871692307692308,0.08210520599859064,0.03,,
XGB,250.0,6.0,,0.6868153846153846,0.08286161701273091,0.03,,
XGB,150.0,6.0,,0.6867692307692308,0.07794703102088248,0.15,,
XGB,150.0,4.0,,0.6859846153846155,0.0849874045662723,0.08,,
XGB,250.0,4.0,,0.6859538461538464,0.08263147100227611,0.08,,
XGB,250.0,5.0,,0.6859384615384613,0.0796019743444007,0.08,,
XGB,250.0,6.0,,0.6855846153846152,0.07580312556981965,0.15,,
XGB,100.0,6.0,,0.6852461538461541,0.08214436562986975,0.08,,
XGB,150.0,5.0,,0.6844,0.08658354927997094,0.08,,
XGB,100.0,6.0,,0.6843846153846154,0.08024234742034049,0.15,,
XGB,150.0,5.0,,0.6843692307692308,0.09001215434036719,0.03,,
XGB,100.0,4.0,,0.6843076923076922,0.08951308125618473,0.03,,
GBM,100.0,4.0,,0.6835538461538462,0.08150875946683575,0.05,,
XGB,100.0,5.0,,0.6831846153846156,0.09141860414287648,0.08,,
GBM,100.0,3.0,,0.6828461538461538,0.07856836618945613,0.05,,
XGB,100.0,5.0,,0.6828153846153846,0.08534484312786983,0.03,,
GBM,200.0,4.0,,0.6799538461538461,0.07680805400323142,0.05,,
XGB,100.0,3.0,,0.678723076923077,0.09554677407167109,0.08,,
XGB,250.0,3.0,,0.6776153846153847,0.09241055166576811,0.03,,
GBM,100.0,3.0,,0.6763846153846156,0.08420104849731587,0.1,,
XGB,100.0,3.0,,0.6763076923076922,0.08762183403020372,0.15,,
GBM,200.0,4.0,,0.6760153846153846,0.0855614509781778,0.1,,
XGB,150.0,3.0,,0.6755384615384615,0.08867746223078504,0.15,,
GBM,100.0,4.0,,0.6747846153846152,0.08071423622257776,0.1,,
GBM,200.0,3.0,,0.6747692307692307,0.07784463361239823,0.05,,
GBM,100.0,2.0,,0.6737076923076921,0.08187480556912638,0.05,,
XGB,250.0,3.0,,0.6732000000000002,0.08899575948943068,0.08,,
XGB,150.0,3.0,,0.6723230769230771,0.09560705948038152,0.08,,
XGB,250.0,3.0,,0.6719846153846153,0.08377238674566392,0.15,,
GBM,200.0,2.0,,0.6712153846153848,0.08010741161996,0.1,,
XGB,150.0,3.0,,0.6692307692307692,0.09217554643693059,0.03,,
RF,400.0,6.0,1.0,0.6689230769230768,0.09754210136377797,,,
RF,200.0,6.0,1.0,0.6685230769230768,0.09474935355980008,,,
RF,100.0,6.0,1.0,0.6681230769230768,0.09841587402627196,,,
RF,400.0,8.0,1.0,0.6673538461538462,0.08923092307679045,,,
RF,200.0,7.0,2.0,0.6665538461538462,0.09394260365278943,,,
RF,200.0,8.0,1.0,0.666523076923077,0.0896003275564596,,,
RF,100.0,7.0,1.0,0.666523076923077,0.08990306943309068,,,
RF,200.0,7.0,1.0,0.6664923076923077,0.0932781245561362,,,
GBM,200.0,3.0,,0.6660153846153846,0.08647005022433384,0.1,,
RF,400.0,7.0,1.0,0.6657692307692308,0.09267219698849573,,,
RF,100.0,8.0,1.0,0.6656615384615384,0.08510067271791345,,,
XGB,100.0,3.0,,0.6656153846153846,0.08779599133602031,0.03,,
RF,200.0,,2.0,0.6653384615384615,0.09224855926457894,,,
GBM,100.0,2.0,,0.6652923076923077,0.08385118404106622,0.1,,
RF,100.0,7.0,2.0,0.6641692307692307,0.0935390422552824,,,
RF,100.0,6.0,2.0,0.6637076923076921,0.0984839145247504,,,
RF,100.0,,2.0,0.6633692307692307,0.09561379291948262,,,
GBM,200.0,2.0,,0.6632461538461538,0.08845870095783641,0.05,,
RF,400.0,,1.0,0.6630153846153845,0.09096612803513264,,,
RF,200.0,6.0,2.0,0.6629230769230768,0.09615729224593944,,,
RF,100.0,5.0,1.0,0.6625846153846154,0.09669714326076494,,,
RF,400.0,7.0,2.0,0.6625846153846153,0.09182589133532343,,,
RF,400.0,8.0,2.0,0.6621846153846153,0.09190532303608351,,,
RF,400.0,6.0,2.0,0.6617999999999999,0.09615250583681231,,,
RF,200.0,,1.0,0.6609846153846154,0.09528022078780456,,,
RF,200.0,5.0,1.0,0.6609846153846152,0.09701644343026591,,,
RF,400.0,,2.0,0.6609692307692306,0.09100091813048766,,,
RF,100.0,8.0,2.0,0.6609538461538462,0.09277083300057891,,,
RF,100.0,,1.0,0.6609384615384617,0.09510303226271039,,,
RF,200.0,8.0,2.0,0.6601692307692306,0.08895258892760276,,,
RF,100.0,8.0,3.0,0.6585538461538459,0.08910596577162876,,,
RF,100.0,,3.0,0.6581384615384615,0.09112402498240561,,,
RF,200.0,,3.0,0.656153846153846,0.09156224642511891,,,
ET,200.0,8.0,,0.6552461538461539,0.09215271477410031,,,
RF,100.0,6.0,3.0,0.6549692307692306,0.0967683392401148,,,
ET,400.0,8.0,,0.6548615384615385,0.08921331924864664,,,
RF,400.0,5.0,1.0,0.6546615384615384,0.09777923570427027,,,
RF,400.0,8.0,3.0,0.6529846153846154,0.0937215616827865,,,
RF,400.0,7.0,3.0,0.6526615384615384,0.09825672327448669,,,
RF,100.0,7.0,3.0,0.6526000000000001,0.0931501796902795,,,
RF,200.0,8.0,3.0,0.6510153846153846,0.09385516224102934,,,
RF,200.0,7.0,3.0,0.6498307692307692,0.09345793472001282,,,
RF,200.0,6.0,3.0,0.6493846153846153,0.09867632822252402,,,
RF,400.0,5.0,2.0,0.6487230769230768,0.0929353163106011,,,
RF,400.0,,3.0,0.6486461538461538,0.0929757313884593,,,
RF,400.0,6.0,3.0,0.6486153846153846,0.09509185842363971,,,
RF,200.0,5.0,2.0,0.6479230769230768,0.09159400383464814,,,
ET,400.0,6.0,,0.6470461538461538,0.09163993858135909,,,
RF,100.0,5.0,2.0,0.6466461538461538,0.09585069257064444,,,
RF,200.0,8.0,5.0,0.6446461538461538,0.09903223550258296,,,
RF,200.0,,5.0,0.6446153846153845,0.09831864631400165,,,
RF,400.0,,5.0,0.6442769230769231,0.09740529127943084,,,
RF,200.0,7.0,5.0,0.6418153846153847,0.09753661245517381,,,
RF,400.0,8.0,5.0,0.6398615384615384,0.09443875821533464,,,
RF,200.0,4.0,1.0,0.6395538461538461,0.09454851796046679,,,
RF,100.0,8.0,5.0,0.6394307692307691,0.09806836282401298,,,
RF,200.0,5.0,3.0,0.6391230769230769,0.09958024447026327,,,
RF,400.0,7.0,5.0,0.6386923076923076,0.09760598851547399,,,
RF,400.0,5.0,3.0,0.6379384615384616,0.09826524182781667,,,
RF,200.0,6.0,5.0,0.6374461538461538,0.10457153379612147,,,
RF,100.0,4.0,1.0,0.6367538461538461,0.09498299941313074,,,
RF,100.0,7.0,5.0,0.6365999999999999,0.09789942792563029,,,
RF,100.0,,5.0,0.6362153846153845,0.09870796566238767,,,
RF,400.0,4.0,1.0,0.6359538461538461,0.09250764369505816,,,
ET,200.0,6.0,,0.6354923076923076,0.09008221228641201,,,
RF,100.0,6.0,5.0,0.633876923076923,0.10082335129165503,,,
RF,400.0,6.0,5.0,0.6334923076923077,0.10002315826521933,,,
RF,200.0,4.0,2.0,0.6323846153846153,0.09378872770107814,,,
RF,100.0,5.0,3.0,0.6319692307692306,0.10043917291386516,,,
RF,100.0,5.0,5.0,0.6314615384615383,0.10359670895597445,,,
RF,100.0,4.0,2.0,0.6295846153846154,0.09592078956004524,,,
RF,200.0,5.0,5.0,0.6295384615384616,0.10384056965042827,,,
RF,400.0,4.0,2.0,0.6287230769230769,0.09274155857214463,,,
RF,400.0,5.0,5.0,0.6283384615384615,0.09704977799193577,,,
RF,100.0,4.0,3.0,0.626430769230769,0.10066533222726698,,,
RF,200.0,4.0,3.0,0.6248615384615384,0.0961750671967317,,,
RF,400.0,4.0,3.0,0.6203846153846154,0.09133212037951242,,,
RF,100.0,4.0,5.0,0.6183692307692307,0.09797084942613342,,,
ET,400.0,5.0,,0.6163076923076923,0.09192767931832105,,,
RF,200.0,4.0,5.0,0.6160615384615383,0.0960099403137678,,,
RF,400.0,4.0,5.0,0.6147846153846154,0.09354374858539871,,,
RF,100.0,3.0,2.0,0.6091692307692307,0.1027979968952726,,,
RF,100.0,3.0,1.0,0.6071692307692307,0.10250570080841774,,,
ET,200.0,5.0,,0.6067384615384616,0.09602681578138696,,,
