model,n_est,max_depth,min_leaf,mean_acc,std_acc,lr
XGB,100,5.0,,0.5527321428571428,0.09297508293694652,0.03
XGB,100,4.0,,0.550972158218126,0.09115614518265178,0.03
XGB,100,6.0,,0.5502450076804916,0.08985034157942792,0.03
XGB,150,6.0,,0.5496397849462366,0.1073990843829766,0.03
XGB,150,4.0,,0.5391749231950844,0.09545682145193014,0.03
XGB,100,6.0,,0.5391649385560675,0.11480674986385211,0.08
XGB,150,3.0,,0.5390270737327189,0.08796313604996951,0.03
XGB,250,6.0,,0.5373448540706606,0.12099297891233535,0.03
XGB,150,5.0,,0.536202380952381,0.08842105864572847,0.03
XGB,100,6.0,,0.5361603302611369,0.12257588111284326,0.15
XGB,250,5.0,,0.5315800691244239,0.10037810222841365,0.03
GBM,100,4.0,,0.5314633256528418,0.1192630105646554,0.05
XGB,250,6.0,,0.5282450076804914,0.12510424162372777,0.15
XGB,100,4.0,,0.5276507296466975,0.10058570864921117,0.08
XGB,150,6.0,,0.527526113671275,0.12283603104461058,0.15
XGB,100,3.0,,0.5266922043010753,0.07899115149187766,0.03
XGB,250,6.0,,0.5264784946236559,0.12073198596560705,0.08
XGB,250,3.0,,0.5257705453149001,0.09405309462571627,0.03
RF,400,5.0,1.0,0.5250493471582182,0.12144109991823532,
XGB,150,6.0,,0.5247242703533026,0.12146959505707806,0.08
XGB,250,4.0,,0.5244880952380953,0.10191760814771568,0.03
XGB,100,3.0,,0.5240654761904762,0.09832714106093245,0.08
XGB,100,5.0,,0.521727534562212,0.0953099061949098,0.08
XGB,150,5.0,,0.520553955453149,0.09689727067529692,0.08
RF,400,5.0,2.0,0.520455069124424,0.1263811844838842,
RF,400,8.0,3.0,0.5202044930875577,0.12674925919531785,
GBM,200,4.0,,0.5199531490015361,0.12054975112574186,0.05
XGB,150,4.0,,0.5196230798771121,0.09417808374850167,0.08
GBM,100,4.0,,0.5195937019969279,0.12021846736518886,0.1
RF,200,8.0,3.0,0.5189233870967742,0.1265119930002334,
GBM,200,3.0,,0.5173043394777266,0.12197660135556618,0.1
RF,200,7.0,1.0,0.5167557603686636,0.12738298176506926,
