model,n_est,max_depth,min_leaf,mean_acc,std_acc,lr
XGB,100,4.0,,0.5947824933687003,0.11455394658127471,0.03
XGB,100,5.0,,0.5844235190097259,0.11464765172350605,0.03
XGB,150,4.0,,0.5816951370468612,0.12798533529152523,0.03
XGB,100,6.0,,0.5815877099911583,0.11190649095418814,0.03
XGB,100,5.0,,0.5802031830238727,0.12822262125835512,0.15
XGB,150,5.0,,0.5780776304155615,0.12629897743535637,0.15
XGB,150,5.0,,0.5742261715296199,0.12742436681704586,0.03
XGB,100,4.0,,0.5740951370468611,0.11740308435876623,0.08
XGB,250,4.0,,0.5740029177718833,0.12901637650206646,0.03
XGB,150,6.0,,0.5727081343943413,0.11665233774701421,0.03
XGB,250,5.0,,0.5701672855879752,0.12823313440060347,0.03
XGB,100,3.0,,0.5690595048629531,0.10985066258413081,0.03
XGB,150,4.0,,0.5682160919540229,0.12760941438163337,0.08
XGB,250,5.0,,0.5675980548187445,0.12550453394139988,0.15
XGB,150,3.0,,0.5672106100795756,0.1146496473309767,0.03
XGB,250,6.0,,0.5670262599469497,0.11357333887625774,0.03
XGB,100,4.0,,0.5653316534040671,0.1251919140521228,0.15
XGB,150,6.0,,0.5639184792219275,0.13387367871533573,0.15
XGB,250,3.0,,0.5634439434129089,0.11911156372349523,0.03
XGB,100,6.0,,0.5631288240495137,0.13342618872856318,0.15
XGB,100,5.0,,0.5622800176834659,0.1305676924878128,0.08
XGB,150,5.0,,0.5616366047745358,0.11866350430440488,0.08
XGB,150,3.0,,0.5608135278514589,0.11834046559111867,0.08
GBM,100,4.0,,0.5589597701149426,0.12384068970648665,0.05
XGB,250,5.0,,0.558956940760389,0.12043309429100635,0.08
XGB,100,3.0,,0.557356940760389,0.11890560181120044,0.08
XGB,100,6.0,,0.5572672855879752,0.11967481618731028,0.08
XGB,150,6.0,,0.5566879752431477,0.12081047938021061,0.08
XGB,250,3.0,,0.5555187444739168,0.12008643223174702,0.08
XGB,250,4.0,,0.5553597701149426,0.1207137835012383,0.08
XGB,100,3.0,,0.5539753315649868,0.12162579484899913,0.15
XGB,250,6.0,,0.553706100795756,0.12557052029562218,0.08
XGB,250,6.0,,0.5528339522546419,0.13539942237853383,0.15
GBM,200,4.0,,0.5517983200707338,0.11861901520158404,0.05
XGB,150,4.0,,0.5515829354553492,0.1217635447905679,0.15
XGB,250,4.0,,0.5514392572944297,0.12778531493568734,0.15
GBM,200,3.0,,0.5497566755083997,0.11724169538840347,0.05
GBM,200,4.0,,0.5492647214854112,0.10985245805600691,0.1
GBM,100,2.0,,0.5482771883289125,0.11635508456920439,0.1
XGB,150,3.0,,0.5468419982316535,0.1293629598055202,0.15
GBM,100,4.0,,0.5449336870026525,0.11398135861616787,0.1
GBM,100,3.0,,0.5442491600353669,0.11766102727953515,0.1
RF,200,6.0,1.0,0.5405705570291778,0.12755656643154256,
GBM,100,3.0,,0.5391515473032714,0.10052239234071428,0.05
RF,400,7.0,1.0,0.537442175066313,0.1142546340620251,
RF,100,7.0,1.0,0.533355260831123,0.12087223090699534,
RF,400,6.0,1.0,0.5332858532272325,0.1251333146134227,
RF,100,6.0,2.0,0.5321936339522546,0.12509272570286967,
GBM,200,2.0,,0.5318519009725906,0.09921411462346653,0.05
RF,100,5.0,1.0,0.5317679929266137,0.12568467003178954,
XGB,250,3.0,,0.5317164456233422,0.13465536045269755,0.15
RF,100,,2.0,0.5307910698496906,0.13198526802710495,
GBM,200,3.0,,0.5302313881520778,0.11797761310525114,0.1
RF,400,,1.0,0.529706542882405,0.12671261213589524,
RF,200,,1.0,0.527309106984969,0.12308549351886508,
RF,200,7.0,1.0,0.5269344827586208,0.11718497792544072,
RF,400,5.0,1.0,0.5261579133510168,0.13665882112907188,
GBM,200,2.0,,0.5259723253757738,0.120193843131459,0.1
RF,100,,1.0,0.525750397877984,0.12962867749786142,
RF,100,7.0,2.0,0.5253499557913351,0.12490023908121513,
RF,200,8.0,3.0,0.5231116710875332,0.1252791671837144,
RF,400,8.0,2.0,0.523032095490716,0.1202746964055992,
RF,400,6.0,2.0,0.5221679929266136,0.1270141092123382,
RF,400,8.0,1.0,0.5217677276746243,0.10715743316385161,
RF,100,8.0,2.0,0.5213191865605659,0.12263394406625815,
RF,200,,2.0,0.5208964633068082,0.13088506515625684,
RF,200,8.0,1.0,0.5204424403183024,0.11809878328951447,
RF,400,7.0,2.0,0.5203550839964634,0.12268548135015728,
RF,100,6.0,1.0,0.5203294429708223,0.12034335895779742,
RF,100,,3.0,0.5182577365163572,0.12094841381480713,
RF,200,,3.0,0.5178168877099911,0.12610075167652424,
RF,400,8.0,3.0,0.5171884173297966,0.12288766444683528,
RF,200,6.0,2.0,0.5167269672855881,0.12313162856091807,
RF,400,,2.0,0.5161580017683466,0.12608673759149652,
RF,100,6.0,3.0,0.5152577365163572,0.13328350586550206,
RF,400,,3.0,0.5146272325375774,0.13026624856477,
RF,400,7.0,3.0,0.51462175066313,0.12101920931163743,
GBM,100,2.0,,0.5142186560565871,0.08844289464102527,0.05
RF,200,8.0,2.0,0.513609106984969,0.12446541651879969,
RF,100,8.0,3.0,0.513180901856764,0.1274499227095811,
RF,100,7.0,3.0,0.5128318302387268,0.12067298587500873,
RF,200,5.0,1.0,0.5116062776304156,0.12516982184509595,
RF,100,8.0,1.0,0.510173474801061,0.1277785768751646,
RF,200,7.0,3.0,0.507626967285588,0.11684988594113328,
RF,400,6.0,3.0,0.5055913351016799,0.12656779407943525,
RF,100,5.0,2.0,0.5040270557029178,0.1302484907704757,
RF,400,5.0,2.0,0.5030014146772768,0.13553905318600018,
RF,200,7.0,2.0,0.5022835543766578,0.12701244928019217,
RF,400,8.0,5.0,0.4976911582670203,0.11439066462017389,
RF,400,6.0,5.0,0.4973988505747126,0.11300239084594856,
RF,400,7.0,5.0,0.49668337754199826,0.12153761949745251,
RF,100,4.0,1.0,0.49656808134394337,0.13748542106362255,
RF,400,5.0,3.0,0.49584252873563217,0.13112830458943614,
