Geosite_Name,Raw_X,Raw_Y,Error,Source_File,Source_Row_Ref
Tilmi Folds ,"31°48'05""N","5°47'0514""W","unrecognized coordinate pair: '31°48\'05""N', '5°47\'0514""W'",geoheritage_expanded_20260809,45
Jbel Irhoud anticline,,,missing coordinates,geoheritage_expanded_20260809,109
Chaâba valley,32°18′10′′N,9°13′51′W,"unrecognized coordinate pair: '32°18′10′′N', '9°13′51′W'",geoheritage_expanded_20260809,111
Brown clay marine faun in the intercalated banks,,,missing coordinates,geoheritage_expanded_20260809,125
The marine fauna presented in the banks,,,missing coordinates,geoheritage_expanded_20260809,129
Dayet Agoulmam Afougagh,33°37''N, 04°53''W,"unrecognized coordinate pair: ""33°37''N"", "" 04°53''W""",geoheritage_expanded_20260809,130
Lake Aoua (Dayet Aoua),33°39'20''N, 05°20''W,"unrecognized coordinate pair: ""33°39'20''N"", "" 05°20''W""",geoheritage_expanded_20260809,131
Lake Ifrah (Dayet Ifrah),33°33'45''N ,04°55'' W,"unrecognized coordinate pair: ""33°33'45''N "", ""04°55'' W""",geoheritage_expanded_20260809,132
Bou Tegrrouine,"33°17'5.65""N","5° 5'20.69""w","unrecognized coordinate pair: '33°17\'5.65""N', '5° 5\'20.69""w'",geoheritage_expanded_20260809,134
Alluvial terraces of Aït Mallal,,,missing coordinates,geoheritage_expanded_20260809,137
Aït Mallal valley,,,missing coordinates,geoheritage_expanded_20260809,138
Badlands of Igoulouane,,,missing coordinates,geoheritage_expanded_20260809,139
 Arouss valley,,,missing coordinates,geoheritage_expanded_20260809,140
 Canyon of Rougoult valley,,,missing coordinates,geoheritage_expanded_20260809,141
Canyon of Abachkou valley,,,missing coordinates,geoheritage_expanded_20260809,142
Canyon of High-Tessaout valley,,,missing coordinates,geoheritage_expanded_20260809,143
Glacial cirques and U-shaped valleys of Rat mountain,,,missing coordinates,geoheritage_expanded_20260809,144
Scree and talus deposits of Rat mountain,,,missing coordinates,geoheritage_expanded_20260809,145
Scree and talus deposits of Tarkeddid mountain,,,missing coordinates,geoheritage_expanded_20260809,146
Canyon of Ikiss,,,missing coordinates,geoheritage_expanded_20260809,148
Rat syncline,,,missing coordinates,geoheritage_expanded_20260809,149
Peak and cliffs of Tarkeddid mountain,,,missing coordinates,geoheritage_expanded_20260809,150
Mount M’goun (4068 m),,,missing coordinates,geoheritage_expanded_20260809,151
The unconformity between Paleozoic basement and Mesozoic sedimentary cover of Aït Mallal,,,missing coordinates,geoheritage_expanded_20260809,152
Rougoult waterfall,,,missing coordinates,geoheritage_expanded_20260809,154
Springs of Oued Lakhdar (green river),,,missing coordinates,geoheritage_expanded_20260809,155
Springs and waterfall of Ikiss,,,missing coordinates,geoheritage_expanded_20260809,156
Sinkholes of the Rat mountain,,,missing coordinates,geoheritage_expanded_20260809,157
Dinosaur footprints deposits of Iouaridene,,,missing coordinates,geoheritage_expanded_20260809,158
Dinosaur footprints deposits of  Ait Mimoun Ouffelah,,,missing coordinates,geoheritage_expanded_20260809,159
Dinosaur footprints deposits of Ait Bouguemaz,,,missing coordinates,geoheritage_expanded_20260809,160
Dinosaur footprints deposits of Ait Bla,,,missing coordinates,geoheritage_expanded_20260809,161
Ammonitico-rosso of Taffert,,,missing coordinates,geoheritage_expanded_20260809,188
Volcano of Bou-Iblane,,,missing coordinates,geoheritage_expanded_20260809,189
Reefs of Ich Maalam,,,missing coordinates,geoheritage_expanded_20260809,190
Cornish limestones of Serhla,,,missing coordinates,geoheritage_expanded_20260809,191
Hayane canyon,,,missing coordinates,geoheritage_expanded_20260809,192
Askour Cave,,,missing coordinates,geoheritage_expanded_20260809,193
Tamezyidan Rbi,,,missing coordinates,geoheritage_expanded_20260809,194
Guelta Tameda,,,missing coordinates,geoheritage_expanded_20260809,195
Source Oued el Bared,,,missing coordinates,geoheritage_expanded_20260809,196
Oued el Bared cave,,,missing coordinates,geoheritage_expanded_20260809,197
Discordance Ribata lKhayr,,,missing coordinates,geoheritage_expanded_20260809,198
Tizi Bou-Zaabel,,,missing coordinates,geoheritage_expanded_20260809,199
Bou-Iblane-Issouka,,,missing coordinates,geoheritage_expanded_20260809,200
Periclinal Taffajight,,,missing coordinates,geoheritage_expanded_20260809,201
Malachites of Talzemt,,,missing coordinates,geoheritage_expanded_20260809,202
Discordance Jbel Abdous,,,missing coordinates,geoheritage_expanded_20260809,203
Mallal cascade,,,missing coordinates,geoheritage_expanded_20260809,204
