Locality_ID,Geosite_Name,Latitude_WGS84,Longitude_WGS84,Region,Geosite_Type,Geological_Domain,Observation_Count,Member_Observation_IDs,Source_Files,Correction_Applied,Ground_Truth_Note
loc_00001,Eburnian-Proterozoic Unconformity,30.547018097923637,-7.122467385495109,Draa-Tafilalet,SG,Anti-Atlas ,1,obs2_00000,geoheritage_expanded_20260809,,
loc_00002,Bou Offroh ophiolit,30.54671313620237,-6.971048117972587,Draa-Tafilalet,PT,Anti-Atlas ,1,obs2_00001,geoheritage_expanded_20260809,,
loc_00003,Oceanic Moho rocks,30.490992892858085,-6.612429949729095,Draa-Tafilalet,PT,Anti-Atlas ,1,obs2_00002,geoheritage_expanded_20260809,,
loc_00004,Bleida granodiorite,30.368905368656545,-6.46223994636819,Draa-Tafilalet,PT,Anti-Atlas ,1,obs2_00004,geoheritage_expanded_20260809,,
loc_00005,Sauropod tracksite,31.1145,-8.982833333333334,Marrakech-Safi,S & PL,Western High Atlas,1,obs2_00005,geoheritage_expanded_20260809,,
loc_00006,Tension joints & veins,32.59281111111111,-4.504277777777777,Draa-Tafilalet,SG,Central High Atlas,1,obs2_00006,geoheritage_expanded_20260809,,
loc_00007,Fault mirror,32.59246944444445,-4.504686111111111,Draa-Tafilalet,SG,Central High Atlas,1,obs2_00007,geoheritage_expanded_20260809,,
loc_00008,Turbidite/tempesitie,32.59108611111111,-4.504991666666666,Draa-Tafilalet,S,Central High Atlas,1,obs2_00008,geoheritage_expanded_20260809,,
loc_00009,Synsedimentary Fd,32.590869444444444,-4.504938888888889,Draa-Tafilalet,SG,Central High Atlas,1,obs2_00009,geoheritage_expanded_20260809,,
loc_00010,Bioclastic limestone,32.59060277777778,-4.505005555555556,Draa-Tafilalet,PL,Central High Atlas,2,obs2_00010;obs2_00015,geoheritage_expanded_20260809,,
loc_00011,Current ripples,32.590297222222226,-4.5050638888888885,Draa-Tafilalet,S,Central High Atlas,1,obs2_00011,geoheritage_expanded_20260809,,
loc_00012,Th. Burrows,32.59028055555556,-4.504902777777778,Draa-Tafilalet,PL,Central High Atlas,1,obs2_00012,geoheritage_expanded_20260809,,
loc_00013,Limestone-marls  seq.,32.590050000000005,-4.504761111111111,Draa-Tafilalet,S,Central High Atlas,1,obs2_00013,geoheritage_expanded_20260809,,
loc_00014,Horst-graben structures,32.590025000000004,-4.504727777777778,Draa-Tafilalet,SG,Central High Atlas,1,obs2_00014,geoheritage_expanded_20260809,,
loc_00015,Rhizocorallium burrows,32.58986388888889,-4.504866666666667,Draa-Tafilalet,PL,Central High Atlas,1,obs2_00016,geoheritage_expanded_20260809,,
loc_00016,Tridactyl footpreints,32.58935,-4.504527777777778,Draa-Tafilalet,PL,Central High Atlas,1,obs2_00017,geoheritage_expanded_20260809,,
loc_00017,Lac Tislit,32.19583333333333,-5.636666666666666,Draa-Tafilalet,H,Central High Atlas,1,obs2_00018,geoheritage_expanded_20260809,,
loc_00018,Imelouan Folds,32.155833333333334,-5.598333333333333,Draa-Tafilalet,SG,Central High Atlas,2,obs2_00019;obs2_00044,geoheritage_expanded_20260809,,
loc_00019,"Ait Ali Ou-Ikkou ""Red beds""",32.14472222222222,-5.557777777777778,Draa-Tafilalet,S,Central High Atlas,1,obs2_00020,geoheritage_expanded_20260809,,
loc_00020,Todgha Gorges,31.584444444444443,-5.590833333333333,Draa-Tafilalet,SG&H,Central High Atlas,1,obs2_00021,geoheritage_expanded_20260809,,
loc_00021,Tamlalet Monkey’s fingers structures,31.44333333333333,-5.978055555555556,Draa-Tafilalet,G,Central High Atlas,2,obs2_00022;obs2_00038,geoheritage_expanded_20260809,,
loc_00022,Tissadrine Folds,31.529444444444444,-5.925833333333333,Draa-Tafilalet,SG,Central High Atlas,2,obs2_00023;obs2_00040,geoheritage_expanded_20260809,,
loc_00023,"Msemrir ""Red Beds""",31.72,-5.826666666666666,Draa-Tafilalet,S&PL,Central High Atlas,2,obs2_00024;obs2_00042,geoheritage_expanded_20260809,,
loc_00024,Ait Aritane Panoramic view,31.542222222222225,-5.566944444444444,Draa-Tafilalet,G,Central High Atlas,1,obs2_00025,geoheritage_expanded_20260809,,
loc_00025,Ait Snan Fault,31.39527777777778,-5.5975,Draa-Tafilalet,SG,Central High Atlas,1,obs2_00026,geoheritage_expanded_20260809,,
loc_00026,"Tamtetoucht ""Red beds""",31.71722222222222,-5.507777777777778,Draa-Tafilalet,PL,Central High Atlas,1,obs2_00027,geoheritage_expanded_20260809,,
loc_00027,Ait Hani Triassic salt cave,31.86416666666667,-5.470555555555555,Draa-Tafilalet,G,Central High Atlas,1,obs2_00028,geoheritage_expanded_20260809,,
loc_00028,Ighrem N’Ougdal Middle Jurassic strata,32.009166666666665,-5.490833333333334,Draa-Tafilalet,G,Central High Atlas,1,obs2_00030,geoheritage_expanded_20260809,,
loc_00029,Tinghir Paleozoic-Cretaceous unconformity,31.48305555555556,-5.539444444444444,Draa-Tafilalet,SG,Central High Atlas,1,obs2_00031,geoheritage_expanded_20260809,,
loc_00030,Foum El Kouss Basalts,31.435277777777777,-5.655,Draa-Tafilalet,PT,Central High Atlas,1,obs2_00032,geoheritage_expanded_20260809,,
loc_00031,Timaderouine Cretaceous-Tertiary strata,31.411666666666665,-5.722222222222222,Draa-Tafilalet,S,Central High Atlas,1,obs2_00033,geoheritage_expanded_20260809,,
loc_00032,Imider Tertiary strata,31.375,-5.7908333333333335,Draa-Tafilalet,S,Central High Atlas,1,obs2_00034,geoheritage_expanded_20260809,,
loc_00033,Anou N’Izm Tertiary strata,31.33944444444444,-5.838611111111111,Draa-Tafilalet,S,Central High Atlas,1,obs2_00035,geoheritage_expanded_20260809,,
loc_00034,Ait Youl Basalts,31.425,-6.011388888888889,Draa-Tafilalet,PT,Central High Atlas,1,obs2_00036,geoheritage_expanded_20260809,,
loc_00035,Ait Ibriren Quaternary deposits,31.441944444444445,-6.010833333333333,Draa-Tafilalet,S,Central High Atlas,1,obs2_00037,geoheritage_expanded_20260809,,
loc_00036,Ait Ouglef Allochthonous limestones,31.454722222222223,-5.959722222222222,Draa-Tafilalet,SG,Central High Atlas,1,obs2_00039,geoheritage_expanded_20260809,,
loc_00037,Taghia N’Ait Hammou Gorges,31.53666666666667,-5.919444444444445,Draa-Tafilalet,SG,Central High Atlas,1,obs2_00041,geoheritage_expanded_20260809,,
loc_00038,Ait Attou Oumoussa Jurassic strata,31.861666666666668,-5.708055555555556,Draa-Tafilalet,S,Central High Atlas,1,obs2_00043,geoheritage_expanded_20260809,,
loc_00039,Redbeds,32.166,-5.523,Draa-Tafilalet,SG&S,Central High Atlas,1,obs2_00045,geoheritage_expanded_20260809,,
loc_00040,Intraformational unc,32.193,-5.639,Draa-Tafilalet,S,Central High Atlas,1,obs2_00046,geoheritage_expanded_20260809,,
loc_00041,Isli Lake,32.222,-5.55,Draa-Tafilalet,H,Central High Atlas,1,obs2_00047,geoheritage_expanded_20260809,,
loc_00042,Tisli Lake,32.199,-5.629,Draa-Tafilalet,H,Central High Atlas,1,obs2_00048,geoheritage_expanded_20260809,,
loc_00043,Dolerite dykes and sills,32.153,-5.64,Draa-Tafilalet,PL,Central High Atlas,1,obs2_00049,geoheritage_expanded_20260809,,
loc_00044,Fairy chimneys,32.176,-5.599,Draa-Tafilalet,G,Central High Atlas,1,obs2_00050,geoheritage_expanded_20260809,,
loc_00045,Meandering Melloul river,32.159,-5.603,Draa-Tafilalet,G,Central High Atlas,1,obs2_00051,geoheritage_expanded_20260809,,
loc_00046,Sedimentary patterns,32.167,-5.545,Draa-Tafilalet,S,Central High Atlas,1,obs2_00052,geoheritage_expanded_20260809,,
loc_00047,Msadrid ridge,32.153,-5.593,Draa-Tafilalet,S,Central High Atlas,1,obs2_00053,geoheritage_expanded_20260809,,
loc_00048,Ait Ali Ou Ikkou's diapirsm,32.153,-5.593,Draa-Tafilalet,S,Central High Atlas,1,obs2_00054,geoheritage_expanded_20260809,,
loc_00049,Late Jurassic theropod tracks,32.142,-5.57,Draa-Tafilalet,PL,Central High Atlas,1,obs2_00055,geoheritage_expanded_20260809,,
loc_00050,Vertebrate tracks in the Isli Formation,32.157,-5.562,Draa-Tafilalet,PL,Central High Atlas,1,obs2_00056,geoheritage_expanded_20260809,,
loc_00051,Traces of Selenichnites- Tilmi syncline,32.163,-5.546,Draa-Tafilalet,PL,Central High Atlas,1,obs2_00057,geoheritage_expanded_20260809,,
loc_00052,Traces of Crocodylopodus meijidei,32.183,-5.458,Draa-Tafilalet,PL,Central High Atlas,1,obs2_00058,geoheritage_expanded_20260809,,
loc_00053,Tassent ridge,32.15,-5.55,Draa-Tafilalet,S,Central High Atlas,1,obs2_00059,geoheritage_expanded_20260809,,
loc_00054,Akhiam cave,31.958,-5.696,Draa-Tafilalet,G,Central High Atlas,1,obs2_00060,geoheritage_expanded_20260809,,
loc_00055,The cliff granaries of Aoujgal,32.29805833333333,-5.835413888888889,Béni Mellal-Khénifra,S,Central High Atlas,1,obs2_00061,geoheritage_expanded_20260809,,
loc_00056,The architectural heritage of Zaouiat Ahansal,31.83156111111111,-6.100886111111111,Béni Mellal-Khénifra,C,Central High Atlas,1,obs2_00062,geoheritage_expanded_20260809,,
loc_00057,Panorama of Zaouiat Ahansal,31.82883888888889,-6.098708333333333,Béni Mellal-Khénifra,G,Central High Atlas,1,obs2_00063,geoheritage_expanded_20260809,,
loc_00058,The natural bridge of Imin Ifri,31.724191666666663,-6.971397222222223,Béni Mellal-Khénifra,G,Central High Atlas,1,obs2_00064,geoheritage_expanded_20260809,,
