Observation_ID,Geosite_Name,Latitude_WGS84,Longitude_WGS84,Region,Geosite_Type,Geological_Domain,Locality_Center_Lat,Locality_Center_Lon,Locality_Group_Key,Coordinate_Precision,Source_File,Source_Row_Ref,Center_Coord_Source,Is_Merchich_Format,Correction_Applied,Ground_Truth_Note
obs2_00000,Eburnian-Proterozoic Unconformity,30.547018097923637,-7.122467385495109,Draa-Tafilalet,SG,Anti-Atlas ,,,geoheritage_expanded_20260809_group_1,point,geoheritage_expanded_20260809,3,,False,,
obs2_00001,Bou Offroh ophiolit,30.54671313620237,-6.971048117972587,Draa-Tafilalet,PT,Anti-Atlas ,,,geoheritage_expanded_20260809_group_1,point,geoheritage_expanded_20260809,4,,False,,
obs2_00002,Oceanic Moho rocks,30.490992892858085,-6.612429949729095,Draa-Tafilalet,PT,Anti-Atlas ,,,geoheritage_expanded_20260809_group_1,point,geoheritage_expanded_20260809,5,,False,,
obs2_00004,Bleida granodiorite,30.368905368656545,-6.46223994636819,Draa-Tafilalet,PT,Anti-Atlas ,,,geoheritage_expanded_20260809_group_1,point,geoheritage_expanded_20260809,7,,False,,
obs2_00005,Sauropod tracksite,31.1145,-8.982833333333334,Marrakech-Safi,S & PL,Western High Atlas,31.1145,-8.9838,geoheritage_expanded_20260809_group_2,point,geoheritage_expanded_20260809,8,legend_lookup,False,,
obs2_00006,Tension joints & veins,32.59281111111111,-4.504277777777777,Draa-Tafilalet,SG,Central High Atlas,32.5903,-4.5049,geoheritage_expanded_20260809_group_3,point,geoheritage_expanded_20260809,9,legend_lookup,False,,
obs2_00007,Fault mirror,32.59246944444445,-4.504686111111111,Draa-Tafilalet,SG,Central High Atlas,32.5903,-4.5049,geoheritage_expanded_20260809_group_3,point,geoheritage_expanded_20260809,10,legend_lookup,False,,
obs2_00008,Turbidite/tempesitie,32.59108611111111,-4.504991666666666,Draa-Tafilalet,S,Central High Atlas,32.5903,-4.5049,geoheritage_expanded_20260809_group_3,point,geoheritage_expanded_20260809,11,legend_lookup,False,,
obs2_00009,Synsedimentary Fd,32.590869444444444,-4.504938888888889,Draa-Tafilalet,SG,Central High Atlas,32.5903,-4.5049,geoheritage_expanded_20260809_group_3,point,geoheritage_expanded_20260809,12,legend_lookup,False,,
obs2_00010,Bioclastic limestone,32.59060277777778,-4.505005555555556,Draa-Tafilalet,PL,Central High Atlas,32.5903,-4.5049,geoheritage_expanded_20260809_group_3,point,geoheritage_expanded_20260809,13,legend_lookup,False,,
obs2_00011,Current ripples,32.590297222222226,-4.5050638888888885,Draa-Tafilalet,S,Central High Atlas,32.5903,-4.5049,geoheritage_expanded_20260809_group_3,point,geoheritage_expanded_20260809,14,legend_lookup,False,,
obs2_00012,Th. Burrows,32.59028055555556,-4.504902777777778,Draa-Tafilalet,PL,Central High Atlas,32.5903,-4.5049,geoheritage_expanded_20260809_group_3,point,geoheritage_expanded_20260809,15,legend_lookup,False,,
obs2_00013,Limestone-marls  seq.,32.590050000000005,-4.504761111111111,Draa-Tafilalet,S,Central High Atlas,32.5903,-4.5049,geoheritage_expanded_20260809_group_3,point,geoheritage_expanded_20260809,16,legend_lookup,False,,
obs2_00014,Horst-graben structures,32.590025000000004,-4.504727777777778,Draa-Tafilalet,SG,Central High Atlas,32.5903,-4.5049,geoheritage_expanded_20260809_group_3,point,geoheritage_expanded_20260809,17,legend_lookup,False,,
obs2_00015,Bioclastic limestone,32.589975,-4.504786111111111,Draa-Tafilalet,PL,Central High Atlas,32.5903,-4.5049,geoheritage_expanded_20260809_group_3,point,geoheritage_expanded_20260809,18,legend_lookup,False,,
obs2_00016,Rhizocorallium burrows,32.58986388888889,-4.504866666666667,Draa-Tafilalet,PL,Central High Atlas,32.5903,-4.5049,geoheritage_expanded_20260809_group_3,point,geoheritage_expanded_20260809,19,legend_lookup,False,,
obs2_00017,Tridactyl footpreints,32.58935,-4.504527777777778,Draa-Tafilalet,PL,Central High Atlas,32.5903,-4.5049,geoheritage_expanded_20260809_group_3,point,geoheritage_expanded_20260809,20,legend_lookup,False,,
obs2_00018,Lac Tislit,32.19583333333333,-5.636666666666666,Draa-Tafilalet,H,Central High Atlas,31.8,-5.6,geoheritage_expanded_20260809_group_4,point,geoheritage_expanded_20260809,21,legend_lookup,False,,
obs2_00019,Imelouan Folds,32.155833333333334,-5.598333333333333,Draa-Tafilalet,SG,Central High Atlas,31.8,-5.6,geoheritage_expanded_20260809_group_4,point,geoheritage_expanded_20260809,22,legend_lookup,False,,
obs2_00020,"Ait Ali Ou-Ikkou ""Red beds""",32.14472222222222,-5.557777777777778,Draa-Tafilalet,S,Central High Atlas,31.8,-5.6,geoheritage_expanded_20260809_group_4,point,geoheritage_expanded_20260809,23,legend_lookup,False,,
obs2_00021,Todgha Gorges,31.584444444444443,-5.590833333333333,Draa-Tafilalet,SG&H,Central High Atlas,31.8,-5.6,geoheritage_expanded_20260809_group_4,point,geoheritage_expanded_20260809,24,legend_lookup,False,,
obs2_00022,Tamlalet Monkey’s fingers structures,31.44333333333333,-5.978055555555556,Draa-Tafilalet,G,Central High Atlas,31.8,-5.6,geoheritage_expanded_20260809_group_4,point,geoheritage_expanded_20260809,25,legend_lookup,False,,
obs2_00023,Tissadrine Folds,31.529444444444444,-5.925833333333333,Draa-Tafilalet,SG,Central High Atlas,31.8,-5.6,geoheritage_expanded_20260809_group_4,point,geoheritage_expanded_20260809,26,legend_lookup,False,,
obs2_00024,"Msemrir ""Red Beds""",31.72,-5.826666666666666,Draa-Tafilalet,S&PL,Central High Atlas,31.8,-5.6,geoheritage_expanded_20260809_group_4,point,geoheritage_expanded_20260809,27,legend_lookup,False,,
obs2_00025,Ait Aritane Panoramic view,31.542222222222225,-5.566944444444444,Draa-Tafilalet,G,Central High Atlas,31.8,-5.6,geoheritage_expanded_20260809_group_4,point,geoheritage_expanded_20260809,28,legend_lookup,False,,
obs2_00026,Ait Snan Fault,31.39527777777778,-5.5975,Draa-Tafilalet,SG,Central High Atlas,31.8,-5.6,geoheritage_expanded_20260809_group_4,point,geoheritage_expanded_20260809,29,legend_lookup,False,,
obs2_00027,"Tamtetoucht ""Red beds""",31.71722222222222,-5.507777777777778,Draa-Tafilalet,PL,Central High Atlas,31.8,-5.6,geoheritage_expanded_20260809_group_4,point,geoheritage_expanded_20260809,30,legend_lookup,False,,
obs2_00028,Ait Hani Triassic salt cave,31.86416666666667,-5.470555555555555,Draa-Tafilalet,G,Central High Atlas,31.8,-5.6,geoheritage_expanded_20260809_group_4,point,geoheritage_expanded_20260809,31,legend_lookup,False,,
obs2_00030,Ighrem N’Ougdal Middle Jurassic strata,32.009166666666665,-5.490833333333334,Draa-Tafilalet,G,Central High Atlas,31.8,-5.6,geoheritage_expanded_20260809_group_4,point,geoheritage_expanded_20260809,33,legend_lookup,False,,
obs2_00031,Tinghir Paleozoic-Cretaceous unconformity,31.48305555555556,-5.539444444444444,Draa-Tafilalet,SG,Central High Atlas,31.8,-5.6,geoheritage_expanded_20260809_group_4,point,geoheritage_expanded_20260809,34,legend_lookup,False,,
obs2_00032,Foum El Kouss Basalts,31.435277777777777,-5.655,Draa-Tafilalet,PT,Central High Atlas,31.8,-5.6,geoheritage_expanded_20260809_group_4,point,geoheritage_expanded_20260809,35,legend_lookup,False,,
obs2_00033,Timaderouine Cretaceous-Tertiary strata,31.411666666666665,-5.722222222222222,Draa-Tafilalet,S,Central High Atlas,31.8,-5.6,geoheritage_expanded_20260809_group_4,point,geoheritage_expanded_20260809,36,legend_lookup,False,,
obs2_00034,Imider Tertiary strata,31.375,-5.7908333333333335,Draa-Tafilalet,S,Central High Atlas,31.8,-5.6,geoheritage_expanded_20260809_group_4,point,geoheritage_expanded_20260809,37,legend_lookup,False,,
obs2_00035,Anou N’Izm Tertiary strata,31.33944444444444,-5.838611111111111,Draa-Tafilalet,S,Central High Atlas,31.8,-5.6,geoheritage_expanded_20260809_group_4,point,geoheritage_expanded_20260809,38,legend_lookup,False,,
obs2_00036,Ait Youl Basalts,31.425,-6.011388888888889,Draa-Tafilalet,PT,Central High Atlas,31.8,-5.6,geoheritage_expanded_20260809_group_4,point,geoheritage_expanded_20260809,39,legend_lookup,False,,
obs2_00037,Ait Ibriren Quaternary deposits,31.441944444444445,-6.010833333333333,Draa-Tafilalet,S,Central High Atlas,31.8,-5.6,geoheritage_expanded_20260809_group_4,point,geoheritage_expanded_20260809,40,legend_lookup,False,,
obs2_00038,Tamlalet Monkey’s fingers structures,31.44333333333333,-5.978055555555556,Draa-Tafilalet,G,Central High Atlas,31.8,-5.6,geoheritage_expanded_20260809_group_4,point,geoheritage_expanded_20260809,41,legend_lookup,False,,
