Observation_ID,Geosite_Name,Latitude_WGS84,Longitude_WGS84,Region,Geosite_Type,Geological_Domain,Locality_Center_Lat,Locality_Center_Lon,Locality_Group_Key,Coordinate_Precision,Source_File,Source_Row_Ref,Center_Coord_Source,Is_Merchich_Format,Correction_Applied,Ground_Truth_Note,index_right,Detected_Region
obs2_00003,Tamaliout Folding & Thrusting,30.43212980063328,-6.658345105114725,Draa-Tafilalet,PT,Anti-Atlas ,,,geoheritage_expanded_20260809_group_1,point,geoheritage_expanded_20260809,6,,False,,,11.0,Souss-Massa
obs2_00029,Toumlilin Middle Jurassic strata,32.85666666666667,-5.465555555555556,Draa-Tafilalet,S,Central High Atlas,31.8,-5.6,geoheritage_expanded_20260809_group_4,point,geoheritage_expanded_20260809,32,legend_lookup,False,,,4.0,Béni Mellal-Khénifra
obs2_00075,Cliff of Ait Abdi,31.616758333333333,-7.350030555555556,Béni Mellal-Khénifra,SG,Central High Atlas,,,geoheritage_expanded_20260809_group_6,point,geoheritage_expanded_20260809,79,,False,,,6.0,Marrakech-Safi
obs2_00291,Quaternary Basal tic flow of Oued Boulahmayl lavas,33.329013888888895,-6.996697222222222,Rabat-Salé-Kénitra,SG,Central Massif,,,geoheritage_expanded_20260809_group_26,point,geoheritage_expanded_20260809,394,,False,,,7.0,Grand Casablanca-Settat
obs2_00797,Geosite 7,30.280372222222223,-6.757427777777778,Draa-Tafilalet,,High Atlas & Anti-Atlas,,,geoheritage_expanded_20260809_group_60,point,geoheritage_expanded_20260809,1087,,False,,,11.0,Souss-Massa
obs2_00800,Geosite 10,30.573175,-7.845924999999999,Draa-Tafilalet,,High Atlas & Anti-Atlas,,,geoheritage_expanded_20260809_group_60,point,geoheritage_expanded_20260809,1090,,False,,,11.0,Souss-Massa
obs2_00801,Ait OfeIla,32.942877777777774,-5.084030555555556,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_expanded_20260809_group_61,point,geoheritage_expanded_20260809,1091,,False,,,5.0,Drâa-Tafilalet
obs2_00813,Col du Zad,33.00901944444445,-5.071052777777777,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_expanded_20260809_group_61,point,geoheritage_expanded_20260809,1103,,False,,,5.0,Drâa-Tafilalet
obs2_00914,Aghbalou n’Toumit,33.08202222222223,-4.983805555555556,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_expanded_20260809_group_66,point,geoheritage_expanded_20260809,1205,,False,,,5.0,Drâa-Tafilalet
obs2_00916,Aghbalou Oumlil,33.08072222222223,-4.983441666666667,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_expanded_20260809_group_66,point,geoheritage_expanded_20260809,1207,,False,,,5.0,Drâa-Tafilalet
obs2_00939,Aguelmam Taanzeoult,33.07188333333334,-5.021330555555555,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_expanded_20260809_group_66,point,geoheritage_expanded_20260809,1230,,False,,,5.0,Drâa-Tafilalet
obs2_00942,Aguelmame Sidi Ali,33.07327777777778,-4.994697222222222,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_expanded_20260809_group_66,point,geoheritage_expanded_20260809,1233,,False,,,5.0,Drâa-Tafilalet
obs2_00950,Ain Ba Ahmed,33.05813333333333,-5.005919444444444,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_expanded_20260809_group_66,point,geoheritage_expanded_20260809,1241,,False,,,5.0,Drâa-Tafilalet
obs2_00965,Ain Larais,33.065352777777775,-4.996083333333333,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_expanded_20260809_group_66,point,geoheritage_expanded_20260809,1256,,False,,,5.0,Drâa-Tafilalet
obs2_01169,Taanzoult,33.06967222222222,-5.017141666666666,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_expanded_20260809_group_68,point,geoheritage_expanded_20260809,1460,,False,,,5.0,Drâa-Tafilalet
