Locality_ID,Geosite_Name,Region,Reference,Title
loc_00376,The architectural heritage of Zaouiat Ahansal,Béni Mellal-Khénifra,Elkaichi et al.2021,"Quantitative assessment of the geodiversity of M’Goun UNESCO Geopark, Central High Atlas (Morocco)"
loc_00377,Panorama of Zaouiat Ahansal,Béni Mellal-Khénifra,Elkaichi et al.2021,"Quantitative assessment of the geodiversity of M’Goun UNESCO Geopark, Central High Atlas (Morocco)"
loc_00378,The natural bridge of Imin Ifri,Béni Mellal-Khénifra,Elkaichi et al.2021,"Quantitative assessment of the geodiversity of M’Goun UNESCO Geopark, Central High Atlas (Morocco)"
loc_00379,The dinosaur geosites of Iouaridène,Béni Mellal-Khénifra,Elkaichi et al.2021,"Quantitative assessment of the geodiversity of M’Goun UNESCO Geopark, Central High Atlas (Morocco)"
loc_00380,Aït Blal Rock engravings,Béni Mellal-Khénifra,Elkaichi et al.2021,"Quantitative assessment of the geodiversity of M’Goun UNESCO Geopark, Central High Atlas (Morocco)"
loc_00381,Tizi-n-Tighist Geo landscape,Béni Mellal-Khénifra,Elkaichi et al.2021,"Quantitative assessment of the geodiversity of M’Goun UNESCO Geopark, Central High Atlas (Morocco)"
loc_00382,Paleo-dam of Tizi-n-Tighza,Béni Mellal-Khénifra,Elkaichi et al.2021,"Quantitative assessment of the geodiversity of M’Goun UNESCO Geopark, Central High Atlas (Morocco)"
loc_00383,Ibaqualliwn Lamellibranches of Tizi-n-Tighist,Béni Mellal-Khénifra,Elkaichi et al.2021,"Quantitative assessment of the geodiversity of M’Goun UNESCO Geopark, Central High Atlas (Morocco)"
loc_00384,Jbel Azoukri Ait Attab synclinal (1),Béni Mellal-Khénifra,Elkaichi et al.2021,"Quantitative assessment of the geodiversity of M’Goun UNESCO Geopark, Central High Atlas (Morocco)"
loc_00385,"Ait Attab synclinal, Bougal (Taghia)",Béni Mellal-Khénifra,Elkaichi et al.2021,"Quantitative assessment of the geodiversity of M’Goun UNESCO Geopark, Central High Atlas (Morocco)"
loc_00386,"The Bin El Ouidane dam ""Chocolate Marls""",Béni Mellal-Khénifra,Elkaichi et al.2021,"Quantitative assessment of the geodiversity of M’Goun UNESCO Geopark, Central High Atlas (Morocco)"
loc_00387,The Ouzoud waterfalls,Béni Mellal-Khénifra,Elkaichi et al.2021,"Quantitative assessment of the geodiversity of M’Goun UNESCO Geopark, Central High Atlas (Morocco)"
loc_00388,The “Cathedral” Mastfrane,Béni Mellal-Khénifra,Elkaichi et al.2021,"Quantitative assessment of the geodiversity of M’Goun UNESCO Geopark, Central High Atlas (Morocco)"
loc_00389,Talmst Ride,Béni Mellal-Khénifra,Elkaichi et al.2021,"Quantitative assessment of the geodiversity of M’Goun UNESCO Geopark, Central High Atlas (Morocco)"
loc_00390,Collective granary of Sidi Moussa,Béni Mellal-Khénifra,Elkaichi et al.2023,"Evaluation of Geotouristic Station Suitability Using GIS‑Based Multi‑criteria Decision Analysis: a Case Study of the M’Goun UNESCO Geopark, High Atlas (Morocco)"
loc_00391,"Granary, Ighrem",Béni Mellal-Khénifra,Elkaichi et al.2023,"Evaluation of Geotouristic Station Suitability Using GIS‑Based Multi‑criteria Decision Analysis: a Case Study of the M’Goun UNESCO Geopark, High Atlas (Morocco)"
loc_00392,Footprints of the carnivorous dinosaur (Tridactyl),Béni Mellal-Khénifra,Elkaichi et al.2023,"Evaluation of Geotouristic Station Suitability Using GIS‑Based Multi‑criteria Decision Analysis: a Case Study of the M’Goun UNESCO Geopark, High Atlas (Morocco)"
loc_00393,Herbivorous dinosaur footprints,Béni Mellal-Khénifra,Elkaichi et al.2023,"Evaluation of Geotouristic Station Suitability Using GIS‑Based Multi‑criteria Decision Analysis: a Case Study of the M’Goun UNESCO Geopark, High Atlas (Morocco)"
loc_00394,Izourar plateaus,Béni Mellal-Khénifra,Elkaichi et al.2023,"Evaluation of Geotouristic Station Suitability Using GIS‑Based Multi‑criteria Decision Analysis: a Case Study of the M’Goun UNESCO Geopark, High Atlas (Morocco)"
loc_00395,Rock engravings of Tizi-n-Tighist,Béni Mellal-Khénifra,Elkaichi et al.2023,"Evaluation of Geotouristic Station Suitability Using GIS‑Based Multi‑criteria Decision Analysis: a Case Study of the M’Goun UNESCO Geopark, High Atlas (Morocco)"
loc_00396,Sandstone-fault families,Marrakech-Safi,El Hamidy et al.2024,"Jbel Irhoud Geosite, the Cradle of Humanity (Youssoufia Province, 
Marrakech‑Safi region, Morocco): Evaluation and Valorization 
of the Geological Heritage for Geoeducation and Geotourism Purposes"
loc_00397,"Faiult mirror-gradin 
crystallization",Marrakech-Safi,El Hamidy et al.2024,"Jbel Irhoud Geosite, the Cradle of Humanity (Youssoufia Province, 
Marrakech‑Safi region, Morocco): Evaluation and Valorization 
of the Geological Heritage for Geoeducation and Geotourism Purposes"
loc_00398,Karst networks of barite,Marrakech-Safi,El Hamidy et al.2024,"Jbel Irhoud Geosite, the Cradle of Humanity (Youssoufia Province, 
Marrakech‑Safi region, Morocco): Evaluation and Valorization 
of the Geological Heritage for Geoeducation and Geotourism Purposes"
loc_00399,Calcite crystals,Marrakech-Safi,El Hamidy et al.2024,"Jbel Irhoud Geosite, the Cradle of Humanity (Youssoufia Province, 
Marrakech‑Safi region, Morocco): Evaluation and Valorization 
of the Geological Heritage for Geoeducation and Geotourism Purposes"
