Locality_ID,Geosite_Name,Reference,Latitude_WGS84,Longitude_WGS84,Dist_to_Highway_m
loc_00376,The architectural heritage of Zaouiat Ahansal,Elkaichi et al.2021,31.83156111111111,-6.100886111111111,1074.9605815044415
loc_00377,Panorama of Zaouiat Ahansal,Elkaichi et al.2021,31.82883888888889,-6.098708333333333,1421.5860690910772
loc_00378,The natural bridge of Imin Ifri,Elkaichi et al.2021,31.724191666666663,-6.971397222222223,1.523268545573127
loc_00379,The dinosaur geosites of Iouaridène,Elkaichi et al.2021,31.72577777777777,-6.906922222222223,17.72025246125147
loc_00380,Aït Blal Rock engravings,Elkaichi et al.2021,31.750616666666662,-6.32005,311.4858728285409
loc_00381,Tizi-n-Tighist Geo landscape,Elkaichi et al.2021,31.749802777777777,-6.320194444444444,255.81120492742988
loc_00382,Paleo-dam of Tizi-n-Tighza,Elkaichi et al.2021,31.730963888888887,-6.307902777777778,965.4550980873169
loc_00383,Ibaqualliwn Lamellibranches of Tizi-n-Tighist,Elkaichi et al.2021,31.733088888888886,-6.324652777777778,20.634646311325707
loc_00384,Jbel Azoukri Ait Attab synclinal (1),Elkaichi et al.2021,31.757188888888887,-6.248361111111112,2012.212577440792
loc_00385,"Ait Attab synclinal, Bougal (Taghia)",Elkaichi et al.2021,31.78695833333333,-6.072663888888889,6590.146167077294
loc_00386,"The Bin El Ouidane dam ""Chocolate Marls""",Elkaichi et al.2021,32.108783333333335,-6.436002777777778,46.26254744587702
loc_00387,The Ouzoud waterfalls,Elkaichi et al.2021,32.015011111111114,-6.7196694444444445,319.9347066994651
loc_00388,The “Cathedral” Mastfrane,Elkaichi et al.2021,31.980719444444443,-6.137377777777778,1242.7945122649712
loc_00389,Talmst Ride,Elkaichi et al.2021,31.906683333333334,-6.154858333333333,5037.273473681996
loc_00390,Collective granary of Sidi Moussa,Elkaichi et al.2023,32.39897222222222,-6.027358333333333,1075.715475689257
loc_00391,"Granary, Ighrem",Elkaichi et al.2023,32.20402222222223,-6.603461111111111,1543.664953470363
loc_00392,Footprints of the carnivorous dinosaur (Tridactyl),Elkaichi et al.2023,32.19611111111111,-6.5825,1639.9147460188274
loc_00393,Herbivorous dinosaur footprints,Elkaichi et al.2023,32.10611111111111,-6.510025,565.8091345831052
loc_00394,Izourar plateaus,Elkaichi et al.2023,31.952005555555555,-6.55725,79.8865437749029
loc_00395,Rock engravings of Tizi-n-Tighist,Elkaichi et al.2023,32.009969444444444,-6.719222222222222,174.80107928386653
loc_00408,Fairy chimneys of Assamar, Bouzekraoui et al.2018,31.681522222222224,-6.668716666666667,923.191366983062
loc_00443,Thedolerite sill of Ouzoud,Louz et al.2022,32.03553888888889,-6.705880555555556,1074.5623304617843
loc_00444,Ouzoud travertines,Louz et al.2022,32.01728611111111,-6.722075,659.438595211254
loc_00445,Estuary of Oued Tassakht,Louz et al.2022,31.98703888888889,-6.702097222222222,2588.982116380019
loc_00446,Oued EL Abid gorges and caves,Louz et al.2022,32.16708611111111,-6.259005555555556,4810.149957753914
