Locality_ID,Expert_Class,Geosite_Name,Confidence,Expert_Reasoning,Source
loc_00147,Moderate,The travertine terraces of Bel Younech,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00142,Moderate,Mujer Muerta,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00141,Moderate,Abdessamad cave,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00140,Difficult,Jbel Younech Ruiniform aspects,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00145,Moderate,Jbel Chendir,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00146,Easy,Socio-cultural complex,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00179,Moderate,Akchour landslide,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00173,Easy,Stehat gneiss,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00176,Moderate,BeniBousera Peridotitic Complex,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00166,Moderate,Talâat Adrhosse Klippe,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00148,Difficult,Low coast of the SBEI of Jbel Moussa and islands,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00193,Easy,Jbel Bou Sliman,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00340,Easy,AmetrasseTertiary Fm Succession,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00180,Easy,Akchour Gorge,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00182,Easy,Ras Ma Spring,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00278,Easy,The sandstone-mica flysch of the Oued Ledian coast,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00277,Easy,Current patterns and inverted series of the Tizirène nappe at Ksar Sghir,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
loc_00202,Easy,Tissimlane cherty limestone,from_old_pipeline,see data/final/regional_label_sources/,old_final_260
