Geosite_Name,Raw_X,Raw_Y,Error,Source_File,Source_Row_Ref
El Menzel Miocene,"33,84,611N","4,55389W","unrecognized coordinate pair: '33,84,611N', '4,55389W'",geoheritage_aug16_2026,77
Upper Devonian olistolites of Bou Ounabdou,33°08’22’’N,5°30’49’’W,"unrecognized coordinate pair: '33°08’22’’N', '5°30’49’’W'",geoheritage_aug16_2026,89
Late-Hercynian granite of Ment,33°11’55’’N,5°53’41’’W,"unrecognized coordinate pair: '33°11’55’’N', '5°53’41’’W'",geoheritage_aug16_2026,93
The post kinetic Tourmalinite vein of Aguelmous,33°12’39’’ N,5°55’36’’W,"unrecognized coordinate pair: '33°12’39’’ N', '5°55’36’’W'",geoheritage_aug16_2026,94
Permian Bou Hayati massif of Khenifra,2°58’26’’N,5°41’56’’W,"unrecognized coordinate pair: '2°58’26’’N', '5°41’56’’W'",geoheritage_aug16_2026,95
H3,"33°23'00""N","5°90'23""W","unrecognized coordinate pair: '33°23\'00""N', '5°90\'23""W'",geoheritage_aug16_2026,125
Boutagarouine (B 3),331604300 N,"5°5'44""W","unrecognized coordinate pair: '33\x0e1604300 N', '5°5\'44""W'",geoheritage_aug16_2026,173
Aguelman Sidi Ali,3350700 N,"4°59'45""W","unrecognized coordinate pair: '33\x0e50700 N', '4°59\'45""W'",geoheritage_aug16_2026,183
Talembote klippes,"35°21'9.99""","5°10'49.11""W","unrecognized coordinate pair: '35°21\'9.99""', '5°10\'49.11""W'",geoheritage_aug16_2026,284
Aït Mallal valley,"31°31'18.33""","6°58'45.58""W","unrecognized coordinate pair: '31°31\'18.33""', '6°58\'45.58""W'",geoheritage_aug16_2026,380
Geosite 1,"32,17361N",4.36806,"unrecognized coordinate pair: '32,17361N', '4.36806'",geoheritage_aug16_2026,423
Geosite 2,"32,17389N",4.36861,"unrecognized coordinate pair: '32,17389N', '4.36861'",geoheritage_aug16_2026,424
Geosite 3,"32,17389N",4.36333,"unrecognized coordinate pair: '32,17389N', '4.36333'",geoheritage_aug16_2026,425
Geosite 4,"32,17278N",4.36556,"unrecognized coordinate pair: '32,17278N', '4.36556'",geoheritage_aug16_2026,426
Geosite 5,"32,17167N",4.37222,"unrecognized coordinate pair: '32,17167N', '4.37222'",geoheritage_aug16_2026,427
Geosite 6,"32,17083N",4.37306,"unrecognized coordinate pair: '32,17083N', '4.37306'",geoheritage_aug16_2026,428
Geosite 7,"32,15389N",4.36722,"unrecognized coordinate pair: '32,15389N', '4.36722'",geoheritage_aug16_2026,429
Geosite 8,"32,15361N",4.37,"unrecognized coordinate pair: '32,15361N', '4.37'",geoheritage_aug16_2026,430
Geosite 9,"32,15361N",4.36861,"unrecognized coordinate pair: '32,15361N', '4.36861'",geoheritage_aug16_2026,431
Geosite 10,"32,11N",4.37944,"unrecognized coordinate pair: '32,11N', '4.37944'",geoheritage_aug16_2026,432
Geosite 11,"32,10583N",4.38861,"unrecognized coordinate pair: '32,10583N', '4.38861'",geoheritage_aug16_2026,433
Geosite 12,"32,10361N",4.39167,"unrecognized coordinate pair: '32,10361N', '4.39167'",geoheritage_aug16_2026,434
Geosite 13,"32,10139N",4.39278,"unrecognized coordinate pair: '32,10139N', '4.39278'",geoheritage_aug16_2026,435
