Locality_ID,Geosite_Name,Latitude_WGS84,Longitude_WGS84,Region,Geosite_Type,Elevation_m,Slope_deg,Ruggedness,Dist_to_Highway_m,LULC_Friction,Dist_to_Settlement_m,Geology_Class,Soil_Class
loc_00001,Playa Blanca Beach,35.8243731,-5.7229291,Tanger-Al Hoceima,,0.0,5.014863472251171,1.8787186527252198,893.5859225956303,0.1,9469.102958435853,82.0,3.0
loc_00002,Marisat Beach,35.7998631,-5.7507168,Tanger-Al Hoceima,,0.0,2.4048222699427475,0.7750822544097901,495.6634092696429,0.9,5817.547116266901,82.0,3.0
loc_00003,Ghandouri Beach,35.786932,-5.7633668,Tanger-Al Hoceima,,0.0,1.433123797326897,0.7918080496788025,220.56595808923765,0.9,4088.10122850137,82.0,3.0
loc_00004,Malabata Beach,35.7777695,-5.7775563,Tanger-Al Hoceima,,3.0137922763824463,2.5423916950432446,1.5561088228225708,74.36381055315172,0.1,2496.996258651171,82.0,10.0
loc_00005,Merkala Beach,35.7940544,-5.8344841,Tanger-Al Hoceima,,0.0,2.662931682700288,1.178817572593689,103.01521359891262,0.1,3906.7151778345446,82.0,10.0
loc_00006,Bouhendia Beach,35.7829225,-5.9307866,Tanger-Al Hoceima,,0.41411492228507996,8.213498277970782,4.659341798126698,834.970488866761,0.1,11590.875954621992,82.0,3.0
loc_00007,Achakar Beach,35.776858,-5.9307889,Tanger-Al Hoceima,,0.0,0.0,0.0,252.42512260608427,0.1,11524.955164204952,82.0,3.0
loc_00008,Mickey Beach,35.7723236,-5.9326896,Tanger-Al Hoceima,,29.854305267333984,12.686903426764731,6.405724086761475,528.2040231268145,0.1,11672.548152233046,82.0,3.0
loc_00009,Sidi Kacem Beach,35.7379826,-5.9442736,Tanger-Al Hoceima,,0.0,0.0,0.0,192.34471854354916,0.1,13194.480224456149,82.0,3.0
loc_00010,Ba Kacem Beach,35.7732541,-5.9331855,Tanger-Al Hoceima,,0.0,8.765855086141547,5.14209397315979,500.75857083898705,0.1,11720.305657134239,82.0,3.0
loc_00011,Houara Beach,35.6329991,-5.9781537,Tanger-Al Hoceima,,0.0,0.0,0.0,486.12977837887064,0.1,19742.16901366104,82.0,2.0
loc_00012,Tahadart Beach,35.5775096,-5.9895277,Tanger-Al Hoceima,,0.0,0.0,0.0,291.6652228317105,0.9,13538.206569784725,82.0,2.0
loc_00013,American Beach,35.6798457,-5.9651715,Tanger-Al Hoceima,,0.0,0.564123814907936,0.10982081413269043,2319.728117586124,0.1,17693.388243316876,82.0,2.0
