Observation_ID,Geosite_Name,Latitude_WGS84,Longitude_WGS84,Region,Geosite_Type,Geological_Domain,Locality_Center_Lat,Locality_Center_Lon,Locality_Group_Key,Coordinate_Precision,Source_File,Source_Row_Ref,Center_Coord_Source,Is_Merchich_Format
obs3_00000,Playa Blanca Beach,35.8243731,-5.7229291,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,3,,False
obs3_00001,Marisat Beach,35.7998631,-5.7507168,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,4,,False
obs3_00002,Ghandouri Beach,35.786932,-5.7633668,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,5,,False
obs3_00003,Malabata Beach,35.7777695,-5.7775563,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,6,,False
obs3_00004,Merkala Beach,35.7940544,-5.8344841,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,7,,False
obs3_00005,Bouhendia Beach,35.7829225,-5.9307866,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,8,,False
obs3_00006,Achakar Beach,35.776858,-5.9307889,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,9,,False
obs3_00007,Mickey Beach,35.7723236,-5.9326896,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,10,,False
obs3_00008,Sidi Kacem Beach,35.7379826,-5.9442736,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,11,,False
obs3_00009,Ba Kacem Beach,35.7732541,-5.9331855,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,12,,False
obs3_00010,Houara Beach,35.6329991,-5.9781537,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,13,,False
obs3_00011,Tahadart Beach,35.5775096,-5.9895277,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,14,,False
obs3_00012,American Beach,35.6798457,-5.9651715,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,15,,False
obs3_00013,Al Manar Forest,35.8168801,-5.7486307,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,16,,False
obs3_00014,Marisat Forest,35.7961267,-5.7491829,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,17,,False
obs3_00015,Tangier balya Forest,35.7773448,-5.7711325,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,18,,False
obs3_00016,Rmilat Forest,35.7929606,-5.8624116,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,19,,False
obs3_00017,Rharha Forest,35.7619967,-5.8731593,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,20,,False
obs3_00018,Mediouna Forest,35.7821557,-5.8925229,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,21,,False
obs3_00019,Boubana Forest,35.7719636,-5.8927079,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,22,,False
obs3_00020,Cape Spartel Reserve,35.6759744,-5.9462552,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,23,,False
obs3_00021,Diplomatic Forest,35.6759744,-5.9462552,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,24,,False
obs3_00022,Jumjum Rock,35.7899743,-5.8497473,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,25,,False
obs3_00023,Gherab Rock,35.7946454,-5.85792,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,26,,False
obs3_00024,Sutooh Rock,35.7627783,-5.8885488,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,27,,False
obs3_00025,Bouhendia Rock,35.788318,-5.9291816,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,28,,False
obs3_00026,Ras Aghmat,35.7974277,-5.8416951,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,29,,False
obs3_00027,Hafa Rock,35.7913075,-5.8203332,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,30,,False
obs3_00028,Maghayir Lake,35.7536291,-5.8957438,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,31,,False
obs3_00029,Sidi Hassain Lake,35.6980445,-5.8249996,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,32,,False
obs3_00030,Tahadart River,35.6253683,-5.9412174,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,33,,False
obs3_00031,Rharha Lake,35.7691304,-5.8578318,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,34,,False
obs3_00032,Al Manar Fortress,35.814639,-5.7393475,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,35,,False
obs3_00033,Ghailan Fort,35.7795848,-5.7715313,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,36,,False
obs3_00034,Villa Harris,35.7830876,-5.7652395,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,37,,False
obs3_00035,Dar El Baroud Tower,35.7886196,-5.8081714,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,38,,False
obs3_00036,Bab Dar Debbagh,35.7860073,-5.8094098,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,39,,False
obs3_00037,Bab El Marsa,35.7842141,-5.8085094,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,40,,False
obs3_00038,Bab El Fahs,35.7847304,-5.8129131,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,41,,False
obs3_00039,Bab El Kasbah,35.788648,-5.815002,Tanger-Al Hoceima,,Rif,,,geoheritage_aug16_2026_group_1,point,geoheritage_aug16_2026,42,,False
