Locality_ID,Geosite_Name,Region,Latitude_WGS84,Longitude_WGS84
loc_00263,Rounded hills of nepheline syenite,Eddakhla-Oued Eddahab,22.55027777777778,-14.317222222222222
loc_00264,Magmatic lineation,Eddakhla-Oued Eddahab,22.55027777777778,-14.317222222222222
loc_00262,Metagabbro of the Adrar Souttouf massif,Eddakhla-Oued Eddahab,23.2075,-15.088333333333331
loc_00261,Metabasite,Eddakhla-Oued Eddahab,23.2075,-15.088333333333331
loc_00259,Miocene-Pliocene succession,Eddakhla-Oued Eddahab,23.59083333333333,-15.698055555555555
loc_00258,Shark tooth,Eddakhla-Oued Eddahab,23.59083333333333,-15.698055555555555
loc_00257,Neptunian dyke in the Izik deposits,Eddakhla-Oued Eddahab,23.59083333333333,-15.698055555555555
loc_00256,Dewatering fold,Eddakhla-Oued Eddahab,23.59083333333333,-15.698055555555555
loc_00255,Lower Eocene Izik Formation with chert nodules,Eddakhla-Oued Eddahab,23.91027777777778,-15.71861111111111
loc_00254,"Outcrops of Eocene for
mations beneath Miocene deposits",Eddakhla-Oued Eddahab,23.91027777777778,-15.71861111111111
loc_00253,Sphinx Rock,Eddakhla-Oued Eddahab,23.91027777777778,-15.71861111111111
loc_00252,North border of the Dakhla lagoon north of the artesian well,Eddakhla-Oued Eddahab,23.91027777777778,-15.71861111111111
loc_01173,Jbel Tazout cuesta (Tournaisian),Guelmim-Oued Noun,28.016111111111112,-10.816944444444443
loc_01174,Jbel Ouarziz cuesta (Visean),Guelmim-Oued Noun,28.016111111111112,-10.816944444444443
loc_01171,"Perched syncline formed by Rich 1 and Rich 2 
 Jbel Rich fold train)",Guelmim-Oued Noun,28.059166666666663,-10.88861111111111
loc_01172,Open folds  of Jbel Rich,Guelmim-Oued Noun,28.059166666666663,-10.88861111111111
loc_01170,Lower Ordovician (Llanvirn) oolithic iron bed section,Guelmim-Oued Noun,28.059166666666663,-10.88861111111111
loc_01164,Cliffs of the west border of the Chebeika estuary,Guelmim-Oued Noun,28.29555555555556,-11.525
loc_01163,Oued Chebeika estuary,Guelmim-Oued Noun,28.29555555555556,-11.525
loc_01165,Lower Cretaceous f luvial sandstones (“Tan-Tan sands”) beneath the Hamada Plateau,Guelmim-Oued Noun,28.479166666666664,-11.204166666666666
loc_01166,"Cross-bedding in the fluvial
 sandstones  (“Tan-Tan sands”)",Guelmim-Oued Noun,28.479166666666664,-11.204166666666666
loc_00087,Addan onion peels,Souss-Massa,29.213335,-8.203033
loc_00094,Ait Ouabelli chasms,Souss-Massa,29.213335,-8.203033
loc_00092,Tadakoust Pyramids,Souss-Massa,29.270107,-8.678496
loc_00095,Tagmout mask,Souss-Massa,29.270107,-8.678496
loc_00096,Alougoum Pyramid,Souss-Massa,29.442398,-8.264208
loc_00097,Messalite cave,Souss-Massa,29.442398,-8.264208
loc_00088,Akka badlands,Souss-Massa,29.483864,-8.295043
loc_00089,Tata hearts,Souss-Massa,29.483864,-8.295043
loc_00114,Akka Phillyrea,Souss-Massa,29.646508,-7.756531
loc_00112,Desert mermaid,Souss-Massa,29.646508,-7.756531
loc_00113,Tata oyster,Souss-Massa,29.646508,-7.756531
loc_00118,Aigou inlier,Souss-Massa,29.737174,-8.320678
loc_00119,Tanmrout inlier,Souss-Massa,29.737174,-8.320678
loc_00244,Oued Ahençal river,Béni Mellal-Khénifra,32.069947222222225,-6.424030555555556
loc_00304,"Beautiful views of the lake, the outlet and the meanders of Ahansal river",Béni Mellal-Khénifra,32.069947222222225,-6.424030555555556
loc_00305,Panoramic view of the meanders,Béni Mellal-Khénifra,32.069947222222225,-6.424030555555556
loc_00306,Continental Guettioua Fm on the marine Fm BIII with a gap in the Tilougite Fm,Béni Mellal-Khénifra,32.069947222222225,-6.424030555555556
loc_00307,Coffee built on the massive limestone of BIII,Béni Mellal-Khénifra,32.069947222222225,-6.424030555555556
