Excel_Row_Index,Geosite_Name,Geosite_Type,Geological_Domain,Administrative_Region,Latitude_WGS84,Longitude_WGS84,Elevation_m,Slope_deg,Ruggedness,Dist_to_Dam_m,Dist_to_River_m,LULC_Class,Soil_Class,Geology_Class,Domain_Geosite_Count,Region_Geosite_Count,Dist_to_Highway_m,Dist_to_Piste_m,Accessibility,Accessibility_v1,Fuzzy_Accessibility_Score,Fuzzy_Accessibility_Category
2,Eburnian-Proterozoic Unconformity,SG,Anti-Atlas ,Draâ-Tafilalet,30.54701809792364,-7.122467385495109,1500.8162841796875,5.484938621520996,131.98768615722656,7333.60986328125,0.0,5.0,3.0,49.0,32.0,105.0,0.0,2366.864,Easy,Moderate,0.9229221160638705,Easy
3, Bou Offroh ophiolit,PT,Anti-Atlas ,Draâ-Tafilalet,30.54671313620237,-6.971048117972587,1521.392822265625,3.337613821029663,136.69766235351562,21534.79296875,1183.4320068359375,5.0,3.0,,32.0,105.0,0.0,0.0,Easy,Moderate,0.9241870564425148,Easy
4,Oceanic Moho rocks,PT,Anti-Atlas ,Draâ-Tafilalet,30.490992892858085,-6.612429949729095,1377.357177734375,0.0,94.74175262451172,46135.5,3783.313720703125,5.0,3.0,56.0,32.0,105.0,0.0,1183.432,Easy,Moderate,0.9656437746932267,Easy
5,Tamaliout Folding & Thrusting ,PT,Anti-Atlas ,Draâ-Tafilalet,30.43212980063328,-6.658345105114725,1068.709228515625,2.060389995574951,83.93598937988281,39966.9765625,8517.0419921875,5.0,3.0,10.0,32.0,105.0,8368.128,5917.16,Difficult,Moderate,1.1876426841335766e-07,Difficult
6,Bleida granodiorite,PT,Anti-Atlas ,Draâ-Tafilalet,30.368905368656545,-6.46223994636819,1480.23974609375,3.011687755584717,106.47064971923828,31934.318359375,4256.6865234375,5.0,3.0,8.0,32.0,105.0,0.0,0.0,Easy,Moderate,0.9536049803419256,Easy
7,Sauropod tracksite,S & PL,Western High Atlas,Marrakech-Safi,31.1145,-8.982833333333334,1336.2041015625,4.233494281768799,196.8470153808593,29108.75390625,0.0,15.0,9.0,,8.0,41.0,0.0,2366.864,Easy,Difficult,0.8140282949253829,Easy
8,Tension joints & veins ,SG,Central High Atlas,Draâ-Tafilalet,32.59281111111111,-4.504277777777777,1747.7347412109375,0.4980932772159576,73.61725616455078,27196.919921875,0.0,10.0,3.0,71.0,119.0,105.0,0.0,0.0,Easy,Easy,0.9742620316354718,Easy
9,Fault mirror,SG,Central High Atlas,Draâ-Tafilalet,32.59246944444445,-4.504686111111111,1747.7347412109375,0.4980932772159576,73.61725616455078,27196.919921875,0.0,10.0,3.0,71.0,119.0,105.0,0.0,0.0,Easy,Easy,0.9742620316354718,Easy
10,Turbidite/tempesitie,S,Central High Atlas,Draâ-Tafilalet,32.59108611111111,-4.504991666666666,1747.7347412109375,0.4980932772159576,73.61725616455078,27196.919921875,0.0,10.0,3.0,71.0,119.0,105.0,0.0,0.0,Easy,Easy,0.9742620316354718,Easy
11,Synsedimentary Fd,SG,Central High Atlas,Draâ-Tafilalet,32.590869444444444,-4.504938888888889,1747.7347412109375,0.4980932772159576,73.61725616455078,27196.919921875,0.0,10.0,3.0,71.0,119.0,105.0,0.0,0.0,Easy,Easy,0.9742620316354718,Easy
12,Bioclastic limestone,PL,Central High Atlas,Draâ-Tafilalet,32.59060277777778,-4.505005555555556,1747.7347412109375,0.4980932772159576,73.61725616455078,27196.919921875,0.0,10.0,3.0,71.0,119.0,105.0,0.0,0.0,Easy,Easy,0.9742620316354718,Easy
13,Current ripples,S,Central High Atlas,Draâ-Tafilalet,32.590297222222226,-4.5050638888888885,1747.7347412109375,0.4980932772159576,73.61725616455078,27196.919921875,0.0,10.0,3.0,71.0,119.0,105.0,0.0,0.0,Easy,Easy,0.9742620316354718,Easy
14,Th. Burrows ,PL,Central High Atlas,Draâ-Tafilalet,32.59028055555556,-4.504902777777778,1747.7347412109375,0.4980932772159576,73.61725616455078,27196.919921875,0.0,10.0,3.0,71.0,119.0,105.0,0.0,0.0,Easy,Easy,0.9742620316354718,Easy
15,Limestone-marls  seq. ,S,Central High Atlas,Draâ-Tafilalet,32.590050000000005,-4.504761111111111,1747.7347412109375,0.4980932772159576,73.61725616455078,27196.919921875,0.0,10.0,3.0,71.0,119.0,105.0,0.0,0.0,Easy,Easy,0.9742620316354718,Easy
16,Horst-graben structures ,SG,Central High Atlas,Draâ-Tafilalet,32.590025000000004,-4.504727777777778,1747.7347412109375,0.4980932772159576,73.61725616455078,27196.919921875,0.0,10.0,3.0,71.0,119.0,105.0,0.0,0.0,Easy,Easy,0.9742620316354718,Easy
17,Bioclastic limestone,PL,Central High Atlas,Draâ-Tafilalet,32.589975,-4.504786111111111,1747.7347412109375,0.4980932772159576,73.61725616455078,27196.919921875,0.0,10.0,3.0,71.0,119.0,105.0,0.0,0.0,Easy,Easy,0.9742620316354718,Easy
18,Rhizocorallium burrows ,PL,Central High Atlas,Draâ-Tafilalet,32.58986388888889,-4.504866666666667,1747.7347412109375,0.4980932772159576,73.61725616455078,27196.919921875,0.0,10.0,3.0,71.0,119.0,105.0,0.0,0.0,Easy,Easy,0.9742620316354718,Easy
19,Tridactyl footpreints ,PL,Central High Atlas,Draâ-Tafilalet,32.58935,-4.504527777777778,1747.7347412109375,0.4980932772159576,73.61725616455078,27196.919921875,0.0,10.0,3.0,71.0,119.0,105.0,0.0,0.0,Easy,Easy,0.9742620316354718,Easy
20,Lac Tislit,H,Central High Atlas,Draâ-Tafilalet,32.19583333333333,-5.636666666666666,965.8265380859376,2.7823052406311035,91.82048034667967,13483.7861328125,0.0,5.0,7.0,71.0,119.0,105.0,1183.432,0.0,Moderate,,0.8579839867630388,Easy
21,Imelouan Folds,SG,Central High Atlas,Draâ-Tafilalet,32.155833333333334,-5.598333333333333,965.8265380859376,2.7823052406311035,91.82048034667967,16316.6865234375,0.0,10.0,7.0,71.0,119.0,105.0,0.0,1183.432,Easy,,0.9629002611915101,Easy
22,"Ait Ali Ou-Ikkou ""Red beds"" ",S,Central High Atlas,Draâ-Tafilalet,32.14472222222222,-5.557777777777778,965.8265380859376,2.7823052406311035,91.82048034667967,16801.064453125,0.0,5.0,7.0,71.0,119.0,105.0,1183.432,1183.432,Moderate,,0.8579839867630388,Easy
23,Todgha Gorges,SG&H,Central High Atlas,Draâ-Tafilalet,31.584444444444443,-5.590833333333333,1932.9234619140625,6.913000106811523,183.9395294189453,25795.14453125,4733.72802734375,5.0,9.0,56.0,119.0,105.0,0.0,0.0,Easy,Difficult,0.8303136318643349,Easy
24,Tamlalet Monkey’s fingers structures,G,Central High Atlas,Draâ-Tafilalet,31.44333333333333,-5.978055555555556,1974.0765380859373,2.5198428630828857,82.9201431274414,18217.513671875,1183.4320068359375,5.0,,,119.0,105.0,1183.432,0.0,Moderate,Moderate,0.8621431820357364,Easy
25,Tissadrine Folds,SG,Central High Atlas,Draâ-Tafilalet,31.529444444444444,-5.925833333333333,1871.19384765625,0.8978981971740723,25.58808326721192,17511.123046875,0.0,5.0,8.0,14.0,119.0,105.0,0.0,0.0,Easy,Moderate,0.9835223432808773,Easy
26,"Msemrir ""Red Beds""",S&PL,Central High Atlas,Draâ-Tafilalet,31.72,-5.826666666666666,2159.265380859375,2.3482449054718018,629.6884155273438,22932.8984375,0.0,5.0,9.0,66.0,119.0,105.0,1673.6256,1673.6256,Difficult,Difficult,0.44530092032283297,Moderate
27, Ait Aritane Panoramic view,G,Central High Atlas,Draâ-Tafilalet,31.542222222222225,-5.566944444444444,2323.87744140625,5.105672836303711,140.7568817138672,24597.0390625,4256.6865234375,5.0,9.0,,119.0,105.0,0.0,0.0,Easy,Moderate,0.9136753891350216,Easy
28,Ait Snan Fault,SG,Central High Atlas,Draâ-Tafilalet,31.39527777777778,-5.5975,2220.994873046875,0.9482800364494324,71.34072875976562,17034.08203125,0.0,5.0,9.0,,119.0,105.0,4733.728,2366.864,Difficult,Moderate,0.0030932566498095746,Difficult
29,"Tamtetoucht ""Red beds""",PL,Central High Atlas,Draâ-Tafilalet,31.71722222222222,-5.507777777777778,1541.9693603515625,0.7043924927711487,18.69491958618164,42108.16015625,0.0,5.0,9.0,,119.0,105.0,0.0,1183.432,Easy,Moderate,0.9844620855442845,Easy
30,Ait Hani Triassic salt cave,G,Central High Atlas,Draâ-Tafilalet,31.86416666666667,-5.470555555555555,2159.265380859375,6.497475624084473,859.2855834960938,32651.7109375,0.0,5.0,9.0,71.0,119.0,105.0,0.0,0.0,Easy,Difficult,0.6243007523051389,Easy
31,Toumlilin Middle Jurassic strata,S,Central High Atlas,Draâ-Tafilalet,32.85666666666667,-5.465555555555556,2385.607177734375,79.70216369628906,989.2388305664062,4966.74560546875,1183.4320068359375,13.0,,13.0,119.0,105.0,7577.662,0.0,Difficult,Difficult,1.5846082308325444e-07,Difficult
32,Ighrem N’Ougdal Middle Jurassic strata,G,Central High Atlas,Draâ-Tafilalet,32.009166666666665,-5.490833333333334,965.8265380859376,2.7823052406311035,91.82048034667967,23650.29296875,1183.4320068359375,5.0,9.0,71.0,119.0,105.0,0.0,0.0,Easy,,0.9629002611915101,Easy
33,Tinghir Paleozoic-Cretaceous unconformity,SG,Central High Atlas,Draâ-Tafilalet,31.48305555555556,-5.539444444444444,2344.4541015625,3.1323697566986084,88.64817810058594,23883.310546875,0.0,5.0,9.0,36.0,119.0,105.0,0.0,1183.432,Easy,Moderate,0.9636900982658289,Easy
34,Foum El Kouss Basalts,PT,Central High Atlas,Draâ-Tafilalet,31.435277777777777,-5.655,965.8265380859376,2.7823052406311035,91.82048034667967,12300.3544921875,1183.4320068359375,10.0,9.0,,119.0,105.0,0.0,1183.432,Easy,,0.9629002611915101,Easy
35,Timaderouine Cretaceous-Tertiary strata,S,Central High Atlas,Draâ-Tafilalet,31.411666666666665,-5.722222222222222,965.8265380859376,2.7823052406311035,91.82048034667967,4966.74560546875,0.0,10.0,9.0,66.0,119.0,105.0,0.0,1183.432,Easy,,0.9629002611915101,Easy
