Excel_Row_Index,Geosite_Name,Geosite_Type,Geological_Domain,Administrative_Region,Latitude_WGS84,Longitude_WGS84,Coordinate_Extraction_Method
2,Eburnian-Proterozoic Unconformity,SG,Anti-Atlas ,Draa-Tafilalet,30.547018097923633,-7.122467385495109,UTM
3, Bou Offroh ophiolit,PT,Anti-Atlas ,Draa-Tafilalet,30.546713136202374,-6.971048117972587,UTM
4,Oceanic Moho rocks,PT,Anti-Atlas ,Draa-Tafilalet,30.490992892858085,-6.612429949729095,UTM
5,Tamaliout Folding & Thrusting ,PT,Anti-Atlas ,Draa-Tafilalet,30.43212980063328,-6.658345105114725,UTM
6,Bleida granodiorite,PT,Anti-Atlas ,Draa-Tafilalet,30.368905368656545,-6.46223994636819,UTM
7,Sauropod tracksite,S & PL,Western High Atlas,Marrakech-Safi,31.1145,-8.982833333333334,DMS
8,Tension joints & veins ,SG,Central High Atlas,Draa-Tafilalet,32.59281111111111,-4.504277777777777,DMS
9,Fault mirror,SG,Central High Atlas,Draa-Tafilalet,32.59246944444445,-4.504686111111111,DMS
10,Turbidite/tempesitie,S,Central High Atlas,Draa-Tafilalet,32.59108611111111,-4.504991666666666,DMS
11,Synsedimentary Fd,SG,Central High Atlas,Draa-Tafilalet,32.590869444444444,-4.504938888888889,DMS
12,Bioclastic limestone,PL,Central High Atlas,Draa-Tafilalet,32.59060277777778,-4.505005555555556,DMS
13,Current ripples,S,Central High Atlas,Draa-Tafilalet,32.590297222222226,-4.5050638888888885,DMS
14,Th. Burrows ,PL,Central High Atlas,Draa-Tafilalet,32.59028055555556,-4.504902777777778,DMS
15,Limestone-marls  seq. ,S,Central High Atlas,Draa-Tafilalet,32.590050000000005,-4.504761111111111,DMS
16,Horst-graben structures ,SG,Central High Atlas,Draa-Tafilalet,32.590025000000004,-4.504727777777778,DMS
17,Bioclastic limestone,PL,Central High Atlas,Draa-Tafilalet,32.589975,-4.504786111111111,DMS
18,Rhizocorallium burrows ,PL,Central High Atlas,Draa-Tafilalet,32.58986388888889,-4.504866666666667,DMS
19,Tridactyl footpreints ,PL,Central High Atlas,Draa-Tafilalet,32.58935,-4.504527777777778,DMS
20,Lac Tislit,H,Central High Atlas,Draa-Tafilalet,32.19583333333333,-5.636666666666666,Numeric DMS
21,Imelouan Folds,SG,Central High Atlas,Draa-Tafilalet,32.155833333333334,-5.598333333333333,Numeric DMS
22,"Ait Ali Ou-Ikkou ""Red beds"" ",S,Central High Atlas,Draa-Tafilalet,32.14472222222222,-5.557777777777778,Numeric DMS
23,Todgha Gorges,SG&H,Central High Atlas,Draa-Tafilalet,31.584444444444443,-5.590833333333333,Numeric DMS
24,Tamlalet Monkey’s fingers structures,G,Central High Atlas,Draa-Tafilalet,31.443333333333335,-5.978055555555556,Numeric DMS
25,Tissadrine Folds,SG,Central High Atlas,Draa-Tafilalet,31.529444444444444,-5.925833333333333,Numeric DMS
26,"Msemrir ""Red Beds""",S&PL,Central High Atlas,Draa-Tafilalet,31.72,-5.826666666666666,Numeric DMS
27, Ait Aritane Panoramic view,G,Central High Atlas,Draa-Tafilalet,31.542222222222225,-5.566944444444444,Numeric DMS
28,Ait Snan Fault,SG,Central High Atlas,Draa-Tafilalet,31.39527777777778,-5.5975,Numeric DMS
29,"Tamtetoucht ""Red beds""",PL,Central High Atlas,Draa-Tafilalet,31.71722222222222,-5.507777777777778,Numeric DMS
30,Ait Hani Triassic salt cave,G,Central High Atlas,Draa-Tafilalet,31.86416666666667,-5.470555555555555,Numeric DMS
31,Toumlilin Middle Jurassic strata,S,Central High Atlas,Draa-Tafilalet,32.85666666666667,-5.4655555555555555,Numeric DMS
32,Ighrem N’Ougdal Middle Jurassic strata,G,Central High Atlas,Draa-Tafilalet,32.009166666666665,-5.490833333333334,Numeric DMS
33,Tinghir Paleozoic-Cretaceous unconformity,SG,Central High Atlas,Draa-Tafilalet,31.483055555555556,-5.539444444444444,Numeric DMS
34,Foum El Kouss Basalts,PT,Central High Atlas,Draa-Tafilalet,31.435277777777777,-5.655,Numeric DMS
35,Timaderouine Cretaceous-Tertiary strata,S,Central High Atlas,Draa-Tafilalet,31.411666666666665,-5.722222222222222,Numeric DMS
36,Imider Tertiary strata,S,Central High Atlas,Draa-Tafilalet,31.375,-5.7908333333333335,Numeric DMS
37,Anou N’Izm Tertiary strata,S,Central High Atlas,Draa-Tafilalet,31.339444444444442,-5.838611111111111,Numeric DMS
38,Ait Youl Basalts,PT,Central High Atlas,Draa-Tafilalet,31.425,-6.011388888888889,Numeric DMS
39,Ait Ibriren Quaternary deposits,S,Central High Atlas,Draa-Tafilalet,31.441944444444445,-6.010833333333333,Numeric DMS
40,Tamlalet Monkey’s fingers structures,G,Central High Atlas,Draa-Tafilalet,31.443333333333335,-5.978055555555556,Numeric DMS
41,Ait Ouglef Allochthonous limestones,SG,Central High Atlas,Draa-Tafilalet,31.454722222222223,-5.959722222222222,Numeric DMS
42,Tissadrine Folds,SG,Central High Atlas,Draa-Tafilalet,31.529444444444444,-5.925833333333333,Numeric DMS
43,Taghia N’Ait Hammou Gorges,SG,Central High Atlas,Draa-Tafilalet,31.53666666666667,-5.919444444444445,Numeric DMS
44,Tilmi Folds ,SG,Central High Atlas,Draa-Tafilalet,31.80138888888889,-5.926111111111111,DMS
45,"Msemrir ""Red beds""",S,Central High Atlas,Draa-Tafilalet,31.72,-5.826666666666666,Numeric DMS
46,Ait Attou Oumoussa Jurassic strata ,S,Central High Atlas,Draa-Tafilalet,31.861666666666668,-5.708055555555556,Numeric DMS
47,Imelouan Folds,SG,Central High Atlas,Draa-Tafilalet,32.155833333333334,-5.598333333333333,Numeric DMS
48,Redbeds,SG&S,Central High Atlas,Draa-Tafilalet,32.166,-5.523,Numeric DMS
49,Intraformational unc,S,Central High Atlas,Draa-Tafilalet,32.193,-5.639,Numeric DMS
