Excel_Row_Index,Geosite_Name,Geosite_Type,Geological_Domain,Administrative_Region,Latitude_WGS84,Longitude_WGS84,Elevation_m,Slope_deg,Ruggedness,Dist_to_Dam_m,Dist_to_River_m,LULC_Class,Soil_Class,Geology_Class,Domain_Geosite_Count,Region_Geosite_Count,Dist_to_Highway_m,Dist_to_Piste_m,Accessibility,Accessibility_v1,Fuzzy_Accessibility_Score,Fuzzy_Accessibility_Category,Is_Inside_Boundary,V_sci,V_vuln,V_geo,Cluster_ID,Management_Profile
64,The cliff granaries of Aoujgal   ,S,Central High Atlas,Béni Mellal-Khénifra,32.0,-6.333333333333333,965.8265380859376,2.7823052406311035,91.82048034667967,10170.177734375,0.0,11.0,9.0,71.0,119.0,109.0,8284.024,0.0,Easy,,0.6951,Easy,True,3.3,4.07,2.71,2,Conservation Active (Sensibilité physique)
82, Collective granary of Sidi Moussa,C,Central High Atlas,Béni Mellal-Khénifra,31.33333333333333,-5.333333333333333,1541.9693603515625,6.9960784912109375,167.8853759765625,23184.26171875,2366.864013671875,5.0,3.0,10.0,119.0,109.0,3550.296,0.0,Easy,Difficult,0.6146,Easy,False,4.68,1.57,2.35,0,Préservation Absolue (Sanctuaire)
83,"Granary, Ighrem",C,Central High Atlas,Béni Mellal-Khénifra,32.666666666666664,-7.333333333333333,369.1071472167969,0.5568816661834717,14.160905838012695,1656.8048095703125,2366.864013671875,10.0,5.0,14.0,119.0,109.0,0.0,0.0,Easy,Easy,0.9721,Easy,False,4.16,1.89,4.5,0,Préservation Absolue (Sanctuaire)
149,Lower Devonian quartzite bars of Bou Trou-Al Aççama,"S,St&G",Central Hight Atlas,Béni Mellal-Khénifra,33.367333333333335,-5.490166666666667,1541.9693603515625,5.096649646759033,117.88977813720705,8284.0244140625,1656.8048095703125,6.0,9.0,,119.0,109.0,1673.6256,0.0,Easy,Difficult,0.6716,Easy,False,3.84,1.44,4.16,0,Préservation Absolue (Sanctuaire)
150,Lower Devonian paleosol of Bou Trou-Al Aççama,S&St,Central Hight Atlas,Béni Mellal-Khénifra,33.35933333333333,-5.491833333333333,1665.4285888671875,4.435853958129883,100.2172622680664,7100.591796875,2599.881591796875,13.0,9.0,19.0,119.0,109.0,2646.2344,0.0,Easy,Moderate,0.6853,Easy,False,2.77,2.28,3.67,1,Préservation Passive (Accès difficile)
151,Lower Devonian dwarf brachiopods of Bou Trou Al Aççama,PL,Central Hight Atlas,Béni Mellal-Khénifra,33.3595,-5.490833333333334,1665.4285888671875,4.435853958129883,100.2172622680664,7100.591796875,2599.881591796875,13.0,9.0,19.0,119.0,109.0,2646.2344,0.0,Easy,Moderate,0.6853,Easy,False,2.77,2.47,4.34,1,Préservation Passive (Accès difficile)
152,Emsien crinoids grassland of Bab Al Ari,PL&S,Central Hight Atlas,Béni Mellal-Khénifra,33.4605,-5.1865,2344.4541015625,74.81573486328125,948.965087890625,6856.568359375,7566.62744140625,13.0,7.0,71.0,119.0,109.0,1183.432,0.0,Difficult,Difficult,0.0,Difficult,False,2.54,2.11,4.15,3,Promotion Éducative (Grand Public)
153,Givetian calciturbidites of Ben Aarab,"S,S&PL",Central Hight Atlas,Béni Mellal-Khénifra,33.501333333333335,-5.4015,1480.23974609375,4.47383451461792,123.18380737304688,13017.751953125,1656.8048095703125,11.0,3.0,46.0,119.0,109.0,1183.432,1183.432,Easy,Difficult,0.8055,Easy,False,4.48,3.79,2.42,4,Promotion Géotouristique Locale
155,Frasnian-Famennian Kellwasser black limestones of Bou Ounabdou,"S,St&PL",Central Hight Atlas,Béni Mellal-Khénifra,33.142833333333336,-5.518,1768.311279296875,5.841681480407715,132.3980712890625,5913.49072265625,4966.74560546875,13.0,10.0,71.0,119.0,109.0,3347.2512,1183.432,Difficult,Moderate,0.217,Difficult,True,3.84,2.37,4.4,3,Promotion Éducative (Grand Public)
156,Famennian Griottes limestones of Bou Ounabdou,"S,St&PL",Central Hight Atlas,Béni Mellal-Khénifra,33.14266666666666,-5.5175,1768.311279296875,5.841681480407715,132.3980712890625,5913.49072265625,4966.74560546875,13.0,10.0,71.0,119.0,109.0,3347.2512,1183.432,Difficult,Moderate,0.217,Difficult,True,4.1,2.14,3.41,3,Promotion Éducative (Grand Public)
