Excel_Row_Index,Geosite_Name,Geosite_Type,Geological_Domain,Administrative_Region,Latitude_WGS84,Longitude_WGS84,Elevation_m,Slope_deg,Ruggedness,Dist_to_Dam_m,Dist_to_River_m,LULC_Class,Soil_Class,Geology_Class,Domain_Geosite_Count,Region_Geosite_Count,Dist_to_Highway_m,Dist_to_Piste_m,Accessibility,Accessibility_v1,Fuzzy_Accessibility_Score,Fuzzy_Accessibility_Category,Is_Inside_Boundary,V_sci,V_vuln,V_geo,Cluster_ID,Management_Profile
279,Jbel Younech Ruiniform aspects,G,Rif,Tanger-Tétouan-Al Hoceïma,35.896051,-5.390169,60.45918273925781,1.2697172164916992,49.75267028808594,0.0,0.0,11.0,10.0,7.0,40.0,40.0,0.0,0.0,Easy,Moderate,0.962,Easy,True,3.7,3.95,3.61,3,Promotion Éducative (Grand Public)
284,Mujer Muerta,G&SG,Rif,Tanger-Tétouan-Al Hoceïma,35.908787,-5.389026,39.88265228271485,1.071091890335083,48.95479202270508,0.0,1183.4320068359375,13.0,10.0,7.0,40.0,40.0,0.0,0.0,Easy,Easy,0.9628,Easy,True,3.07,2.38,2.77,2,Conservation Active (Sensibilité physique)
285,Laila Island,"SG,Hi",Rif,Tanger-Tétouan-Al Hoceïma,35.916551,-5.406037,60.45918273925781,2.4889614582061768,58.81288909912109,0.0,2599.881591796875,4.0,10.0,,40.0,40.0,1183.432,0.0,Easy,Easy,0.8509,Easy,True,3.42,3.1,3.85,3,Promotion Éducative (Grand Public)
286,The Terraces of Ras Leona,SG,Rif,Tanger-Tétouan-Al Hoceïma,35.92068,-5.401799,60.45918273925781,2.4889614582061768,58.81288909912109,0.0,2599.881591796875,4.0,10.0,,40.0,40.0,1183.432,0.0,Easy,Easy,0.8509,Easy,True,4.43,2.36,4.31,0,Préservation Absolue (Sanctuaire)
288,Jbel Chendir ,S&SG,Rif,Tanger-Tétouan-Al Hoceïma,35.906329,-5.38799,39.88265228271485,1.071091890335083,48.95479202270508,0.0,1183.4320068359375,13.0,10.0,7.0,40.0,40.0,0.0,0.0,Easy,Easy,0.9628,Easy,True,2.41,2.32,3.65,2,Conservation Active (Sensibilité physique)
289,Socio-cultural complex,C,Rif,Tanger-Tétouan-Al Hoceïma,35.90611111111111,-5.388055555555556,39.88265228271485,1.071091890335083,48.95479202270508,0.0,1183.4320068359375,13.0,10.0,7.0,40.0,40.0,0.0,0.0,Easy,Easy,0.9628,Easy,True,2.69,1.83,4.65,2,Conservation Active (Sensibilité physique)
290,The travertine terraces of Bel Younech,"S,PL&C",Rif,Tanger-Tétouan-Al Hoceïma,35.907023,-5.393334,39.88265228271485,1.071091890335083,48.95479202270508,0.0,1183.4320068359375,13.0,10.0,7.0,40.0,40.0,0.0,0.0,Easy,Easy,0.9628,Easy,True,4.01,2.01,4.63,0,Préservation Absolue (Sanctuaire)
291,Low coast of the SBEI of Jbel Moussa and islands,G&C,Rif,Tanger-Tétouan-Al Hoceïma,35.909169,-5.393398,39.88265228271485,1.071091890335083,48.95479202270508,0.0,1183.4320068359375,13.0,10.0,7.0,40.0,40.0,0.0,0.0,Easy,Easy,0.9628,Easy,True,4.38,1.43,2.37,0,Préservation Absolue (Sanctuaire)
339,Ali Thilat Dam,H,Rif,Tanger-Tétouan-Al Hoceïma,35.181758358106,-5.239428901052023,883.5203857421875,9.48238468170166,296.58758544921875,28384.021484375,1656.8048095703125,13.0,9.0,,40.0,40.0,3347.2512,0.0,Moderate,Difficult,0.4593,Moderate,True,2.73,2.82,1.96,4,Promotion Géotouristique Locale
340,Quarry of blocks ,GM,Rif,Tanger-Tétouan-Al Hoceïma,35.17831677014425,-5.226483300457814,862.94384765625,8.028785705566406,295.12908935546875,29800.470703125,2366.864013671875,13.0,9.0,32.0,40.0,40.0,3742.3406,1183.432,Difficult,Difficult,0.156,Difficult,True,3.78,2.43,2.35,1,Préservation Passive (Accès difficile)
341,Rueda Nummilitic succession ,SG,Rif,Tanger-Tétouan-Al Hoceïma,33.75431809475165,-5.246702609118411,1830.040771484375,1.0565228462219238,46.58594131469727,13250.76953125,11834.3203125,15.0,3.0,71.0,40.0,40.0,1183.432,1183.432,Easy,Moderate,0.8586,Easy,False,4.54,3.08,4.49,3,Promotion Éducative (Grand Public)
342,Talâat Adrhosse Klippe ,SG,Rif,Tanger-Tétouan-Al Hoceïma,35.24709269284413,-5.183919234627224,862.94384765625,6.806554317474365,245.12306213378903,22455.85546875,1183.4320068359375,15.0,3.0,,40.0,40.0,0.0,0.0,Easy,Difficult,0.7029,Easy,True,2.9,3.19,4.57,4,Promotion Géotouristique Locale
