Excel_Row_Index,Geosite_Name,Geosite_Type,Geological_Domain,Administrative_Region,Latitude_WGS84,Longitude_WGS84,Coordinate_Extraction_Method,Elevation_m,Slope_deg,Ruggedness,Dist_to_Dam_m,Dist_to_River_m,LULC_Class,Soil_Class,Geology_Class,Dist_to_Highway_m,Dist_to_Piste_m
2,Eburnian-Proterozoic Unconformity,SG,Anti-Atlas ,Draa-Tafilalet,30.547018097923637,-7.122467385495109,UTM,1500.8162841796875,5.484938621520996,131.98768615722656,7333.60986328125,0.0,5.0,3.0,49.0,0.0,2366.864013671875
3, Bou Offroh ophiolit,PT,Anti-Atlas ,Draa-Tafilalet,30.54671313620237,-6.971048117972587,UTM,1521.392822265625,3.337613821029663,136.69766235351562,21534.79296875,1183.4320068359375,5.0,3.0,,0.0,0.0
4,Oceanic Moho rocks,PT,Anti-Atlas ,Draa-Tafilalet,30.490992892858085,-6.612429949729095,UTM,1377.357177734375,0.0,94.74175262451172,46135.5,3783.313720703125,5.0,3.0,56.0,0.0,1183.4320068359375
5,Tamaliout Folding & Thrusting ,PT,Anti-Atlas ,Draa-Tafilalet,30.43212980063328,-6.658345105114725,UTM,1068.709228515625,2.060389995574951,83.93598937988281,39966.9765625,8517.0419921875,5.0,3.0,10.0,8368.1279296875,5917.16015625
6,Bleida granodiorite,PT,Anti-Atlas ,Draa-Tafilalet,30.368905368656545,-6.46223994636819,UTM,1480.23974609375,3.011687755584717,106.47064971923828,31934.318359375,4256.6865234375,5.0,3.0,8.0,0.0,0.0
7,Sauropod tracksite,S & PL,Western High Atlas,Marrakech-Safi,31.1145,-8.982833333333334,DMS,1336.2041015625,4.233494281768799,196.84701538085938,29108.75390625,0.0,15.0,9.0,,0.0,2366.864013671875
8,Tension joints & veins ,SG,Central High Atlas,Draa-Tafilalet,32.59281111111111,-4.504277777777777,DMS,1747.7347412109375,0.49809327721595764,73.61725616455078,27196.919921875,0.0,10.0,3.0,71.0,0.0,0.0
9,Fault mirror,SG,Central High Atlas,Draa-Tafilalet,32.59246944444445,-4.504686111111111,DMS,1747.7347412109375,0.49809327721595764,73.61725616455078,27196.919921875,0.0,10.0,3.0,71.0,0.0,0.0
10,Turbidite/tempesitie,S,Central High Atlas,Draa-Tafilalet,32.59108611111111,-4.504991666666666,DMS,1747.7347412109375,0.49809327721595764,73.61725616455078,27196.919921875,0.0,10.0,3.0,71.0,0.0,0.0
11,Synsedimentary Fd,SG,Central High Atlas,Draa-Tafilalet,32.590869444444444,-4.504938888888889,DMS,1747.7347412109375,0.49809327721595764,73.61725616455078,27196.919921875,0.0,10.0,3.0,71.0,0.0,0.0
12,Bioclastic limestone,PL,Central High Atlas,Draa-Tafilalet,32.59060277777778,-4.505005555555556,DMS,1747.7347412109375,0.49809327721595764,73.61725616455078,27196.919921875,0.0,10.0,3.0,71.0,0.0,0.0
13,Current ripples,S,Central High Atlas,Draa-Tafilalet,32.590297222222226,-4.5050638888888885,DMS,1747.7347412109375,0.49809327721595764,73.61725616455078,27196.919921875,0.0,10.0,3.0,71.0,0.0,0.0
14,Th. Burrows ,PL,Central High Atlas,Draa-Tafilalet,32.59028055555556,-4.504902777777778,DMS,1747.7347412109375,0.49809327721595764,73.61725616455078,27196.919921875,0.0,10.0,3.0,71.0,0.0,0.0
15,Limestone-marls  seq. ,S,Central High Atlas,Draa-Tafilalet,32.590050000000005,-4.504761111111111,DMS,1747.7347412109375,0.49809327721595764,73.61725616455078,27196.919921875,0.0,10.0,3.0,71.0,0.0,0.0
16,Horst-graben structures ,SG,Central High Atlas,Draa-Tafilalet,32.590025000000004,-4.504727777777778,DMS,1747.7347412109375,0.49809327721595764,73.61725616455078,27196.919921875,0.0,10.0,3.0,71.0,0.0,0.0
17,Bioclastic limestone,PL,Central High Atlas,Draa-Tafilalet,32.589975,-4.504786111111111,DMS,1747.7347412109375,0.49809327721595764,73.61725616455078,27196.919921875,0.0,10.0,3.0,71.0,0.0,0.0
18,Rhizocorallium burrows ,PL,Central High Atlas,Draa-Tafilalet,32.58986388888889,-4.504866666666667,DMS,1747.7347412109375,0.49809327721595764,73.61725616455078,27196.919921875,0.0,10.0,3.0,71.0,0.0,0.0
19,Tridactyl footpreints ,PL,Central High Atlas,Draa-Tafilalet,32.58935,-4.504527777777778,DMS,1747.7347412109375,0.49809327721595764,73.61725616455078,27196.919921875,0.0,10.0,3.0,71.0,0.0,0.0
20,Lac Tislit,H,Central High Atlas,Draa-Tafilalet,32.19583333333333,-5.636666666666666,Numeric DMS,,,,13483.7861328125,0.0,5.0,7.0,71.0,1183.4320068359375,0.0
21,Imelouan Folds,SG,Central High Atlas,Draa-Tafilalet,32.155833333333334,-5.598333333333333,Numeric DMS,,,,16316.6865234375,0.0,10.0,7.0,71.0,0.0,1183.4320068359375
22,"Ait Ali Ou-Ikkou ""Red beds"" ",S,Central High Atlas,Draa-Tafilalet,32.14472222222222,-5.557777777777778,Numeric DMS,,,,16801.064453125,0.0,5.0,7.0,71.0,1183.4320068359375,1183.4320068359375
23,Todgha Gorges,SG&H,Central High Atlas,Draa-Tafilalet,31.584444444444443,-5.590833333333333,Numeric DMS,1932.9234619140625,6.913000106811523,183.9395294189453,25795.14453125,4733.72802734375,5.0,9.0,56.0,0.0,0.0
24,Tamlalet Monkey’s fingers structures,G,Central High Atlas,Draa-Tafilalet,31.44333333333333,-5.978055555555556,Numeric DMS,1974.0765380859375,2.5198428630828857,82.9201431274414,18217.513671875,1183.4320068359375,5.0,,,1183.4320068359375,0.0
25,Tissadrine Folds,SG,Central High Atlas,Draa-Tafilalet,31.529444444444444,-5.925833333333333,Numeric DMS,1871.19384765625,0.8978981971740723,25.588083267211914,17511.123046875,0.0,5.0,8.0,14.0,0.0,0.0
26,"Msemrir ""Red Beds""",S&PL,Central High Atlas,Draa-Tafilalet,31.72,-5.826666666666666,Numeric DMS,2159.265380859375,2.3482449054718018,629.6884155273438,22932.8984375,0.0,5.0,9.0,66.0,1673.6256103515625,1673.6256103515625
27, Ait Aritane Panoramic view,G,Central High Atlas,Draa-Tafilalet,31.542222222222225,-5.566944444444444,Numeric DMS,2323.87744140625,5.105672836303711,140.7568817138672,24597.0390625,4256.6865234375,5.0,9.0,,0.0,0.0
28,Ait Snan Fault,SG,Central High Atlas,Draa-Tafilalet,31.39527777777778,-5.5975,Numeric DMS,2220.994873046875,0.9482800364494324,71.34072875976562,17034.08203125,0.0,5.0,9.0,,4733.72802734375,2366.864013671875
