Geological domain,Administrative region,Auteurs,Titre,Evaluated geosites,Geosite's type,Coordinates,,,,,,,,,,,
,,,,,,X_Easting,Y_Northing,,,,,,,,,,
Rif,Tanger-Al Hoceima,"El Kharraz et al., 2026",Geoheritage Assessment and Geotourism Planning in Tangier (Morocco),Playa Blanca Beach,,35.8243731N,−5.7229291W,,,,,,,,,,
,,,,Marisat Beach,,35.7998631N,−5.7507168W,,,,,,,,,,
,,,,Ghandouri Beach,,35.7869320N,−5.7633668W,,,,,,,,,,
,,,,Malabata Beach,,35.7777695N,−5.7775563W,,,,,,,,,,
,,,,Merkala Beach,,35.7940544N,−5.8344841W,,,,,,,,,,
,,,,Bouhendia Beach,,35.7829225N,−5.9307866W,,,,,,,,,,
,,,,Achakar Beach,,35.7768580N,−5.9307889W,,,,,,,,,,
,,,,Mickey Beach,,35.7723236N,−5.9326896W,,,,,,,,,,
,,,,Sidi Kacem Beach,,35.7379826N,−5.9442736W,,,,,,,,,,
,,,,Ba Kacem Beach,,35.7732541N,−5.9331855W,,,,,,,,,,
,,,,Houara Beach,,35.6329991N,−5.9781537W,,,,,,,,,,
,,,,Tahadart Beach,,35.5775096N,−5.9895277W,,,,,,,,,,
,,,,American Beach,,35.6798457N,−5.9651715W,,,,,,,,,,
,,,,Al Manar Forest,,35.8168801N,−5.7486307W,,,,,,,,,,
,,,,Marisat Forest,,35.7961267N,−5.7491829W,,,,,,,,,,
,,,,Tangier balya Forest,,35.7773448N,−5.7711325W,,,,,,,,,,
,,,,Rmilat Forest,,35.7929606N,−5.8624116W,,,,,,,,,,
,,,,Rharha Forest,,35.7619967N,−5.8731593W,,,,,,,,,,
,,,,Mediouna Forest,,35.7821557N,−5.8925229W,,,,,,,,,,
,,,,Boubana Forest,,35.7719636N,−5.8927079W,,,,,,,,,,
,,,,Cape Spartel Reserve,,35.6759744N,−5.9462552W,,,,,,,,,,
,,,,Diplomatic Forest,,35.6759744N,−5.9462552W,,,,,,,,,,
,,,,Jumjum Rock,,35.7899743N,−5.8497473W,,,,,,,,,,
,,,,Gherab Rock,,35.7946454N,−5.85792W,,,,,,,,,,
,,,,Sutooh Rock,,35.7627783N,−5.8885488W,,,,,,,,,,
,,,,Bouhendia Rock,,35.7883180N,−5.9291816W,,,,,,,,,,
,,,,Ras Aghmat,,35.7974277N,−5.8416951W,,,,,,,,,,
,,,,Hafa Rock,,35.7913075N,−5.8203332W,,,,,,,,,,
,,,,Maghayir Lake,,35.7536291N,−5.8957438W,,,,,,,,,,
,,,,Sidi Hassain Lake,,35.6980445N,−5.8249996W,,,,,,,,,,
,,,,Tahadart River,,35.6253683N,−5.9412174W,,,,,,,,,,
,,,,Rharha Lake,,35.7691304N,−5.8578318W,,,,,,,,,,
,,,,Al Manar Fortress,,35.8146390N,−5.7393475W,,,,,,,,,,
,,,,Ghailan Fort,,35.7795848N,−5.7715313W,,,,,,,,,,
,,,,Villa Harris,,35.7830876N,−5.7652395W,,,,,,,,,,
,,,,Dar El Baroud Tower,,35.7886196N,−5.8081714W,,,,,,,,,,
,,,,Bab Dar Debbagh,,35.7860073N,−5.8094098W,,,,,,,,,,
,,,,Bab El Marsa,,35.7842141N,−5.8085094W,,,,,,,,,,
,,,,Bab El Fahs,,35.7847304N,−5.8129131W,,,,,,,,,,
,,,,Bab El Kasbah,,35.788648N,−5.815002W,,,,,,,,,,
,,,,Bab El Bahr,,35.789007N,−5.812113W,,,,,,,,,,
,,,,Bab Lassa,,35.788119N,−5.812018W,,,,,,,,,,
,,,,Bab El Hira,,35.786530N,−5.809422W,,,,,,,,,,
,,,,Bab American,,35.783817N,−5.810501W,,,,,,,,,,
,,,,Bab Haha,,35.788671N,−5.811854W,,,,,,,,,,
,,,,Bouanania Cemetery,,35.7908171N,−5.8200251W,,,,,,,,,,
