Locality ID,Geological Domain,Region,Geosite Name,Geosite Type,Reference,Title,Latitude,Longitude,Accessibility Class,
loc_00001,Anti-Atlas ,Drâa-Tafilalet,Eburnian-Proterozoic Unconformity,SG,,,30.5470181,-7.122467385,Easy,
loc_00002,Anti-Atlas ,Drâa-Tafilalet,Bou Offroh ophiolit,PT,,,30.54671314,-6.971048118,Moderate,
loc_00003,Anti-Atlas ,Drâa-Tafilalet,Oceanic Moho rocks,PT,,,30.49099289,-6.61242995,Moderate,
loc_00004,Anti-Atlas ,Drâa-Tafilalet,Bleida granodiorite,PT,,,30.36890537,-6.462239946,Difficult,
loc_00005,Western High Atlas,Marrakech-Safi,Sauropod tracksite,S & PL,,,31.1145,-8.982833333,Moderate,
loc_00006,Central High Atlas,Drâa-Tafilalet,Tension joints & veins,SG,,,32.59281111,-4.504277778,Difficult,
loc_00007,Central High Atlas,Drâa-Tafilalet,Fault mirror,SG,,,32.59246944,-4.504686111,Difficult,
loc_00008,Central High Atlas,Drâa-Tafilalet,Turbidite/tempesitie,S,,,32.59108611,-4.504991667,Difficult,
loc_00009,Central High Atlas,Drâa-Tafilalet,Synsedimentary Fd,SG,,,32.59086944,-4.504938889,Difficult,
loc_00010,Central High Atlas,Drâa-Tafilalet,Bioclastic limestone,PL,,,32.59060278,-4.505005556,Difficult,
loc_00011,Central High Atlas,Drâa-Tafilalet,Current ripples,S,,,32.59029722,-4.505063889,Difficult,
loc_00012,Central High Atlas,Drâa-Tafilalet,Th. Burrows,PL,,,32.59028056,-4.504902778,Difficult,
loc_00013,Central High Atlas,Drâa-Tafilalet,Limestone-marls  seq.,S,,,32.59005,-4.504761111,Difficult,
loc_00014,Central High Atlas,Drâa-Tafilalet,Horst-graben structures,SG,,,32.590025,-4.504727778,Difficult,
loc_00015,Central High Atlas,Drâa-Tafilalet,Rhizocorallium burrows,PL,,,32.58986389,-4.504866667,Difficult,
loc_00016,Central High Atlas,Drâa-Tafilalet,Tridactyl footpreints,PL,,,32.58935,-4.504527778,Difficult,
loc_00017,Central High Atlas,Drâa-Tafilalet,Lac Tislit,H,,,32.19583333,-5.636666667,Moderate,
loc_00018,Central High Atlas,Drâa-Tafilalet,Imelouan Folds,SG,,,32.15583333,-5.598333333,Easy,
loc_00019,Central High Atlas,Drâa-Tafilalet,"Ait Ali Ou-Ikkou ""Red beds""",S,,,32.14472222,-5.557777778,Difficult,
loc_00020,Central High Atlas,Drâa-Tafilalet,Todgha Gorges,SG&H,,,31.58444444,-5.590833333,Easy,
loc_00021,Central High Atlas,Drâa-Tafilalet,Tamlalet Monkey’s fingers structures,G,,,31.44333333,-5.978055556,Easy,
loc_00022,Central High Atlas,Drâa-Tafilalet,Tissadrine Folds,SG,,,31.52944444,-5.925833333,Moderate,
loc_00023,Central High Atlas,Drâa-Tafilalet,"Msemrir ""Red Beds""",S&PL,,,31.72,-5.826666667,Moderate,
loc_00024,Central High Atlas,Drâa-Tafilalet,Ait Aritane Panoramic view,G,,,31.54222222,-5.566944444,Easy,
loc_00025,Central High Atlas,Drâa-Tafilalet,Ait Snan Fault,SG,,,31.39527778,-5.5975,Moderate,
loc_00026,Central High Atlas,Drâa-Tafilalet,"Tamtetoucht ""Red beds""",PL,,,31.71722222,-5.507777778,Moderate,
loc_00027,Central High Atlas,Drâa-Tafilalet,Ait Hani Triassic salt cave,G,,,31.86416667,-5.470555556,Difficult,
loc_00028,Central High Atlas,Drâa-Tafilalet,Ighrem N’Ougdal Middle Jurassic strata,G,,,32.00916667,-5.490833333,Easy,
loc_00029,Central High Atlas,Drâa-Tafilalet,Tinghir Paleozoic-Cretaceous unconformity,SG,,,31.48305556,-5.539444444,Moderate,
loc_00030,Central High Atlas,Drâa-Tafilalet,Foum El Kouss Basalts,PT,,,31.43527778,-5.655,Moderate,
loc_00031,Central High Atlas,Drâa-Tafilalet,Timaderouine Cretaceous-Tertiary strata,S,,,31.41166667,-5.722222222,Easy,
loc_00032,Central High Atlas,Drâa-Tafilalet,Imider Tertiary strata,S,,,31.375,-5.790833333,Moderate,
loc_00033,Central High Atlas,Drâa-Tafilalet,Anou N’Izm Tertiary strata,S,,,31.33944444,-5.838611111,Easy,
loc_00034,Central High Atlas,Drâa-Tafilalet,Ait Youl Basalts,PT,,,31.425,-6.011388889,Moderate,
loc_00035,Central High Atlas,Drâa-Tafilalet,Ait Ibriren Quaternary deposits,S,,,31.44194444,-6.010833333,Easy,
loc_00036,Central High Atlas,Drâa-Tafilalet,Ait Ouglef Allochthonous limestones,SG,,,31.45472222,-5.959722222,Easy,
loc_00037,Central High Atlas,Drâa-Tafilalet,Taghia N’Ait Hammou Gorges,SG,,,31.53666667,-5.919444444,Easy,
loc_00038,Central High Atlas,Drâa-Tafilalet,Tilmi Folds,S,,,31.80138889,-5.926111111,Difficult,
loc_00039,Central High Atlas,Drâa-Tafilalet,Ait Attou Oumoussa Jurassic strata,SG&S,,,31.86166667,-5.708055556,Moderate,
loc_00040,Central High Atlas,Drâa-Tafilalet,Redbeds,S,,,32.166,-5.523,Easy,
loc_00041,Central High Atlas,Drâa-Tafilalet,Intraformational unc,H,,,32.193,-5.639,Easy,
loc_00042,Central High Atlas,Drâa-Tafilalet,Isli Lake,H,,,32.222,-5.55,Difficult,
loc_00043,Central High Atlas,Drâa-Tafilalet,Tisli Lake,PL,,,32.199,-5.629,Moderate,
loc_00044,Central High Atlas,Drâa-Tafilalet,Dolerite dykes and sills,G,,,32.153,-5.64,Difficult,
loc_00045,Central High Atlas,Drâa-Tafilalet,Fairy chimneys,G,,,32.176,-5.599,Easy,
loc_00046,Central High Atlas,Drâa-Tafilalet,Meandering Melloul river,S,,,32.159,-5.603,Moderate,
loc_00047,Central High Atlas,Drâa-Tafilalet,Sedimentary patterns,S,,,32.167,-5.545,Easy,
loc_00048,Central High Atlas,Drâa-Tafilalet,Msadrid ridge,S,,,32.153,-5.593,Difficult,
loc_00049,Central High Atlas,Drâa-Tafilalet,Ait Ali Ou Ikkou's diapirsm,PL,,,32.153,-5.593,Difficult,
loc_00050,Central High Atlas,Drâa-Tafilalet,Late Jurassic theropod tracks,PL,,,32.142,-5.57,Moderate,
loc_00051,Central High Atlas,Drâa-Tafilalet,Vertebrate tracks in the Isli Formation,PL,,,32.157,-5.562,Moderate,
loc_00052,Central High Atlas,Drâa-Tafilalet,Traces of Selenichnites- Tilmi syncline,PL,,,32.163,-5.546,Moderate,
loc_00053,Central High Atlas,Drâa-Tafilalet,Traces of Crocodylopodus meijidei,S,,,32.183,-5.458,Moderate,
loc_00054,Central High Atlas,Drâa-Tafilalet,Tassent ridge,G,,,32.15,-5.55,Difficult,
loc_00055,Central High Atlas,Drâa-Tafilalet,Akhiam cave,S,,,31.958,-5.696,Moderate,
loc_00056,Central High Atlas,Béni Mellal-Khénifra,The cliff granaries of Aoujgal,C,,,32,-6.333333333,Difficult,
loc_00057,Central High Atlas,Marrakech-Safi,Archaeoctic limestone,G,,,31.875,-8.866666667,Easy,
loc_00058,Central High Atlas,Marrakech-Safi,Sidi Bouzid escarpment,G,,,32.30027778,-9.251111111,Easy,
loc_00059,Central High Atlas,Marrakech-Safi,Chaâba valley,PL,,,32.30277778,-9.230833333,Moderate,
loc_00060,Central High Atlas,Marrakech-Safi,Sidi Abderrahmane clayquarry,PL,,,32.3325,-9.176666667,Moderate,
loc_00061,Central High Atlas,Marrakech-Safi,Sidi Abderrahmane dam,C,,,32.32388889,-9.180277778,Easy,
loc_00062,Central High Atlas,Marrakech-Safi,Escarpment of Lalla Fatna,S,,,32.3875,-9.265,Moderate,
loc_00064,Central High Atlas,Marrakech-Safi,El Goraan cave,PL,,,32.5575,-9.254166667,Difficult,
loc_00065,Central High Atlas,Marrakech-Safi,Souira Lgdima,S,,,32.03777778,-9.340555556,Moderate,
loc_00066,Central High Atlas,Marrakech-Safi,Sidi Tiji Gypsum quarry,S,,,32.15777778,-8.865277778,Difficult,
loc_00067,Central High Atlas,Marrakech-Safi,Jorf Lihoudi,S,,,32.18,-9.26,Moderate,
loc_00069,Central High Atlas,Marrakech-Safi,Panoramic view of the cliff,R,,,32.30027778,-9.251111111,Easy,
loc_00070,Central High Atlas,Fés-Meknés,Lake Afourgagh- charophytes tufas & gyrogonites,SG,,,33.61666667,-4.883333333,Moderate,
loc_00071,Central High Atlas,Fés-Meknés,Lake Aoua (Dayet Aoua),PL,,,33.65555556,-5.333333333,Easy,
loc_00072,Central High Atlas,Fés-Meknés,Lake Ifrah (Dayet Ifrah),C,,,33.5625,-4.916666667,Easy,
loc_00073,Central High Atlas,Drâa-Tafilalet,Lake Aguelmame Sidi Ali,C,,,33.07611111,-5.003611111,Moderate,
loc_00074,Central High Atlas,Béni Mellal-Khénifra,Frasnian-Famennian Kellwasser black limestones of Bou Ounabdou,PL,,,33.14283333,-5.518,Moderate,
loc_00075,Central High Atlas,Béni Mellal-Khénifra,Famennian Griottes limestones of Bou Ounabdou,PL,,,33.14266667,-5.5175,Moderate,
loc_00076,Central High Atlas,Béni Mellal-Khénifra,Famennian Zebra griottes limestones of Ziyar,SG&S,,,33.0425,-5.738666667,Moderate,
loc_00077,Central High Atlas,Marrakech-Safi,Arich OuzellaFm,En,,,31.14222222,-9.707777778,Difficult,
loc_00078,Jbilet Massif,Fés-Meknés,Chiker polje,PL&S,,,34.11861111,-4.040555556,Moderate,
loc_00079,Jbilet Massif,Fés-Meknés,Chiker cave,S&S,,,34.12166667,-4.038333333,Moderate,
loc_00080,Jbilet Massif,Fés-Meknés,Dolines of Ademame,S,,,34.04361111,-4.095,Difficult,
loc_00081,Jbilet Massif,Fés-Meknés,Ras El Oued cave,S&M,,,33.95916667,-4,Moderate,
loc_00082,Jbilet Massif,Fés-Meknés,Chaâra lapiaz,Pt,,,33.97361111,-4.224722222,Difficult,
loc_00083,Jbilet Massif,Fés-Meknés,Chaâra cave,S,,,33.95583333,-4.246111111,Difficult,
loc_00084,Jbilet Massif,Fés-Meknés,GueltaTameda Lake,S,,,33.81777778,-4.081666667,Difficult,
loc_00085,Meseta,Fés-Meknés,Taffert canyons,"S,St&PL",,,33.72138889,-4.2275,Moderate,
loc_00086,Meseta,Fés-Meknés,Aïn Sebou,S/St,,,33.73694444,-4.532777778,Moderate,
loc_00087,Meseta,Souss-Massa,Addan onion peels,H,,,29.213335,-8.203033,Moderate,
loc_00088,Meseta,Souss-Massa,Akka badlands,"S,PL&St",,,29.483864,-8.295043,Moderate,
loc_00089,Meseta,Souss-Massa,Tata hearts,S/St/G,,,29.483864,-8.295043,Moderate,
loc_00090,Meseta,Souss-Massa,Imitek Karsts,G,,,29.603338,-8.251098,Moderate,
loc_00091,Meseta,Souss-Massa,Issafenflat-irons,"S,St&G",,,29.854611,-8.533996,Moderate,
loc_00092,Meseta,Souss-Massa,Tadakoust Pyramids,S&St,,,29.270107,-8.678496,Moderate,
loc_00093,Meseta,Souss-Massa,Issafen chevrons,"S,St&PL",,,29.850649,-8.512572,Moderate,
loc_00094,Meseta,Souss-Massa,Ait Ouabelli chasms,G,,,29.213335,-8.203033,Easy,
loc_00095,Meseta,Souss-Massa,Tagmout mask,H,,,29.270107,-8.678496,Moderate,
loc_00096,Meseta,Souss-Massa,Alougoum Pyramid,G,,,29.442398,-8.264208,Easy,
loc_00097,Tabular Middle Atlas,Souss-Massa,Messalite cave,SG&H,,,29.442398,-8.264208,Easy,
