Geological domain,Administrative region,Evaluated geosites,Geosite's type,Coordinates,,Center coordinates,,,,,,Coordonées centrique,,
,,,,X_Easting,Y_Northing,X_Easting,Y_Northing,,ID,Coordonnées originales,Type,Latitude (° déc.),Longitude (° déc.),Remarques
Anti-Atlas,Draa-Tafilalet,Eburnian-Proterozoic Unconformity,SG,680098,3380902,….,….,,1,"X=714535, Y=3373807",UTM,30.50,−6.40,Zone 29N
,,Bou Offroh ophiolit,PT,694626,3381120,,,,2,"31°06,87' N 08°58,97' W",DMS,31.1145,−8.9838,Conversion minutes décimales
,,Oceanic Moho rocks,PT,729166,3375617,,,,3,"32°35'25.01""N 4°30'17.65""W",DMS,32.5903,−4.5049,
,,Tamaliout Folding & Thrusting,PT,724893,3368999,,,,4,"31°48'00""N 5°36'00""W",DMS,31.8000,−5.6000,
,,Bleida granodiorite,PT,743890,3362396,,,,5,"X=745373, Y=3558424",UTM,31.90,−5.80,Zone 29N
Western High Atlas,Marrakech-Safi,Sauropod tracksite,S & PL,"31°06,87' N","08°58,97' W","31°06,87' N ","08°58,97' W",,6,"Intervalle 31°20′0″ N–32°40′0″N, 5°20′0″ W–7°20′0″ W",Intervalle,32.00,−6.33,Point médian
Central High Atlas,Draa-Tafilalet,Tension joints & veins,SG,"32°35'34.12""N","4°30'15.40""W","32°35'25.01""N","4°30'17.65""W",,7,31°52′30″N 8°52′00″W,DMS,31.8750,−8.8667,
,,Fault mirror,SG,"32°35'32.89""N","4°30'16.87""W",,,,8,"X=500900, Y=3574300",UTM,32.20,−5.90,Zone 29N
,,Turbidite/tempesitie,S,"32°35'27.91""N","4°30'17.97""W",,,,9,32°18′01″N 9°15′04″W,DMS,32.3003,−9.2511,
,,Synsedimentary Fd,SG,"32°35'27.13""N","4°30'17.78""W",,,,10,"X=640800, Y=3 687 500",UTM,33.25,−6.00,Zone 29N
,,Bioclastic limestone,PL,"32°35'26.17""N","4°30'18.02""W",,,,11,31°08′32″N 09°42′28″W,DMS,31.1422,−9.7078,
,,Current ripples,S,"32°35'25.07""N","4°30'18.23""W",,,,12,"X=754600, Y=3 759 900",UTM,33.70,−6.10,Zone 29N
,,Th. Burrows,PL,"32°35'25.01""N","4°30'17.65""W",,,,13,"X=585300, Y=3 283 600",UTM,29.65,−6.45,Zone 29N
,,Limestone-marls seq.,S,"32°35'24.18""N","4°30'17.14""W",,,,14,"X=453500, Y=3 273 000",UTM,29.60,−7.00,Zone 29N
,,Horst-graben structures,SG,"32°35'24.09""N","4°30'17.02""W",,,,15,35°54’N 5°25’ W,DMS,35.9000,−5.4167,
,,Bioclastic limestone,PL,"32°35'23.91""N","4°30'17.23""W",,,,16,"X=473500, Y=3 100 000",UTM,28.00,−7.50,Zone 29N
