Geological domain,Administrative region,Reference,Title,Evaluated geosites,Geosite's type,Coordinates,,Center coordinates,,Methodology,Comment,Legend,,,,,,,,,,,,,,,,,,,,
,,,,,,X_Easting,Y_Northing,X_Easting,Y_Northing,,,Ebur = Eburnean; Prot = Proterowoic; Unc = Unconformity; Ft = Fault; Fd = Folding; Th = Thalassinoides; SG = Structural geology; PT = Petrography; S = Sedimentology/stratigraphy; PL = Paleontology; M = Mineralogy; H = Hydrology/hydrogeology; G = Geomorphology; C: Cultural; St: Stratigraphical; R:Relegious; En:Engraving; Hi:Historical; K: Karstic; Mg:Mgmatic; Me: Metamorphic; GM: Geomaterial; GH: Geohistorical; GeC:Geocultural; T; Technicl; E:Ecological; Ar: Architectural;,,,,,,,,,,,,,,,,,,,,
Anti-Atlas ,Draa-Tafilalet,"El Hadi et al., 2011",Geoheritage in Morocco: The Neoproterozoic Ophiolite of Bou Azzer (Central Anti-Atlas),Eburnian-Proterozoic Unconformity,SG,680098N,3380902W,….,….,Not defined,,,,,,,,,,,,,,,,,,,,,,
,,,, Bou Offroh ophiolit,PT,694626N,3381120W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Oceanic Moho rocks,PT,729166N,3375617W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tamaliout Folding & Thrusting ,PT,724893N,3368999W,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Bleida granodiorite,PT,743890N,3362396W,,,,,,,,,,,,,,,,,,,,,,,,,
Western High Atlas,Marrakech-Safi,"Enniouar et al., 2014","A Middle Jurassic sauropod tracksite in the Argana Basin, Western High Atlas, Morocco: an example of paleoichnological heritage for sustainable geotourism",Sauropod tracksite, S & PL,"31°06,87' N ","08°58,97' W","31°06,87' N ","08°58,97' W",Not defined,,,,,,,,,,,,,,,,,,,,,,
Central High Atlas,Draa-Tafilalet,"El Ouali et al., 2025a","Inventory, Quantitative Assessment of 12 Geosites and Sites of Geodiversity of Tizi N'Talghemt south of Midelt City (Morocco)",Tension joints & veins ,SG,"32°35'34.12""N","4°30'15.40""W","32°35'25.01""N","4°30'17.65""W","Brilha, 2016",,,,,,,,,,,,,,,,,,,,,,
,,,,Fault mirror,SG,"32°35'32.89""N","4°30'16.87""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Turbidite/tempesitie,S,"32°35'27.91""N","4°30'17.97""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Synsedimentary Fd,SG," 32°35'27.13""N","4°30'17.78""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Bioclastic limestone,PL,"32°35'26.17""N","4°30'18.02""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Current ripples,S,"32°35'25.07""N","4°30'18.23""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Th. Burrows ,PL,"32°35'25.01""N","4°30'17.65""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Limestone-marls  seq. ,S,"32°35'24.18""N","4°30'17.14""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Horst-graben structures ,SG,"32°35'24.09""N","4°30'17.02""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Bioclastic limestone,PL,"32°35'23.91""N","4°30'17.23""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Rhizocorallium burrows ,PL,"32°35'23.51""N","4°30'17.52""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tridactyl footpreints ,PL,"32°35'21.66""N","4°30'16.30""W",,,,,,,,,,,,,,,,,,,,,,,,,
Central High Atlas,Draa-Tafilalet,"El Ouali et al., 2025","Geosites and geodiversity sites of the Tinghir–Dades–Imilchil area, Morocco: Toward conservation, education, and tourism development",Lac Tislit,H,"32°11'45""N"," 5°38'12""W","31°48'00""N","5°36'00""W","Brilha, 2016",,,,,,,,,,,,,,,,,,,,,,
,,,,Imelouan Folds,SG,"32°09'21""N","5°35'54""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ait Ali Ou-Ikkou ""Red beds"" ",S,"32°08'41""N","5°33'28""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Todgha Gorges,SG&H,"31°35'04""N","5°35'27""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tamlalet Monkey’s fingers structures,G,"31°26'36""N","5°58'41""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tissadrine Folds,SG,"31°31'46""N","5°55'33""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Msemrir ""Red Beds""",S&PL,"31°43'12""N","5°49'36""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,, Ait Aritane Panoramic view,G,"31°32'32""N","5°34'01""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ait Snan Fault,SG,"31°23'43""N","5°35'51""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Tamtetoucht ""Red beds""",PL,"31°43'02""N","5°30'28""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ait Hani Triassic salt cave,G,"31°51'51""N","5°28'14""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Toumlilin Middle Jurassic strata,S,"32°51'24""N","5°27'56""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ighrem N’Ougdal Middle Jurassic strata,G,"32°00'33""N","5°29'27""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tinghir Paleozoic-Cretaceous unconformity,SG,"31°28'59""N","5°32'22""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Foum El Kouss Basalts,PT,"31°26'07""N","5°39'18""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Timaderouine Cretaceous-Tertiary strata,S,"31°24'42""N","5°43'20""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Imider Tertiary strata,S,"31°22'30""N","5°47'27""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Anou N’Izm Tertiary strata,S,"31°20'22""N","5°50'19""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ait Youl Basalts,PT,"31°25'30""N","6°00'41""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ait Ibriren Quaternary deposits,S,"31°26'31""N","6°00'39""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tamlalet Monkey’s fingers structures,G,"31°26'36""N","5°58'41""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ait Ouglef Allochthonous limestones,SG,"31°27'17""N","5°57'35""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tissadrine Folds,SG,"31°31'46""N"," 5°55'33""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Taghia N’Ait Hammou Gorges,SG,"31°32'12""N","5°55'10""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tilmi Folds ,SG,"31°48'05""N","5°47'0514""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Msemrir ""Red beds""",S,"31°43'12""N","5°49'36""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ait Attou Oumoussa Jurassic strata ,S,"31°51'42""N","5°42'29""W",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Imelouan Folds,SG,"32°09'21""N","5°35'54""W",,,,,,,,,,,,,,,,,,,,,,,,,
Central High Atlas,Draa-Tafilalet,"Elfaiz et al., 2025","Inventory and Assessment of the Geoheritage Potential of the Imilchil District (Central High Atlas, Morocco)",Redbeds,SG&S, 32.166,5.523,….,….,"Brilha,2018a, b",,,,,,,,,,,,,,,,,,,,,,
,,,,Intraformational unc,S, 32.193,5.639,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Isli Lake,H, 32.222,5.550,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tisli Lake,H, 32.199,5.629,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Dolerite dykes and sills,PL, 32.153,5.640,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Fairy chimneys,G, 32.176,5.599,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Meandering Melloul river,G, 32.159,5.603,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Sedimentary patterns,S, 32.167,5.545,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Msadrid ridge,S, 32.153,5.593,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ait Ali Ou Ikkou's diapirsm,S, 32.153,5.593,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Late Jurassic theropod tracks,PL, 32.142,5.570,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Vertebrate tracks in the Isli Formation,PL, 32.157,5.562,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Traces of Selenichnites- Tilmi syncline,PL, 32.163,5.546,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Traces of Crocodylopodus meijidei,PL, 32.183,5.458,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tassent ridge,S, 32.150,5.550,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Akhiam cave,G, 31.958,5.696,,,,,,,,,,,,,,,,,,,,,,,,,
