Domain,Region,Author,Title,Geosites,Type,Coordinates (X),Coordinates (Y),,
Central High Atlas,Béni Mellal-Khénifra,Elkaichi et al.2021,"Quantitative assessment of the geodiversity of M’Goun UNESCO Geopark, Central High Atlas (Morocco)",The cliff granaries of Aoujgal   ,S,"32°17'53.01""N","5°50'7.49""W",,
,,,,The architectural heritage of Zaouiat Ahansal,C,"31°49'53.62""N","6° 6'3.19""W",,
,,,,Panorama of Zaouiat Ahansal ,G,"31°49'43.82""N","6° 5'55.35""W",,
,,,,The natural bridge of Imin Ifri ,G,"31°43'27.09""N","6°58'17.03""W",,
,,,,The dinosaur geosites of Iouaridène,PL,"31°43'32.80""N","6°54'24.92""W",,
,,,,Dinosaur footprints,PL,"31°42'6.09""N","6°42'29.86""W",,
,,,,Aït Blal Rock engravings ,C,"31°45'2.22""N","6°19'12.18""W",,
,,,,Tizi-n-Tighist Geo landscape ,S,"31°44'59.29""N","6°19'12.70""W",,
,,,,Paleo-dam of Tizi-n-Tighza ,S,"31°43'51.47""N","6°18'28.45""W",,
,,,,Ibaqualliwn Lamellibranches of Tizi-n-Tighist,PL,"31°43'59.12""N","6°19'28.75""W",,
,,,, Jbel Azoukri Ait Attab synclinal (1),S,"31°45'25.88""N","6°14'54.10""W",,
,,,,"Ait Attab synclinal, Bougal (Taghia)",S,"31°47'13.05""N","6° 4'21.59""W",,
,,,,"The Bin El Ouidane dam ""Chocolate Marls"" ",S,"32° 6'31.62""N","6°26'9.61""W",,
,,,,The Ouzoud waterfalls ,G&H,"32° 0'54.04""N","6°43'10.81""W",,
,,,,Cliff of Ait Abdi,SG,"31°37'0.33""N","7°21'0.11""W",,
,,,,The “Cathedral” Mastfrane,R,"31°58'50.59""N","6° 8'14.56""W",,
,,,,Talmst Ride,SG,"31°54'24.06""N","6° 9'17.49""W",,
,,,,Dinosaur footprints,PL,"31°39'35.96""N","6°23'7.87""W",,
Central High Atlas,Béni Mellal-Khénifra,Elkaichi et al.2023,"Evaluation of Geotouristic Station Suitability Using GIS‑Based Multi‑criteria Decision Analysis: a Case Study of the M’Goun UNESCO Geopark, High Atlas (Morocco)", Collective granary of Sidi Moussa,C,"32°23'56.30""N","6° 1'38.49""W",,
,,,,"Granary, Ighrem",C,"32°12'14.48""N","6°36'12.46""W",,
,,,,Footprints of the carnivorous dinosaur (Tridactyl),PL,"32°11'46.00""N","6°34'57.00""W",,
,,,,Herbivorous dinosaur footprints,PL,"32° 6'22.00""N","6°30'36.09""W",,
,,,,Izourar plateaus ,SG&S,"31°57'7.22""N","6°33'26.10""W",,
,,,,Rock engravings of Tizi-n-Tighist,En,"32° 0'35.89""N","6°43'9.20""W",,
,,,,,,"31°59'41.26""N","6° 4'16.36""W",,
,,,,,,"31°57'42.26""N","6° 8'53.64""W",,
,,,,,,"31°58'35.98""N","6°14'54.42""W",,
,,,,,,"31°50'15.83""N","6° 6'32.45""W",,
,,,,,,"31°47'54.85""N","6°12'32.66""W",,
,,,,,,"31°43'36.01""N","6°58'6.00""W",,
,,,,,,"31°43'20.24""N","6°52'59.55""W",,
,,,,,,"31°42'48.62""N","6°46'18.37""W",,
,,,,,,"31°41'8.90""N","6°43'55.20""W",,
,,,,,,"31°36'25.00""N","6°36'24.05""W",,
,,,,,,"31°39'36.63""N","6°26'41.59""W",,
,,,,,,"31°44'32.87""N","6°18'35.66""W",,
Jbilet Massif,Marrakech-Saf,El Hamidy et al.2024,"Jbel Irhoud Geosite, the Cradle of Humanity (Youssoufia Province, 
Marrakech‑Safi region, Morocco): Evaluation and Valorization 
of the Geological Heritage for Geoeducation and Geotourism Purposes",Archaeoctic limestone,PL&S,"31°53'45.83""N","8°52'1.01""W",,
,,,,Sandstone-fault families,S&S,"31°53'49.23""N","8°51'36.94""W",,
,,,,"Faiult mirror-gradin 
crystallization",S,"31°53'55.37""N","8°51'49.42""W",,
,,,,Karst networks of barite,S&M,"31°54'27.51""N","8°51'3.21""W",,
,,,,Calcite crystals,Pt,"31°54'47.75""N","8°50'30.89""W",,
,,,,"Cambrian sandstone & shale,Gray massive Cambrian limestones",S,"31°55'3.46""N","8°50'7.35""W",,
,,,,,,"31°54'51.24""N","8°50'23.64""W",,
,,,,The western tip of the Cambrian crest,S,"31°55'48.89""N","8°49'41.23""W",,
,,,,Jbel Irhoud anticline,,,,,
Meseta,Marrakech-Safi,El Hamidy et al.2025,"Proposed geo-educational activities at the Sidi Bouzid geosite, Safi Province, Marrakech-Safi region, Morocco",Panoramic view of the cliff,G,"33°13'15.90""N","8°33'18.67""W",,
,,,,beach of Sidi Bouzide,G,"33°13'33.31""N","8°33'18.67""W",,
,,,,Marine fauna of the lower limestone,PL&S,"33°13'2.83""N","8°33'57.49""W",,
,,,, Yellow dolomite lower limestone Contact,S&SG,"33°13'5.07""N","8°33'41.72""W",,
,,,,The source Lalla Mira,H,"32°19'6.36""N","9°15'14.58""W",,
,,,,The wave of Saf,G,"32°19'29.03""N","9°17'0.11""W",,
,,,,Marabout Sidi Bouzid,R,"33°13'9.41""N","8°33'39.38""W",,
Middle Atlas,Draa-Tafilalet & Fès-Méknès,El Wartiti et al.2007,Geosites inventory of the northwestern Tabular Middle Atlasof Morocco,Lake Aguelmame Sidi Ali,SG&H,33°04'34''N,05°00'13''W,,
,,,,Bou Tegrrouine,G,"33°17'5.65""N","5° 5'20.69""w",,
,,,,The caldera of the Michliffen,G,"33°24'47.87""N","5° 4'47.67""W",,
,,,,Ruiniform landscape,G,"33°17'16.79""N","4°50'50.68""W",,
Anti-Atlas,Souss-Massa,"Berred and Berred,2021","Climate Change Issues, Challenges, and Impacts in Terms of Rural Geo‑biological and Cultural Tourism Activity Development in Semiarid Areas: a Case Study from Tata,",Deflation phenomenon in the Drâa plain,G,"29°13'34.45""N","7°52'26.75""W",,
,,,,Engravings in Tamzrart region,En,"29°18'44.75""N","8°29'37.82""W",,
,,,,engravings in Tadakous,En,"29°15'51.93""N","8°42'32.55""W",,
,,,,Tour of Ait Ouabelli,G,"29°13'32.90""N","8°32'2.81""W",,
Rif,Tanger-Tétouan-Al Hoceïma,AbdelMaksoud et al.2025,"Preserving Geoheritage in Chefchaouen-Morocco, After a Well Accident: A Focus on Sustainability",Water spring,H&G,"34°53'20.73""N","4°56'53.35""W",,
,,,,Panoramic view to the folded mountains,SG,"34°55'38.14""N","4°51'58.50""W",,
,,,,Petrified wood intruded by iron deposits,PL,"34°53'21.61""N","4°53'44.18""W",,
,,,,Stromatolites,PL,"34°56'11.42""N","4°54'42.32""W",,
,,,,Caristified cave stalactite,G,"34°54'49.73""N","4°48'51.72""W",,
,,,,Karastified limestone rocks eroded,SG,"34°54'34.78""N","4°45'32.94""W",,
,,,,Hill shades of limestone rocks,,"34°57'33.46""N","4°49'56.14""W",,
,,,,Karstification within the limestone strata,G,"34°53'22.93""N","4°51'1.39""",,
High Atlas,Beni Mellal-Khenifra,Louz et al.2022,"Inventory and Enhancement of Geological Heritage in the Ouzoud Syncline (M’Goun UNESCOGeopark, Central High Atlas, Morocco): First Step for Promoting Geotourism and Sustainable Development †",Thedolerite sill of Ouzoud,PT,"32° 2'7.94""N","6°42'21.17""W","32° 0'6.33""N","6°43'55.53""W"
,,,,Ouzoud waterfalls,G," 32° 0'54.02""N","6°43'11.08""W",,
,,,,Ouzoud travertines,S,"32° 1'2.23""N","6°43'19.47""W",,
,,,,Estuary of Oued Tassakht ,H,"31°59'13.34""N","6°42'7.55""W",,
,,,,Oued EL Abid gorges and caves,G,"32°10'1.51""N","6°15'32.42""W",,
,,,,Azilal formation intruded by Tanaghmelt sill,SG&S,"32° 1'7.51""N","6°44'40.44""W",,
,,,,Zaouit Tanaghmelt ,R,"32° 1'7.85""N","6°44'11.64""W",,
,,,,Basaltic flows of Ouzoud,PT,"32° 0'6.79""N","6°44'46.08""W",,
,,,,Ouzoud springs,H,"31°59'23.28""N","6°42'49.50""W",,
Central High Atlas,Beni Mellal-Khénifra,Louz et al.2022a,"Geological heritage of the Taguelft syncline (M'Goun Geopark): Inventory, assessment, and promotion for geotourism development (Central High Atlas, Morocco)",Radiating dykes Taghia-n-Ait Boulmane,Mg,"32°12'6.28""N","6° 7'2.75""W",,
,,,,Fault-fold associated with the magmatic intrusion,SG,"32°11'55.93""N","6° 6'25.60""W",,
,,,,Travertines of Tighalghalt,K,"32°14'35.32""N","6°14'13.50""W",,
,,,,The community granaries of Taghia-n-Ait Boulmane,C,"32°11'1.87""N","6° 5'42.20""W",,
,,,,Ammonites and sponges fossil of  Jbel Taguendouft,PL,"32° 5'38.14""N","6°16'34.08""",,
Central High Atlas,Draa-Tafilalet ,Manaouch et al.2025,Enhancing Geotourism in Southeastern Morocco through Machine Learning‑Based Geomorphosite Identification,Jurassic tabular structures,G,"32°10'4.79""N","4°22'14.38""W",,
,,,,wadi Ziz canyon,G,"32° 9'9.30""N","4°22'26.61""W",,
,,,,Hammat Moulay Ali Cherif,G,"32°10'57.48""N","4°22'1.67""W",,
,,,,Hassan Addakhil Dam Lake,G,"32° 1'32.74""N","4°27'48.18""W",,
,,,,Tunnel Zaabel,G,"32°10'18.85""N","4°22'4.25""W",,
,,,,Ziz Valley Ait Atmane,G,"32° 5'7.69""N","4°23'1.34""W",,
,,,,Waterfall  ,G,"32° 4'47.11""N","4°22'30.42""W",,
