Locality_ID,Region,target,y_true,oof_prob
loc_00304,Béni Mellal-Khénifra,difficult,0,0.1403
loc_00307,Béni Mellal-Khénifra,difficult,0,0.1403
loc_00306,Béni Mellal-Khénifra,difficult,0,0.1403
loc_00244,Béni Mellal-Khénifra,difficult,0,0.1403
loc_00305,Béni Mellal-Khénifra,difficult,0,0.1403
loc_00313,Béni Mellal-Khénifra,difficult,0,0.1073
loc_00312,Béni Mellal-Khénifra,difficult,0,0.1073
loc_00311,Béni Mellal-Khénifra,difficult,0,0.1073
loc_00310,Béni Mellal-Khénifra,difficult,0,0.7093
loc_00246,Béni Mellal-Khénifra,difficult,0,0.1042
loc_00303,Béni Mellal-Khénifra,difficult,0,0.1042
loc_00056,Béni Mellal-Khénifra,difficult,1,0.3501
loc_00294,Béni Mellal-Khénifra,difficult,0,0.0209
loc_00293,Béni Mellal-Khénifra,difficult,0,0.0209
loc_00295,Béni Mellal-Khénifra,difficult,0,0.0209
loc_00292,Béni Mellal-Khénifra,difficult,0,0.0106
loc_00241,Béni Mellal-Khénifra,difficult,0,0.0106
loc_00290,Béni Mellal-Khénifra,difficult,0,0.0106
loc_00289,Béni Mellal-Khénifra,difficult,0,0.0106
loc_00288,Béni Mellal-Khénifra,difficult,0,0.0106
loc_00243,Béni Mellal-Khénifra,difficult,0,0.0151
loc_00309,Béni Mellal-Khénifra,difficult,0,0.0151
loc_00308,Béni Mellal-Khénifra,difficult,0,0.0151
loc_00286,Béni Mellal-Khénifra,difficult,0,0.0196
loc_00287,Béni Mellal-Khénifra,difficult,0,0.0196
loc_00240,Béni Mellal-Khénifra,difficult,0,0.0196
loc_00242,Béni Mellal-Khénifra,difficult,0,0.1102
loc_00297,Béni Mellal-Khénifra,difficult,0,0.1102
loc_00299,Béni Mellal-Khénifra,difficult,0,0.0193
loc_00298,Béni Mellal-Khénifra,difficult,0,0.0193
loc_00245,Béni Mellal-Khénifra,difficult,0,0.0193
loc_00300,Béni Mellal-Khénifra,difficult,0,0.0193
loc_00301,Béni Mellal-Khénifra,difficult,0,0.0611
loc_00302,Béni Mellal-Khénifra,difficult,0,0.0611
loc_00237,Béni Mellal-Khénifra,difficult,0,0.3929
loc_00225,Béni Mellal-Khénifra,difficult,0,0.5026
loc_00232,Béni Mellal-Khénifra,difficult,0,0.1227
loc_00239,Béni Mellal-Khénifra,difficult,0,0.0213
loc_00235,Béni Mellal-Khénifra,difficult,0,0.0213
loc_00234,Béni Mellal-Khénifra,difficult,0,0.0213
loc_00238,Béni Mellal-Khénifra,difficult,0,0.0213
loc_00226,Béni Mellal-Khénifra,difficult,0,0.1736
loc_00285,Béni Mellal-Khénifra,difficult,0,0.0803
loc_00248,Béni Mellal-Khénifra,difficult,0,0.0803
loc_00284,Béni Mellal-Khénifra,difficult,1,0.4871
loc_00280,Béni Mellal-Khénifra,difficult,0,0.058
loc_00247,Béni Mellal-Khénifra,difficult,0,0.058
loc_00314,Béni Mellal-Khénifra,difficult,0,0.8462
loc_00283,Béni Mellal-Khénifra,difficult,0,0.0464
loc_00249,Béni Mellal-Khénifra,difficult,0,0.4142
loc_00281,Béni Mellal-Khénifra,difficult,0,0.4142
loc_00282,Béni Mellal-Khénifra,difficult,0,0.2054
loc_00076,Béni Mellal-Khénifra,difficult,0,0.0426
loc_00075,Béni Mellal-Khénifra,difficult,0,0.3501
loc_00074,Béni Mellal-Khénifra,difficult,0,0.4212
loc_00233,Béni Mellal-Khénifra,difficult,0,0.2648
loc_00229,Béni Mellal-Khénifra,difficult,0,0.1699
loc_00231,Béni Mellal-Khénifra,difficult,0,0.7519
loc_00236,Béni Mellal-Khénifra,difficult,0,0.3878
loc_00227,Béni Mellal-Khénifra,difficult,0,0.4019
loc_00228,Béni Mellal-Khénifra,difficult,0,0.1074
loc_00291,Béni Mellal-Khénifra,difficult,0,0.0311
loc_00230,Béni Mellal-Khénifra,difficult,0,0.1031
loc_00296,Béni Mellal-Khénifra,difficult,0,0.0343
loc_00726,Béni Mellal-Khénifra,difficult,0,0.3025
loc_00727,Béni Mellal-Khénifra,difficult,0,0.0597
loc_00728,Béni Mellal-Khénifra,difficult,1,0.7107
loc_00729,Béni Mellal-Khénifra,difficult,1,0.1489
loc_00730,Béni Mellal-Khénifra,difficult,0,0.2317
loc_00731,Béni Mellal-Khénifra,difficult,0,0.3708
loc_00732,Béni Mellal-Khénifra,difficult,0,0.8742
loc_00733,Béni Mellal-Khénifra,difficult,1,0.933
loc_00734,Béni Mellal-Khénifra,difficult,1,0.8392
loc_00735,Béni Mellal-Khénifra,difficult,0,0.7062
loc_00736,Béni Mellal-Khénifra,difficult,0,0.7864
loc_00737,Béni Mellal-Khénifra,difficult,0,0.3041
loc_00738,Béni Mellal-Khénifra,difficult,0,0.8491
loc_00484,Béni Mellal-Khénifra,difficult,0,0.0607
loc_00485,Béni Mellal-Khénifra,difficult,0,0.2848
loc_00486,Béni Mellal-Khénifra,difficult,0,0.4372
loc_00487,Béni Mellal-Khénifra,difficult,0,0.6185
loc_00488,Béni Mellal-Khénifra,difficult,1,0.1278
loc_00408,Béni Mellal-Khénifra,difficult,1,0.4998
loc_01194,Béni Mellal-Khénifra,difficult,1,0.3888
loc_00489,Béni Mellal-Khénifra,difficult,0,0.262
loc_00490,Béni Mellal-Khénifra,difficult,1,0.6579
loc_00493,Béni Mellal-Khénifra,difficult,0,0.0585
loc_00495,Béni Mellal-Khénifra,difficult,0,0.0291
loc_00497,Béni Mellal-Khénifra,difficult,0,0.3036
loc_00500,Béni Mellal-Khénifra,difficult,0,0.1432
loc_00501,Béni Mellal-Khénifra,difficult,0,0.1054
loc_00502,Béni Mellal-Khénifra,difficult,0,0.096
loc_00503,Béni Mellal-Khénifra,difficult,1,0.1947
loc_00504,Béni Mellal-Khénifra,difficult,0,0.421
loc_00505,Béni Mellal-Khénifra,difficult,0,0.0324
loc_00378,Béni Mellal-Khénifra,difficult,0,0.0351
loc_00379,Béni Mellal-Khénifra,difficult,0,0.2054
loc_00382,Béni Mellal-Khénifra,difficult,0,0.3464
