Locality_ID,Region,target,y_true,oof_prob
loc_00304,Béni Mellal-Khénifra,difficult,0,0.1192
loc_00307,Béni Mellal-Khénifra,difficult,0,0.1192
loc_00306,Béni Mellal-Khénifra,difficult,0,0.1192
loc_00244,Béni Mellal-Khénifra,difficult,0,0.1192
loc_00305,Béni Mellal-Khénifra,difficult,0,0.1192
loc_00313,Béni Mellal-Khénifra,difficult,0,0.1008
loc_00312,Béni Mellal-Khénifra,difficult,0,0.1008
loc_00311,Béni Mellal-Khénifra,difficult,0,0.1008
loc_00310,Béni Mellal-Khénifra,difficult,0,0.6375
loc_00246,Béni Mellal-Khénifra,difficult,0,0.0621
loc_00303,Béni Mellal-Khénifra,difficult,0,0.0621
loc_00056,Béni Mellal-Khénifra,difficult,1,0.4427
loc_00294,Béni Mellal-Khénifra,difficult,0,0.0207
loc_00293,Béni Mellal-Khénifra,difficult,0,0.0207
loc_00295,Béni Mellal-Khénifra,difficult,0,0.0207
loc_00292,Béni Mellal-Khénifra,difficult,0,0.0063
loc_00241,Béni Mellal-Khénifra,difficult,0,0.0063
loc_00290,Béni Mellal-Khénifra,difficult,0,0.0063
loc_00289,Béni Mellal-Khénifra,difficult,0,0.0063
loc_00288,Béni Mellal-Khénifra,difficult,0,0.0063
loc_00243,Béni Mellal-Khénifra,difficult,0,0.0187
loc_00309,Béni Mellal-Khénifra,difficult,0,0.0187
loc_00308,Béni Mellal-Khénifra,difficult,0,0.0187
loc_00286,Béni Mellal-Khénifra,difficult,0,0.0156
loc_00287,Béni Mellal-Khénifra,difficult,0,0.0156
loc_00240,Béni Mellal-Khénifra,difficult,0,0.0156
loc_00242,Béni Mellal-Khénifra,difficult,0,0.0825
loc_00297,Béni Mellal-Khénifra,difficult,0,0.0825
loc_00299,Béni Mellal-Khénifra,difficult,0,0.0078
loc_00298,Béni Mellal-Khénifra,difficult,0,0.0078
loc_00245,Béni Mellal-Khénifra,difficult,0,0.0078
loc_00300,Béni Mellal-Khénifra,difficult,0,0.0078
loc_00301,Béni Mellal-Khénifra,difficult,0,0.0277
loc_00302,Béni Mellal-Khénifra,difficult,0,0.0277
loc_00237,Béni Mellal-Khénifra,difficult,0,0.6073
loc_00225,Béni Mellal-Khénifra,difficult,0,0.3734
loc_00232,Béni Mellal-Khénifra,difficult,0,0.1199
loc_00239,Béni Mellal-Khénifra,difficult,0,0.0229
loc_00235,Béni Mellal-Khénifra,difficult,0,0.0229
loc_00234,Béni Mellal-Khénifra,difficult,0,0.0229
loc_00238,Béni Mellal-Khénifra,difficult,0,0.0229
loc_00226,Béni Mellal-Khénifra,difficult,0,0.2181
loc_00285,Béni Mellal-Khénifra,difficult,0,0.0695
loc_00248,Béni Mellal-Khénifra,difficult,0,0.0695
loc_00284,Béni Mellal-Khénifra,difficult,1,0.7134
loc_00280,Béni Mellal-Khénifra,difficult,0,0.1007
loc_00247,Béni Mellal-Khénifra,difficult,0,0.1007
loc_00314,Béni Mellal-Khénifra,difficult,0,0.8561
loc_00283,Béni Mellal-Khénifra,difficult,0,0.3559
loc_00249,Béni Mellal-Khénifra,difficult,0,0.4341
loc_00281,Béni Mellal-Khénifra,difficult,0,0.4341
loc_00282,Béni Mellal-Khénifra,difficult,0,0.0609
loc_00076,Béni Mellal-Khénifra,difficult,0,0.0391
loc_00075,Béni Mellal-Khénifra,difficult,0,0.3832
loc_00074,Béni Mellal-Khénifra,difficult,0,0.4781
loc_00233,Béni Mellal-Khénifra,difficult,0,0.2774
loc_00229,Béni Mellal-Khénifra,difficult,0,0.1628
loc_00231,Béni Mellal-Khénifra,difficult,0,0.8109
loc_00236,Béni Mellal-Khénifra,difficult,0,0.5361
loc_00227,Béni Mellal-Khénifra,difficult,0,0.4795
loc_00228,Béni Mellal-Khénifra,difficult,0,0.1087
loc_00291,Béni Mellal-Khénifra,difficult,0,0.0201
loc_00230,Béni Mellal-Khénifra,difficult,0,0.1327
loc_00296,Béni Mellal-Khénifra,difficult,0,0.0362
loc_00726,Béni Mellal-Khénifra,difficult,0,0.1444
loc_00727,Béni Mellal-Khénifra,difficult,0,0.0337
loc_00728,Béni Mellal-Khénifra,difficult,1,0.7957
loc_00729,Béni Mellal-Khénifra,difficult,1,0.09
loc_00730,Béni Mellal-Khénifra,difficult,0,0.1801
loc_00731,Béni Mellal-Khénifra,difficult,0,0.1977
loc_00732,Béni Mellal-Khénifra,difficult,0,0.681
loc_00733,Béni Mellal-Khénifra,difficult,1,0.7079
loc_00734,Béni Mellal-Khénifra,difficult,1,0.6487
loc_00735,Béni Mellal-Khénifra,difficult,0,0.6044
loc_00736,Béni Mellal-Khénifra,difficult,0,0.8431
loc_00737,Béni Mellal-Khénifra,difficult,0,0.2498
loc_00738,Béni Mellal-Khénifra,difficult,0,0.5404
loc_00484,Béni Mellal-Khénifra,difficult,0,0.0373
loc_00485,Béni Mellal-Khénifra,difficult,0,0.1425
loc_00486,Béni Mellal-Khénifra,difficult,0,0.4361
loc_00487,Béni Mellal-Khénifra,difficult,0,0.4189
loc_00488,Béni Mellal-Khénifra,difficult,1,0.1006
loc_00408,Béni Mellal-Khénifra,difficult,1,0.2636
loc_01194,Béni Mellal-Khénifra,difficult,1,0.2409
loc_00489,Béni Mellal-Khénifra,difficult,0,0.3533
loc_00490,Béni Mellal-Khénifra,difficult,1,0.464
loc_00493,Béni Mellal-Khénifra,difficult,0,0.0898
loc_00495,Béni Mellal-Khénifra,difficult,0,0.0457
loc_00497,Béni Mellal-Khénifra,difficult,0,0.2644
loc_00500,Béni Mellal-Khénifra,difficult,0,0.1356
loc_00501,Béni Mellal-Khénifra,difficult,0,0.1306
loc_00502,Béni Mellal-Khénifra,difficult,0,0.0791
loc_00503,Béni Mellal-Khénifra,difficult,1,0.1699
loc_00504,Béni Mellal-Khénifra,difficult,0,0.4959
loc_00505,Béni Mellal-Khénifra,difficult,0,0.2359
loc_00378,Béni Mellal-Khénifra,difficult,0,0.019
loc_00379,Béni Mellal-Khénifra,difficult,0,0.1064
loc_00382,Béni Mellal-Khénifra,difficult,0,0.2359
loc_00385,Béni Mellal-Khénifra,difficult,1,0.8209
loc_00387,Béni Mellal-Khénifra,difficult,0,0.1217
loc_00388,Béni Mellal-Khénifra,difficult,0,0.8511
loc_00389,Béni Mellal-Khénifra,difficult,1,0.8954
loc_00392,Béni Mellal-Khénifra,difficult,0,0.4494
loc_00704,Béni Mellal-Khénifra,difficult,1,0.6243
loc_00705,Béni Mellal-Khénifra,difficult,0,0.0984
loc_00706,Béni Mellal-Khénifra,difficult,0,0.1057
loc_00707,Béni Mellal-Khénifra,difficult,0,0.0136
loc_00708,Béni Mellal-Khénifra,difficult,0,0.3983
loc_00709,Béni Mellal-Khénifra,difficult,0,0.2044
loc_00710,Béni Mellal-Khénifra,difficult,0,0.3175
loc_00711,Béni Mellal-Khénifra,difficult,0,0.0343
loc_00712,Béni Mellal-Khénifra,difficult,0,0.1241
loc_00443,Béni Mellal-Khénifra,difficult,0,0.053
loc_00444,Béni Mellal-Khénifra,difficult,0,0.0904
