Locality_ID,Expert_Class,Region,Latitude_WGS84,Longitude_WGS84,Dist_to_Highway_m,Slope_deg,Ruggedness,Elevation_m,LULC_Friction,Dist_to_Settlement_m,Expert_Merged,origin,proba,pred,correct,y
loc_00591,Moderate,Tanger-Tétouan-Al Hoceima,35.092642,-5.149841,2605.865611373905,16.15061946819755,8.6735986328125,1340.5592041015625,0.55,13704.187113049047,Moderate,batch3_2026,0.19448501418891306,0,True,0
loc_00592,Moderate,Tanger-Tétouan-Al Hoceima,34.875649,-4.626438,71.40684434839311,14.77854673267532,7.7059130859375,1291.8304443359375,0.55,66925.73002111171,Moderate,batch3_2026,0.5152715059804268,1,False,0
loc_00593,Difficult,Tanger-Tétouan-Al Hoceima,35.086438,-5.142154,1961.8561966105767,26.105984661686808,14.962822265625,1622.664306640625,0.55,14680.819022585929,Difficult,batch3_2026,0.2626151435487838,0,True,0
loc_00594,Moderate,Tanger-Tétouan-Al Hoceima,35.213251,-4.65117,1454.8206481868615,27.11298190946894,17.381028671264648,22.372915267944336,0.9,56301.75579675217,Moderate,batch3_2026,0.5337321276871853,1,False,0
loc_00595,Difficult,Tanger-Tétouan-Al Hoceima,35.015721,-4.908043,1958.7787562977765,15.57866677927739,8.93546875,1825.241943359375,0.55,36935.76571184454,Difficult,batch3_2026,0.3038176037986386,0,True,0
loc_00596,Moderate,Tanger-Tétouan-Al Hoceima,34.988318,-4.820548,331.6150109756682,20.600092173662294,11.10734375,1447.8492431640625,0.55,45421.23365221053,Moderate,batch3_2026,0.20726218261193205,0,True,0
loc_00597,Moderate,Tanger-Tétouan-Al Hoceima,34.957309,-4.678067,389.22981783187294,31.42101360661508,18.9551953125,1738.32177734375,0.35,58644.6664132947,Moderate,batch3_2026,0.19588777116331899,0,True,0
loc_00598,Easy,Tanger-Tétouan-Al Hoceima,35.154371,-4.225422,4485.428839525424,23.53176998934769,13.72552490234375,394.0517272949219,0.15,28660.78855001602,Easy,batch3_2026,0.24611685676510187,0,False,1
loc_00599,Easy,Tanger-Tétouan-Al Hoceima,35.844381,-5.553495,143.27890324771474,4.964306462551895,4.052738037109375,0.0,0.15,17322.524955255456,Easy,batch3_2026,0.7994734227465261,1,True,1
loc_00600,Easy,Tanger-Tétouan-Al Hoceima,35.905462,-5.473829,742.5426358186497,5.574435807365259,2.720141191482544,0.0,0.05,12524.012301521248,Easy,batch3_2026,0.7469966680787961,1,True,1
loc_00601,Easy,Tanger-Tétouan-Al Hoceima,35.904153,-5.446488,130.65823353322773,1.8016786662559767,1.185533435344696,0.7845090627670288,0.1,10530.703251649862,Easy,batch3_2026,0.9306276719848565,1,True,1
loc_00602,Moderate,Tanger-Tétouan-Al Hoceima,35.511708,-5.466257,2353.292508367131,16.914487546542134,10.726588134765626,289.905029296875,0.15,10505.099724564896,Moderate,batch3_2026,0.4503949672910855,0,True,0
loc_00603,Easy,Tanger-Tétouan-Al Hoceima,35.898229,-5.326348,600.4798125851685,2.72474701523104,0.8938181161880493,2.428896188735962,0.05,7284.190620785632,Easy,batch3_2026,0.8521614425794863,1,True,1
loc_00604,Easy,Tanger-Tétouan-Al Hoceima,35.837834,-5.35421,123.03197248839622,9.157587134463885,4.649205207824707,19.180435180664062,0.2,668.0696414234682,Easy,batch3_2026,0.6248643602214158,1,True,1
loc_00605,Easy,Tanger-Tétouan-Al Hoceima,35.772728,-5.345322,299.27455403226224,0.0,0.0,0.0,0.9,7533.613556542409,Easy,batch3_2026,0.9745271864066316,1,True,1
loc_00606,Moderate,Tanger-Tétouan-Al Hoceima,35.32247,-5.447082,4895.364720962456,9.469069857976098,5.43886962890625,419.5976257324219,0.15,23569.6236604535,Moderate,batch3_2026,0.24003866036476587,0,True,0
loc_00607,Easy,Tanger-Tétouan-Al Hoceima,35.695322,-5.327791,155.1040616403104,2.6635612914986315,1.4495710015296936,2.3937857151031494,0.1,1392.827476812774,Easy,batch3_2026,0.7152307274401537,1,True,1
loc_00608,Easy,Tanger-Tétouan-Al Hoceima,35.663249,-5.283808,340.15091751332614,0.6350425224516381,0.1748455572128296,0.0,0.1,4203.845828751484,Easy,batch3_2026,0.9253391573930861,1,True,1
loc_00609,Easy,Tanger-Tétouan-Al Hoceima,35.591054,-5.260202,1987.3710810987948,0.1196928420658713,0.0291316711902618,0.0,0.9,3193.744199895745,Easy,batch3_2026,0.9667248757271715,1,True,1
loc_00610,Easy,Tanger-Tétouan-Al Hoceima,35.624365,-5.271424,90.56290633805068,0.0,0.0,0.0,0.9,808.4915652285586,Easy,batch3_2026,0.9565921104102977,1,True,1
loc_00611,Easy,Tanger-Tétouan-Al Hoceima,35.571666,-5.253896,455.30317700582265,2.0375895100053465,0.6763460922241211,13.901686668395996,0.2,5409.501818481594,Easy,batch3_2026,0.9159682695305917,1,True,1
loc_00612,Easy,Tanger-Tétouan-Al Hoceima,35.550158,-5.2403,161.77917889896756,3.1606992744614457,1.3922475957870484,0.0,0.9,8083.671212652341,Easy,batch3_2026,0.878871340463185,1,True,1
