Locality_ID,Region,origin,y_difficult,knn_pred_difficult,gp_pred_difficult,y_easy,knn_pred_easy,gp_pred_easy
loc_00591,Tanger-Tétouan-Al Hoceima,batch3_2026,0,1,1,0,0,0
loc_00592,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,0,1,0
loc_00593,Tanger-Tétouan-Al Hoceima,batch3_2026,1,0,0,0,0,0
loc_00594,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,0,1,1
loc_00595,Tanger-Tétouan-Al Hoceima,batch3_2026,1,1,1,0,0,0
loc_00596,Tanger-Tétouan-Al Hoceima,batch3_2026,0,1,1,0,0,0
loc_00597,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,0,0,0
loc_00598,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,0,0
loc_00599,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00600,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00601,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00602,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,0,1,0
loc_00603,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00604,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00605,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00606,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,0,0,0
loc_00607,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00608,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00609,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00610,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00611,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00612,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00613,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00614,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00615,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00616,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00617,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,0,1
loc_00618,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,0,0
loc_00619,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00620,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,0,1
loc_00621,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00622,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00623,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00624,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00625,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00626,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,1,1,0,0
loc_00627,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,0,0,0
loc_00628,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,0,0
loc_00629,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,0
loc_00630,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00631,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00632,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00633,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00634,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,0,0
loc_00635,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00636,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00637,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00638,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00639,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00640,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00641,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00642,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,0,0
loc_00643,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,0,0,0
loc_00644,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_00645,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,0,0,0
loc_00646,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,0,0,0
loc_00647,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,0,0,0
loc_00648,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,0,0,0
